effort is what it will take
effort is what it will take
Basic
0.6 0.6
432 388.8
Began 831.0252 256 556 -0.2407407 0.4320986
Stationary 831.0462 256 556 -0.2407407 0.4320986
Stationary 831.0602 256 556 -0.2407407 0.4320986
Stationary 831.0736 256 556 -0.2407407 0.4320986
Stationary 831.0901 256 556 -0.2407407 0.4320986
Stationary 831.1057 256 556 -0.2407407 0.4320986
Stationary 831.1196 256 556 -0.2407407 0.4320986
Stationary 831.1353 256 556 -0.2407407 0.4320986
Stationary 831.1519 256 556 -0.2407407 0.4320986
Moved 831.1674 256 545.0779 -0.2407407 0.404007
Moved 831.186 256 538.6386 -0.2407407 0.3874449
Moved 831.1981 256 530 -0.2407407 0.3652262
Moved 831.2136 256 521.29 -0.2407407 0.3428241
Moved 831.2289 256 513.9928 -0.2407407 0.3240555
Moved 831.2443 256 505.1716 -0.2407407 0.3013672
Moved 831.26 256 494.2953 -0.2407407 0.2733931
Moved 831.2763 265.8145 479.9794 -0.2180221 0.2365724
Moved 831.2913 266.7123 466.2946 -0.2159437 0.2013748
Moved 831.3072 268.2986 458.5068 -0.2122716 0.1813447
Moved 831.324 269.7308 448.6154 -0.2089566 0.1559036
Moved 831.3392 272.3259 436.5333 -0.2029493 0.1248284
Moved 831.3535 273.5 430.5 -0.2002315 0.1093106
Moved 831.3693 274.708 423.752 -0.1974352 0.09195453
Moved 831.3849 276.1501 416.2498 -0.1940971 0.07265891
Moved 831.3994 278.5969 410.6124 -0.1884331 0.05815945
Moved 831.4142 281.0712 404.8576 -0.1827056 0.04335792
Moved 831.4309 282.9515 399.0969 -0.1783529 0.02854135
Moved 831.4458 285.832 394.252 -0.1716853 0.01608024
Moved 831.4603 287.3509 389.9473 -0.1681691 0.005008359
Moved 831.4763 289.6187 387.0719 -0.1629197 -0.00238709
Moved 831.4919 292.7245 382.4133 -0.1557303 -0.01436932
Moved 831.5071 295.6011 378.0983 -0.1490715 -0.02546734
Moved 831.5226 298.4742 376.2629 -0.1424208 -0.03018807
Moved 831.5381 301.3363 373.6638 -0.1357957 -0.03687313
Moved 831.553 304.2279 372.386 -0.129102 -0.04015934
Moved 831.5689 309.2352 372 -0.1175112 -0.04115226
Moved 831.5838 316.9108 372 -0.09974346 -0.04115226
Moved 831.599 341.7524 391.9238 -0.04223977 0.01009211
Moved 831.6153 366.8952 412.746 0.01596123 0.06364717
Moved 831.6331 391.0926 435.6166 0.0719737 0.1224705
Moved 831.6456 407.7906 451.8837 0.1106265 0.1643098
Moved 831.661 426.7159 469.3531 0.1544349 0.2092415
Moved 831.6763 444.5831 484.9859 0.1957942 0.2494493
Moved 831.6913 455.2327 495.2327 0.2204461 0.2758043
Moved 831.7072 466.5267 503.895 0.2465896 0.2980838
Moved 831.7223 473.7677 510.7677 0.2633512 0.3157605
Moved 831.7379 479.7445 515.5583 0.2771863 0.3280821
Moved 831.7532 482.9041 518.2694 0.2845002 0.3350551
Moved 831.7684 485.0724 520.0724 0.2895195 0.3396924
Moved 831.784 486.5072 521.5072 0.2928407 0.3433826
Moved 831.799 487.7266 522.7266 0.2956634 0.346519
Moved 831.8144 488.5 523.5 0.2974537 0.3485081
Moved 831.832 488 524.2582 0.2962963 0.3504583
Stationary 831.8463 488 524 0.2962963 0.3497942
Stationary 831.8606 488 524 0.2962963 0.3497942
Stationary 831.8769 488 524 0.2962963 0.3497942
Moved 831.8918 468.755 524 0.2517477 0.3497942
Moved 831.9076 456 524 0.2222222 0.3497942
Moved 831.9233 440.4453 524 0.1862158 0.3497942
Moved 831.938 420.3103 524 0.1396071 0.3497942
Moved 831.9611 383.2391 513.8533 0.05379418 0.3236966
Stationary 831.973 383.2391 513.8533 0.05379418 0.3236966
Moved 831.9844 363.9943 510.8324 0.009245972 0.3159268
Moved 832.0004 346.6725 507.9454 -0.03085072 0.3085015
Moved 832.0159 327.9441 503.6025 -0.07420351 0.2973314
Moved 832.032 316.0578 500.3979 -0.1017181 0.2890893
Moved 832.0464 301.219 497.0486 -0.1360671 0.2804748
Moved 832.0612 284.0733 494.1789 -0.1757562 0.2730938
Moved 832.0789 276.0269 492.1467 -0.1943822 0.267867
Moved 832.0927 263.372 488.124 -0.223676 0.2575204
Moved 832.1086 257.3562 488.2712 -0.2376014 0.2578992
Moved 832.1234 251.3332 486.8333 -0.2515435 0.2542008
Moved 832.1389 248.3645 487 -0.2584155 0.2546296
Moved 832.1546 244.5612 486 -0.2672196 0.2520575
Moved 832.17 242.8385 486 -0.2712071 0.2520575
Moved 832.1853 241.4003 486 -0.2745364 0.2520575
Moved 832.2006 239.9615 486 -0.2778669 0.2520575
Stationary 832.2164 240 486 -0.2777777 0.2520575
Moved 832.2315 238.5 486 -0.28125 0.2520575
Moved 832.2455 237.9969 486 -0.2824145 0.2520575
Stationary 832.2609 237.9969 486 -0.2824145 0.2520575
Stationary 832.2786 237.9969 486 -0.2824145 0.2520575
Stationary 832.2933 237.9969 486 -0.2824145 0.2520575
Stationary 832.3067 237.9969 486 -0.2824145 0.2520575
Moved 832.3229 236.8755 486 -0.2850104 0.2520575
Stationary 832.3386 237 486 -0.2847222 0.2520575
Stationary 832.3533 237 486 -0.2847222 0.2520575
Stationary 832.3682 237 486 -0.2847222 0.2520575
Stationary 832.386 237 486 -0.2847222 0.2520575
Stationary 832.4016 237 486 -0.2847222 0.2520575
Stationary 832.415 237 486 -0.2847222 0.2520575
Stationary 832.4324 237 486 -0.2847222 0.2520575
Stationary 832.4473 237 486 -0.2847222 0.2520575
Stationary 832.4619 237 486 -0.2847222 0.2520575
Moved 832.4775 244.9643 492.7499 -0.2662864 0.2694185
Moved 832.4933 247.8064 494.4032 -0.2597074 0.2736707
Moved 832.5087 250.6742 495.8371 -0.253069 0.2773587
Moved 832.524 254.8578 497.2859 -0.2433848 0.2810852
Moved 832.5401 258.1668 498.7223 -0.235725 0.2847795
Moved 832.5556 263.6439 500.1609 -0.2230466 0.2884797
Moved 832.5713 269 503 -0.2106481 0.2957818
Moved 832.5854 274.6915 503.6729 -0.1974734 0.2975124
Moved 832.6019 280.4377 505.1094 -0.184172 0.3012073
Moved 832.6168 286.2001 506.55 -0.1708332 0.3049126
Moved 832.6326 291.9601 507.9901 -0.1574998 0.3086163
