this is a very good idea
this is a very good idea
FixStart
0.6 0.6
432 388.8
Candidates 985.443 12 this thus third toys roots tris efforts elisa tinnitus rigorous gross ellis
Began 985.8137 375 385 0.03472219 -0.007716127
Stationary 985.8304 375 385 0.03472219 -0.007716127
Stationary 985.8468 375 385 0.03472219 -0.007716127
Moved 985.8611 375 396.0178 0.03472219 0.02062197
Moved 985.877 375 425.6733 0.03472219 0.09689637
Moved 985.8922 375 477.4125 0.03472219 0.2299703
Moved 985.9084 375 538.9775 0.03472219 0.3883166
Moved 985.9229 375 588.3926 0.03472219 0.5154129
Ended 985.939 375 588.3926 0.03472219 0.5154129
Accept 985.9661 0 this
Began 986.413 322 473 -0.08796295 0.2186213
Stationary 986.432 322 473 -0.08796295 0.2186213
Stationary 986.4486 322 473 -0.08796295 0.2186213
Stationary 986.4639 322 473 -0.08796295 0.2186213
Stationary 986.4793 322 473 -0.08796295 0.2186213
Moved 986.4933 335.1543 486.1543 -0.05751327 0.2524544
Moved 986.5098 345.0974 497.5399 -0.03449673 0.2817383
Moved 986.5252 357.0216 509.6847 -0.00689437 0.3129749
Moved 986.5406 371.8195 522.8359 0.02736002 0.3468001
Moved 986.556 390.4358 540.0176 0.07045319 0.3909917
Moved 986.5708 401.7706 550.1804 0.09669125 0.4171307
Moved 986.5862 415.9874 562.6887 0.1296006 0.4493021
Moved 986.6042 426.8055 571.0798 0.1546423 0.4708841
Moved 986.6178 437.117 578.7979 0.1785115 0.4907351
Moved 986.6326 449.5 590 0.2071759 0.5195472
Moved 986.6493 454.6767 595.3448 0.2191589 0.5332941
Moved 986.663 462.5126 602.41 0.2372976 0.551466
Moved 986.6796 466.617 607.1559 0.2467986 0.5636726
Moved 986.6954 468.9805 610.9611 0.2522697 0.5734594
Moved 986.7095 471.8225 613.8225 0.2588484 0.5808191
Moved 986.726 472 614.8547 0.2592593 0.583474
Moved 986.7407 473.2866 616.2866 0.2622374 0.5871567
Moved 986.7554 473 617.3036 0.2615741 0.5897727
Stationary 986.7706 473 617 0.2615741 0.5889916
Moved 986.7863 473 618.1396 0.2615741 0.5919228
Stationary 986.8039 473 618.1396 0.2615741 0.5919228
Stationary 986.817 473 618 0.2615741 0.5915637
