just in time for the party
just in time for the party
Basic
0.6 0.6
432 388.8
Began 1426.293 406 309 0.1064815 -0.2031893
Stationary 1426.31 406 309 0.1064815 -0.2031893
Stationary 1426.325 406 309 0.1064815 -0.2031893
Stationary 1426.339 406 309 0.1064815 -0.2031893
Stationary 1426.354 406 309 0.1064815 -0.2031893
Stationary 1426.369 406 309 0.1064815 -0.2031893
Stationary 1426.387 406 309 0.1064815 -0.2031893
Stationary 1426.403 406 309 0.1064815 -0.2031893
Stationary 1426.417 406 309 0.1064815 -0.2031893
Moved 1426.432 390.6499 330.3601 0.0709489 -0.1482507
Moved 1426.447 385.6295 340.8645 0.05932758 -0.1212334
Moved 1426.463 379.2308 354.0922 0.04451573 -0.08721143
Moved 1426.478 373.0359 370.8922 0.03017584 -0.04400175
Moved 1426.493 367.2807 385.2982 0.01685351 -0.006949028
Moved 1426.509 362.3859 402.7137 0.005522867 0.03784383
Moved 1426.525 357.9927 416.0219 -0.00464658 0.07207274
Moved 1426.54 352.2189 433.3433 -0.01801178 0.1166236
Moved 1426.554 349.2237 444.217 -0.02494514 0.1445911
Moved 1426.57 347.6728 451.6359 -0.02853513 0.1636724
Moved 1426.588 345.2354 460.0585 -0.03417735 0.1853355
Moved 1426.601 343.7953 467.0234 -0.03751084 0.2032494
Moved 1426.615 343.3548 473.581 -0.03853063 0.2201157
Moved 1426.633 343 479.0688 -0.03935183 0.2342304
Moved 1426.648 343 485.952 -0.03935183 0.2519342
Moved 1426.663 342 493.1603 -0.04166668 0.2704739
Moved 1426.68 342 499.2467 -0.04166668 0.2861283
Moved 1426.695 342 505.0076 -0.04166668 0.3009455
Moved 1426.71 342 508.8278 -0.04166668 0.3107709
Moved 1426.725 342 511.7706 -0.04166668 0.31834
Moved 1426.741 342 514 -0.04166668 0.324074
Moved 1426.755 341 515 -0.04398147 0.326646
Stationary 1426.771 341 515 -0.04398147 0.326646
Moved 1426.787 340 516 -0.04629632 0.329218
Moved 1426.802 338.7783 516 -0.0491244 0.329218
Moved 1426.818 333.0026 511.3363 -0.06249408 0.3172229
Moved 1426.832 317.7407 497.9506 -0.09782244 0.2827945
Moved 1426.848 292 475 -0.1574074 0.2237653
Moved 1426.865 275.7267 455.4019 -0.1950772 0.1733588
Moved 1426.88 260.0408 436.8489 -0.2313871 0.1256402
Moved 1426.894 247.5 420 -0.2604167 0.08230445
Moved 1426.91 237.1395 408.186 -0.2843994 0.05191858
Moved 1426.926 229.9628 400.9628 -0.3010121 0.03334038
Moved 1426.941 226.4226 395.5634 -0.3092071 0.01945323
Moved 1426.956 223.4174 389.8348 -0.3161634 0.004719118
Moved 1426.971 221.4353 388.4352 -0.3207517 0.001119449
Stationary 1426.987 221.4353 388.4352 -0.3207517 0.001119449
Moved 1427.003 220.6255 387.6255 -0.3226261 -0.0009632502
Moved 1427.019 221 386.6464 -0.3217593 -0.0034815
Stationary 1427.032 221 387 -0.3217593 -0.002572055
Moved 1427.047 226.8645 387 -0.3081841 -0.002572055
Moved 1427.064 236.1259 396.2267 -0.2867455 0.02115913
Moved 1427.081 248.3686 406.1198 -0.258406 0.04660441
Moved 1427.095 272.6288 428.027 -0.2022481 0.1029501
Moved 1427.11 299.672 452.6048 -0.1396482 0.1661645
Moved 1427.126 320.7711 475.2138 -0.09080772 0.2243152
Moved 1427.142 337.0064 494.8257 -0.05322595 0.2747575
Moved 1427.155 352.9029 513.6125 -0.01642848 0.3230773
Moved 1427.171 364.3642 529.9552 0.01010219 0.3651111
Moved 1427.188 372.4892 540.3433 0.02891014 0.3918292
Moved 1427.204 382.3899 551.7313 0.05182843 0.4211194
Moved 1427.218 385.3254 557.1006 0.05862365 0.4349294
Moved 1427.234 388.4474 560.4474 0.06585062 0.4435376
Ended 1427.249 390 563 0.06944448 0.4501028
Candidates 1427.369 12 gray brady messy busy best great bureau breast jersey heat nest fray
Began 1428.418 360 532 0 0.3703703
Stationary 1428.438 360 532 0 0.3703703
Stationary 1428.451 360 532 0 0.3703703
Stationary 1428.466 360 532 0 0.3703703
Stationary 1428.483 360 532 0 0.3703703
Stationary 1428.497 360 532 0 0.3703703
Ended 1428.513 360 532 0 0.3703703
NextCandidatePanel 1428.571
Began 1429.344 372 529 0.02777775 0.3626543
Stationary 1429.362 372 529 0.02777775 0.3626543
