this is a very good idea
this is a very good idea
FixStart
0.6 0.6
432 388.8
Began 737.418 426 325 0.1527777 -0.1620371
Stationary 737.4399 426 325 0.1527777 -0.1620371
Stationary 737.4534 426 325 0.1527777 -0.1620371
Stationary 737.4681 426 325 0.1527777 -0.1620371
Stationary 737.4832 426 325 0.1527777 -0.1620371
Moved 737.4995 418.3824 345.6176 0.1351446 -0.1090083
Moved 737.5144 409.7257 363.9276 0.1151058 -0.06191466
Moved 737.5322 401.5 389 0.0960648 0.002572016
Moved 737.5468 389.5086 434.9089 0.06830702 0.1206503
Moved 737.5612 379.4328 478.0024 0.04498323 0.2314877
Moved 737.5768 379.188 489.3075 0.04441678 0.2605644
Moved 737.5923 377.7344 499.8592 0.04105191 0.2877036
Moved 737.608 378 508.4726 0.04166663 0.3098575
Moved 737.6219 378 514.4878 0.04166663 0.3253286
Moved 737.6383 378 521.5 0.04166663 0.3433641
Moved 737.6523 378 522.9417 0.04166663 0.3470722
Moved 737.6682 378 525.0859 0.04166663 0.3525872
Moved 737.6835 378 528 0.04166663 0.3600822
Moved 737.6993 378 528.5 0.04166663 0.3613682
Stationary 737.7151 378 528.5 0.04166663 0.3613682
Moved 737.73 390.0456 528 0.06955007 0.3600822
Moved 737.7468 407.6368 510.0834 0.1102705 0.3140004
Moved 737.7619 419.8381 498.1619 0.1385143 0.283338
Moved 737.777 438.6216 467.2055 0.1819943 0.2037178
Moved 737.7929 449.0152 446.9697 0.2060536 0.1516709
Moved 737.808 457.9536 419.1856 0.2267444 0.08020981
Moved 737.8226 463.7085 400.8745 0.2400659 0.03311342
Moved 737.8383 469.0282 388.9437 0.25238 0.002427081
Moved 737.8536 475.1729 376.6541 0.266604 -0.0291818
Moved 737.8699 479.4176 369.2693 0.2764295 -0.0481757
Moved 737.8865 486.3448 359.069 0.2924649 -0.07441109
Moved 737.9004 491.0785 352.8953 0.3034224 -0.09028988
Moved 737.9153 493.9297 350.0703 0.3100225 -0.09755594
Moved 737.9323 494.8985 348.1014 0.3122652 -0.1026198
Moved 737.9466 496.3367 346.6633 0.3155942 -0.1063187
Moved 737.9617 499.355 347 0.3225811 -0.1054527
