a very traditional way to dress
a very traditional way to dress
Basic
0.6 0.6
432 388.8
Moved 2130.414 341.2828 228.7172 -0.04332682 -0.4096782
Moved 2130.427 339.8457 230.1543 -0.04665345 -0.4059817
Moved 2130.444 337.807 233.193 -0.05137264 -0.3981663
Moved 2130.461 335.9595 237.1215 -0.05564928 -0.3880621
Moved 2130.476 331.5751 245.8497 -0.06579831 -0.3656129
Moved 2130.489 326.0833 257.4169 -0.07851098 -0.335862
Moved 2130.504 318.869 274.3143 -0.09521052 -0.2924016
Moved 2130.528 302.6545 316.2234 -0.1327442 -0.1846105
Stationary 2130.539 302.6545 316.2234 -0.1327442 -0.1846105
Moved 2130.551 295.3306 338.0082 -0.1496976 -0.1285798
Moved 2130.567 287.2961 359.3277 -0.1682961 -0.07374571
Moved 2130.582 279.9035 378.8508 -0.1854085 -0.02353197
Moved 2130.597 276.1283 388.1792 -0.1941474 0.0004608641
Moved 2130.615 271.0525 401.3687 -0.2058969 0.03438431
Moved 2130.628 267.6456 411.063 -0.2137833 0.05931846
Moved 2130.644 263.1418 422.3358 -0.2242088 0.08831201
Moved 2130.66 259.8854 432.4011 -0.2317467 0.1142002
Moved 2130.676 258.5 439.5 -0.2349537 0.1324588
Moved 2130.69 256.1076 444.7847 -0.2404916 0.1460512
Moved 2130.705 254.9522 448.1434 -0.2431662 0.1546897
Moved 2130.723 253.5066 453.4802 -0.2465125 0.1684161
Moved 2130.736 252.0707 457.7878 -0.2498363 0.1794955
Moved 2130.752 250.632 460.736 -0.2531666 0.187078
Moved 2130.768 249.1857 464.6285 -0.2565145 0.1970897
Moved 2130.782 247.7459 468.7622 -0.2598473 0.2077217
Moved 2130.798 246.3043 472.3913 -0.2631844 0.2170557
Moved 2130.814 246 474.6765 -0.2638889 0.2229333
Moved 2130.829 244.7766 478.67 -0.2667207 0.2332048
Moved 2130.844 244 480.3267 -0.2685185 0.2374656
Moved 2130.867 241.5 486 -0.2743055 0.2520575
Stationary 2130.878 241.5 486 -0.2743055 0.2520575
Moved 2130.89 241.0166 487.9834 -0.2754245 0.2571589
Moved 2130.906 241 490.8525 -0.275463 0.2645382
Moved 2130.921 240.3344 492.6656 -0.2770037 0.2692015
Moved 2130.936 240 495.001 -0.2777777 0.2752083
Moved 2130.951 240 496.4434 -0.2777777 0.278918
Moved 2130.967 240 497.8834 -0.2777777 0.2826218
Moved 2130.983 240 499.3224 -0.2777777 0.286323
Moved 2130.998 240 500.7675 -0.2777777 0.2900398
Moved 2131.014 240 502.2022 -0.2777777 0.2937299
Moved 2131.029 240 503.5 -0.2777777 0.2970678
Moved 2131.044 240 505.7377 -0.2777777 0.3028232
