if you were not so stupid
if you were not so stupid
FixStart
0.6 0.6
432 388.8
Stationary 1240.126 365 310 0.01157403 -0.2006174
Stationary 1240.142 365 310 0.01157403 -0.2006174
Stationary 1240.157 365 310 0.01157403 -0.2006174
Stationary 1240.172 365 310 0.01157403 -0.2006174
Stationary 1240.19 365 310 0.01157403 -0.2006174
Stationary 1240.205 365 310 0.01157403 -0.2006174
Stationary 1240.219 365 310 0.01157403 -0.2006174
Stationary 1240.234 365 310 0.01157403 -0.2006174
Moved 1240.249 365 325.7126 0.01157403 -0.1602043
Moved 1240.265 365 335.6984 0.01157403 -0.1345205
Moved 1240.281 365 349.4139 0.01157403 -0.09924421
Moved 1240.298 365 360.2352 0.01157403 -0.07141168
Moved 1240.311 365 372.1639 0.01157403 -0.04073076
Moved 1240.328 365 382.243 0.01157403 -0.01480723
Moved 1240.343 365 393.1456 0.01157403 0.01323441
Moved 1240.358 365 400.6736 0.01157403 0.03259671
Moved 1240.373 365 410.2476 0.01157403 0.05722104
Moved 1240.39 365 420.4421 0.01157403 0.08344152
Moved 1240.411 373.7811 434.9055 0.0319007 0.1206416
Stationary 1240.421 373.7811 434.9055 0.0319007 0.1206416
Moved 1240.434 376.4538 440.9076 0.03808746 0.1360791
Moved 1240.451 378.3324 444.9987 0.04243622 0.1466014
Moved 1240.466 380.1059 447.1059 0.04654139 0.1520213
Moved 1240.483 381.1561 449.3121 0.04897237 0.1576957
Moved 1240.498 388.2361 452.9417 0.06536126 0.167031
Moved 1240.513 400.8288 455.0829 0.09451111 0.1725382
Moved 1240.528 421 456.5 0.1412037 0.1761831
Moved 1240.543 444.3733 456 0.1953086 0.174897
Moved 1240.559 466.2938 446.0629 0.2460505 0.1493385
Moved 1240.574 485.199 444.3002 0.2898125 0.1448049
Moved 1240.59 498.2112 443.0657 0.3199334 0.1416299
Moved 1240.604 512.4418 441.6558 0.3528746 0.1380035
Moved 1240.621 523.4878 441 0.378444 0.1363167
Moved 1240.636 531.1134 441 0.3960958 0.1363167
Moved 1240.651 539.317 441 0.4150856 0.1363167
Moved 1240.666 544.3092 441 0.4266417 0.1363167
Moved 1240.682 547.5418 444.7927 0.4341246 0.1460717
Moved 1240.697 548.7402 448.7402 0.4368986 0.1562246
Moved 1240.713 549.5 449.5 0.4386574 0.158179
Stationary 1240.728 549.5 449.5 0.4386574 0.158179
Moved 1240.743 549 449 0.4375 0.156893
Moved 1240.76 533.5436 449 0.4017212 0.156893
Moved 1240.775 513.8693 449 0.3561789 0.156893
Moved 1240.79 486.3501 437.4576 0.2924771 0.1272056
Moved 1240.806 457.5 432.5 0.2256945 0.1144546
Moved 1240.821 434.4268 429.5712 0.1722843 0.1069216
Moved 1240.836 415.9765 426.4961 0.1295751 0.09901251
Moved 1240.852 405.1705 425.3101 0.1045612 0.095962
Moved 1240.867 395.0988 425 0.08124729 0.09516452
Moved 1240.884 388.7237 425 0.06649007 0.09516452
Moved 1240.898 383.9556 425 0.05545268 0.09516452
Ended 1240.914 382.5424 425 0.05218138 0.09516452
Candidates 1241.067 12 you your toy tour type root report out foot roy rope got
Began 1241.791 394 278 0.07870366 -0.2829219
Stationary 1241.808 394 278 0.07870366 -0.2829219
Stationary 1241.823 394 278 0.07870366 -0.2829219
Moved 1241.838 394 301.2015 0.07870366 -0.2232473
Moved 1241.854 394 340.6163 0.07870366 -0.1218716
Moved 1241.869 394 391.389 0.07870366 0.008716583
Moved 1241.884 394 449.4798 0.07870366 0.158127
Moved 1241.9 408.7796 504.065 0.1129157 0.298521
Ended 1241.916 408.7796 504.065 0.1129157 0.298521
Accept 1241.974 0 you
Began 1242.941 386 294 0.06018519 -0.2417696
Stationary 1242.951 386 294 0.06018519 -0.2417696
Stationary 1242.962 386 294 0.06018519 -0.2417696
Stationary 1242.977 386 294 0.06018519 -0.2417696
Stationary 1242.993 386 294 0.06018519 -0.2417696
Stationary 1243.009 386 294 0.06018519 -0.2417696
Moved 1243.027 371.2965 303.6877 0.02614935 -0.2168527
Moved 1243.042 357.9472 313.8422 -0.004751831 -0.190735
Moved 1243.056 344 323.5 -0.03703703 -0.1658951
Moved 1243.072 327.3125 337.8259 -0.07566541 -0.1290488
Moved 1243.088 308.0975 351.6248 -0.1201446 -0.09355772
Moved 1243.102 291.062 362.9587 -0.1595787 -0.06440677
Moved 1243.118 279.6107 371.525 -0.1860862 -0.04237414
Moved 1243.133 269.4309 377.468 -0.2096507 -0.02708843
Moved 1243.149 259.3489 384.0365 -0.2329886 -0.01019431
Moved 1243.164 251.7722 389.9822 -0.2505273 0.005098272
Moved 1243.18 249.1943 392.8057 -0.2564947 0.01236029
Moved 1243.201 243.7608 399.4784 -0.2690721 0.0295225
Stationary 1243.213 243.7608 399.4784 -0.2690721 0.0295225
Moved 1243.225 243 402.3457 -0.2708333 0.03689731
Moved 1243.241 243 406.2971 -0.2708333 0.04706041
Moved 1243.257 243 410.6315 -0.2708333 0.05820855
Moved 1243.272 255.7495 415.9229 -0.2413206 0.07181815
Moved 1243.289 267.5367 420.1951 -0.2140355 0.08280632
Moved 1243.302 289.0734 423.5061 -0.1641819 0.09132216
Moved 1243.318 308.2828 424.9488 -0.1197158 0.09503286
Moved 1243.334 325.5146 425 -0.0798272 0.09516452
Moved 1243.35 338.2024 425 -0.05045737 0.09516452
Moved 1243.364 348.773 425 -0.02598842 0.09516452
Moved 1243.379 357.4983 425 -0.005790939 0.09516452
Moved 1243.394 361.6212 425 0.003752709 0.09516452
Moved 1243.411 365.7896 425 0.01340171 0.09516452
Moved 1243.427 368.4205 425 0.01949191 0.09516452
Moved 1243.442 370.1353 425 0.02346138 0.09516452
Moved 1243.456 371.5 425 0.02662033 0.09516452
Moved 1243.472 372.0102 425 0.0278014 0.09516452
Stationary 1243.487 372 425 0.02777775 0.09516452
Stationary 1243.503 372 425 0.02777775 0.09516452
Stationary 1243.518 372 425 0.02777775 0.09516452
Moved 1243.534 359.8099 425 -0.0004400313 0.09516452
Moved 1243.55 350.874 418.874 -0.02112508 0.0794083
Moved 1243.566 338.1754 416.6862 -0.05052 0.07378122
Moved 1243.581 327.9389 417 -0.07421548 0.0745884
Moved 1243.597 318.8782 417 -0.09518925 0.0745884
Moved 1243.618 305.2175 417 -0.1268113 0.0745884
Stationary 1243.63 305.2175 417 -0.1268113 0.0745884
Moved 1243.642 299.4623 417 -0.1401336 0.0745884
Moved 1243.658 297.4252 417 -0.144849 0.0745884
Moved 1243.673 295.9765 417 -0.1482025 0.0745884
Ended 1243.689 296 417 -0.1481481 0.0745884
Candidates 1243.871 12 were get eye et wet wt ferry feet water fewer grey we
Began 1244.487 396 276 0.08333336 -0.288066
Stationary 1244.505 396 276 0.08333336 -0.288066
Moved 1244.521 396 290.2023 0.08333336 -0.2515373
Moved 1244.537 396 307.9747 0.08333336 -0.2058265
Moved 1244.553 396 334.395 0.08333336 -0.1378729
Moved 1244.567 396 373.8969 0.08333336 -0.03627345
Ended 1244.584 414 439 0.125 0.1311728
Accept 1244.643 0 were
Began 1245.167 317 468 -0.09953702 0.2057612
Stationary 1245.179 317 468 -0.09953702 0.2057612
Stationary 1245.189 317 468 -0.09953702 0.2057612
Stationary 1245.2 317 468 -0.09953702 0.2057612
Moved 1245.223 317 455.6932 -0.09953702 0.174108
Stationary 1245.233 317 455.6932 -0.09953702 0.174108
Moved 1245.246 317 446.167 -0.09953702 0.1496064
Moved 1245.261 331.5472 423.4867 -0.06586293 0.09127232
Moved 1245.276 343.3344 399.3312 -0.03857781 0.02914405
Moved 1245.301 367.3452 358.9822 0.01700262 -0.07463423
Moved 1245.313 379.9786 339.4777 0.04624685 -0.1248003
Stationary 1245.323 379.9786 339.4777 0.04624685 -0.1248003
Moved 1245.337 390.8161 322.4581 0.07133345 -0.1685748
Moved 1245.353 397.9565 310.0761 0.08786231 -0.2004216
Moved 1245.369 403.2799 300.4402 0.100185 -0.2252053
Moved 1245.384 407.5694 292.7177 0.1101143 -0.2450677
Moved 1245.4 410.9814 286.0371 0.1180126 -0.2622503
Moved 1245.415 415.2799 280.2934 0.1279628 -0.2770232
Moved 1245.431 417.8203 273.4493 0.1338432 -0.2946264
Moved 1245.446 419.3558 270.2884 0.1373976 -0.3027563
Moved 1245.462 420.7909 268.4183 0.1407196 -0.3075662
Moved 1245.477 422.2319 266.7681 0.1440554 -0.3118105
Moved 1245.492 422.6814 267 0.1450959 -0.311214
Moved 1245.508 423.5 267 0.1469907 -0.311214
Moved 1245.524 423 267 0.1458333 -0.311214
Moved 1245.539 425.3061 286.5305 0.1511715 -0.2609814
Moved 1245.554 428.1776 303.0656 0.1578186 -0.2184527
