my watch fell in the water
my watch fell in the water
Basic
0.6 0.6
432 388.8
Began 1410.465 526 213 0.3842592 -0.4501029
Stationary 1410.484 526 213 0.3842592 -0.4501029
Stationary 1410.496 526 213 0.3842592 -0.4501029
Stationary 1410.511 526 213 0.3842592 -0.4501029
Moved 1410.527 512.3275 239.345 0.35261 -0.3823432
Moved 1410.542 492.6765 275.8865 0.3071216 -0.2883579
Moved 1410.557 475.0723 308.759 0.2663712 -0.2038093
Moved 1410.572 454.4662 342.8055 0.2186718 -0.1162411
Moved 1410.589 442.7076 367.5848 0.1914527 -0.05250821
Moved 1410.604 418.5688 408.4551 0.135576 0.05261076
Moved 1410.62 403.6115 435.2993 0.1009527 0.1216544
Moved 1410.638 394.9229 450.4747 0.08084009 0.1606858
Moved 1410.65 386.2845 466.3118 0.06084382 0.2014191
Moved 1410.665 380.1978 477.4836 0.04675408 0.2301532
Moved 1410.682 375.0267 486.9465 0.03478408 0.254492
Moved 1410.697 371.8504 493.2992 0.02743145 0.2708311
Moved 1410.712 367.5 502 0.01736114 0.2932098
Moved 1410.728 366.0544 504.8911 0.01401494 0.3006458
Ended 1410.745 364.6119 507.7762 0.01067569 0.3080664
Candidates 1410.925 12 my nmt mt ny nyt mi mr mgi bmi mit nt by
Began 1411.374 415 342 0.1273148 -0.1183128
Stationary 1411.39 415 342 0.1273148 -0.1183128
Stationary 1411.404 415 342 0.1273148 -0.1183128
Moved 1411.42 415 382.3825 0.1273148 -0.01444836
Moved 1411.437 415 406.5389 0.1273148 0.04768234
Moved 1411.452 415 439.9142 0.1273148 0.1335242
Moved 1411.467 415 460.3072 0.1273148 0.1859752
Moved 1411.482 415 476.8827 0.1273148 0.2286077
Moved 1411.498 415 488.8992 0.1273148 0.2595142
Moved 1411.513 415 496.2115 0.1273148 0.2783216
Ended 1411.529 415 500 0.1273148 0.2880658
Accept 1411.588 0 my
Began 1411.974 243 518 -0.2708333 0.3343621
Stationary 1411.992 243 518 -0.2708333 0.3343621
Stationary 1412.006 243 518 -0.2708333 0.3343621
Stationary 1412.021 243 518 -0.2708333 0.3343621
Stationary 1412.038 243 518 -0.2708333 0.3343621
Moved 1412.052 243 503.5292 -0.2708333 0.2971428
Moved 1412.067 235.0946 480.2247 -0.2891328 0.2372033
Moved 1412.085 230.6698 458.3488 -0.2993756 0.1809381
Moved 1412.099 223.873 430.4071 -0.3151089 0.1090717
Moved 1412.114 217.1496 400.636 -0.3306721 0.03249992
Moved 1412.13 212.8199 386.0662 -0.3406947 -0.004973824
Moved 1412.145 208.4971 370.4915 -0.3507011 -0.04503234
Moved 1412.16 205.4392 360.0372 -0.3577796 -0.07192077
Moved 1412.177 204.2894 355.8681 -0.3604412 -0.08264384
Moved 1412.193 204 352.698 -0.3611111 -0.0907974
Moved 1412.207 202.7847 350.5693 -0.3639244 -0.09627227
Moved 1412.222 203 350 -0.3634259 -0.09773669
Stationary 1412.238 203 350 -0.3634259 -0.09773669
Moved 1412.251 208.9562 356.5518 -0.3496384 -0.08088524
Moved 1412.268 225.3707 373.3707 -0.311642 -0.03762696
Moved 1412.283 245.5743 395.0438 -0.2648744 0.01811683
Moved 1412.3 271.5383 414.8123 -0.2047725 0.06896164
Moved 1412.315 293.1635 435.1553 -0.1547142 0.1212842
Moved 1412.332 322.0766 456.8075 -0.08778557 0.1769739
Moved 1412.345 334.91 466.128 -0.05807877 0.2009464
Moved 1412.36 346.671 475.0032 -0.03085409 0.2237737
Moved 1412.376 351.5345 480.3018 -0.01959612 0.2374015
Moved 1412.392 354.4162 482.2081 -0.01292542 0.2423048
Moved 1412.407 355 482.6471 -0.01157408 0.2434338
Stationary 1412.422 355 483 -0.01157408 0.2443414
Stationary 1412.438 355 483 -0.01157408 0.2443414
Moved 1412.452 350.807 476.4111 -0.02128 0.2273946
Moved 1412.468 338.5634 455.2238 -0.04962186 0.1729006
Moved 1412.487 325.1959 429.8754 -0.08056512 0.1077042
Moved 1412.499 312.5748 403.3137 -0.1097806 0.0393871
Moved 1412.515 299.799 378.9537 -0.1393541 -0.02326738
Moved 1412.531 291.9653 360.3237 -0.1574878 -0.07118405
Moved 1412.545 282.7267 342.3626 -0.1788733 -0.1173802
Moved 1412.561 273.894 318.033 -0.1993194 -0.1799562
Moved 1412.579 269.61 304.2365 -0.2092362 -0.2154413
Moved 1412.593 264.0977 287.2932 -0.221996 -0.2590196
Moved 1412.607 259.9782 270.9129 -0.2315319 -0.30115
Moved 1412.622 256.7673 259.1854 -0.2389646 -0.3313133
Moved 1412.647 256 243.0782 -0.2407407 -0.3727412
Stationary 1412.658 256 243.0782 -0.2407407 -0.3727412
Moved 1412.67 256 239.8717 -0.2407407 -0.3809884
Moved 1412.687 259.5667 239 -0.2324845 -0.3832304
Moved 1412.7 273.5209 245.6951 -0.2001831 -0.3660107
Moved 1412.715 293.4266 261.2638 -0.154105 -0.3259677
Moved 1412.73 314.3651 284.2004 -0.1056364 -0.2669744
Moved 1412.745 334.6616 305.9232 -0.0586537 -0.211103
Moved 1412.762 350.6224 326.8551 -0.02170732 -0.1572658
Moved 1412.777 365.7346 346.4182 0.01327455 -0.106949
Moved 1412.792 379.7872 363.3447 0.04580379 -0.063414
Moved 1412.808 387.3098 374.7465 0.06321728 -0.0340884
Moved 1412.823 395.9575 385.1171 0.08323491 -0.007414994
Moved 1412.838 402.9978 392.9977 0.09953192 0.01285423
Moved 1412.854 409.2056 400.257 0.1139018 0.03152502
Moved 1412.869 413.4404 403.3303 0.1237047 0.03942976
Moved 1412.888 416.7649 407.7649 0.1314001 0.05083559
Moved 1412.9 421.1024 412.1024 0.1414406 0.06199157
Ended 1412.915 421.1024 412.1024 0.1414406 0.06199157
Candidates 1413.053 12 watch rewatch arch search catch each hatch tech stretch such reach batch
Began 1413.621 375 385 0.03472219 -0.007716127
Moved 1413.641 375 391.3177 0.03472219 0.008533265
Moved 1413.655 375 405.5852 0.03472219 0.04522939
Moved 1413.67 379.9955 428.9919 0.04628589 0.1054318
Moved 1413.687 388.7583 453.0331 0.06657004 0.1672662
Moved 1413.702 391.7492 478.7427 0.07349353 0.2333918
Moved 1413.716 394.8154 494.3386 0.08059124 0.2735046
Ended 1413.734 398 505 0.08796295 0.3009258
Accept 1413.791 0 watch
Began 1414.362 335 321 -0.05787035 -0.1723252
Stationary 1414.384 335 321 -0.05787035 -0.1723252
Stationary 1414.399 335 321 -0.05787035 -0.1723252
Stationary 1414.411 335 321 -0.05787035 -0.1723252
Stationary 1414.425 335 321 -0.05787035 -0.1723252
Stationary 1414.441 335 321 -0.05787035 -0.1723252
Moved 1414.457 319.1669 337.3053 -0.09452105 -0.1303877
Moved 1414.473 311.8827 347.1759 -0.1113826 -0.1050003
Moved 1414.488 300.8242 368.3515 -0.1369809 -0.05053634
Moved 1414.503 292.2506 385.4987 -0.1568272 -0.006433337
Moved 1414.519 282.6179 402.7642 -0.1791251 0.03797362
Moved 1414.535 275.34 414.6559 -0.1959722 0.06855949
Moved 1414.55 266.9144 431.9427 -0.215476 0.1130212
Moved 1414.564 258.6498 451.1503 -0.2346069 0.1624236
Moved 1414.591 247.2702 485.6815 -0.2609487 0.2512382
Moved 1414.604 242.4857 501.7144 -0.2720239 0.2924751
Stationary 1414.614 242.4857 501.7144 -0.2720239 0.2924751
Moved 1414.625 239.7758 514.2845 -0.2782966 0.3248059
Moved 1414.642 237.9491 520.1526 -0.2825252 0.3398987
Moved 1414.658 237 523.982 -0.2847222 0.3497479
Moved 1414.672 236.0714 527.7857 -0.2868717 0.3595311
Moved 1414.688 236 529.3593 -0.287037 0.3635784
Moved 1414.703 236 530.5024 -0.287037 0.3665184
Moved 1414.719 236 531.9348 -0.287037 0.3702026
Moved 1414.734 236 533.3766 -0.287037 0.373911
Moved 1414.749 249.0719 534 -0.2567781 0.3755144
Moved 1414.765 257.5185 534 -0.2372258 0.3755144
Moved 1414.781 266.891 534 -0.21553 0.3755144
Moved 1414.796 281.4598 526.071 -0.1818059 0.3551209
Moved 1414.811 292.9429 519.9402 -0.1552248 0.3393525
Moved 1414.826 315.8344 503.8839 -0.1022352 0.2980552
Moved 1414.841 335.6688 488.6888 -0.05632231 0.2589733
Moved 1414.858 356.7758 470.335 -0.007463296 0.2117668
Moved 1414.874 378.0799 452.936 0.0418517 0.1670164
Moved 1414.889 396.5604 440.1505 0.08463065 0.1341319
Moved 1414.903 418.3279 424.2862 0.1350183 0.0933286
Moved 1414.919 429.58 415.336 0.1610648 0.0703086
Moved 1414.937 450.9596 399.6296 0.2105547 0.02991154
Moved 1414.95 461.3942 391.249 0.2347087 0.008356384
Moved 1414.965 473.0701 383.7062 0.2617363 -0.01104386
Moved 1414.981 480.1975 377.5021 0.2782349 -0.02700091
Moved 1414.996 487.6793 371.4565 0.295554 -0.04255012
Moved 1415.011 491.7337 367.8442 0.3049392 -0.05184126
Ended 1415.029 494.5 366 0.3113426 -0.05658444
Candidates 1415.149 12 cell feel fell creek seek bell geek del gel greek dark hell
Began 1415.856 352 402 -0.01851852 0.03600815
Stationary 1415.876 352 402 -0.01851852 0.03600815
Stationary 1415.889 352 402 -0.01851852 0.03600815
Stationary 1415.91 352 402 -0.01851852 0.03600815
Stationary 1415.922 352 402 -0.01851852 0.03600815
Stationary 1415.935 352 402 -0.01851852 0.03600815
Moved 1415.95 374.9643 389.5178 0.03463954 0.003903785
Moved 1415.968 385.8292 386.0513 0.05978982 -0.005012245
Moved 1415.987 404.2972 378.9626 0.1025397 -0.0232443
Moved 1415.997 422.1163 375.4347 0.1437877 -0.03231826
Moved 1416.013 437.0039 371.0988 0.1782499 -0.04347012
Moved 1416.031 446.9222 366.7792 0.2012088 -0.05458039
Moved 1416.046 456.0345 363.6552 0.2223021 -0.06261535
Moved 1416.06 462.7027 361.1486 0.2377378 -0.06906234
Ended 1416.076 468 358.5 0.25 -0.07587456
Accept 1416.133 2 fell
Began 1416.581 416 566 0.1296297 0.4578188
Stationary 1416.6 416 566 0.1296297 0.4578188
Stationary 1416.614 416 566 0.1296297 0.4578188
Stationary 1416.631 416 566 0.1296297 0.4578188
Moved 1416.644 416 552.0199 0.1296297 0.4218618
Moved 1416.66 416 528.2927 0.1296297 0.3608349
Moved 1416.677 416 502.0864 0.1296297 0.2934319
Moved 1416.693 416 463 0.1296297 0.1929011
Moved 1416.707 416 430.0371 0.1296297 0.10812
Moved 1416.723 416 395.1434 0.1296297 0.01837299
Moved 1416.738 411.9346 372.7077 0.120219 -0.03933212
Moved 1416.754 406.9668 354.8171 0.1087194 -0.08534694
Moved 1416.769 402.6212 337.4849 0.09866019 -0.1299258
Moved 1416.784 401.1039 324.9353 0.09514798 -0.1622035
Moved 1416.799 399.6642 314.6494 0.09181529 -0.1886589
Moved 1416.815 398.7024 310.5121 0.08958896 -0.1993
Moved 1416.83 398.1515 300.7573 0.08831351 -0.2243896
Ended 1416.85 397.5 297.5 0.08680551 -0.2327676
Candidates 1416.952 12 un run uh in young pub yum iv uv gunn ugh gun
Began 1417.876 387 411 0.06250004 0.05915629
Stationary 1417.894 387 411 0.06250004 0.05915629
Stationary 1417.908 387 411 0.06250004 0.05915629
Moved 1417.924 387 398.4471 0.06250004 0.02686999
Moved 1417.939 387 383.8484 0.06250004 -0.01067786
Moved 1417.956 396.2119 363.1524 0.0838238 -0.0639085
Moved 1417.97 399.3381 345.9713 0.09106049 -0.1080987
