want to join us for lunch
want to join us for lunch
Basic
0.6 0.6
432 388.8
Stationary 454.908 447 392 0.2013889 0.01028803
Stationary 454.9242 447 392 0.2013889 0.01028803
Stationary 454.943 447 392 0.2013889 0.01028803
Stationary 454.9547 447 392 0.2013889 0.01028803
Stationary 454.9706 447 392 0.2013889 0.01028803
Stationary 454.9854 447 392 0.2013889 0.01028803
Stationary 455.0014 447 392 0.2013889 0.01028803
Stationary 455.0161 447 392 0.2013889 0.01028803
Stationary 455.031 447 392 0.2013889 0.01028803
Moved 455.0474 467.7506 409.3344 0.2494227 0.05487238
Moved 455.0646 480.5 421.5 0.2789353 0.08616251
Moved 455.0789 498.6963 448.595 0.3210562 0.1558514
Moved 455.0945 507.5026 461.7538 0.3414411 0.189696
Moved 455.1095 518.1188 479.6783 0.3660159 0.2357979
Moved 455.1253 524.6421 491.3438 0.381116 0.2658019
Moved 455.1403 529.0817 498.8028 0.3913927 0.2849865
Moved 455.1559 533.853 507.2795 0.4024374 0.3067887
Moved 455.1716 537.2696 513.5392 0.4103463 0.3228888
Moved 455.1872 538 517.733 0.4120371 0.3336754
Moved 455.2024 539.0204 521.041 0.4143992 0.3421834
Moved 455.217 539 523.8936 0.4143518 0.3495206
Moved 455.233 539 526.3572 0.4143518 0.3558569
Moved 455.2477 539 529.0238 0.4143518 0.3627155
Moved 455.2649 539 531.9097 0.4143518 0.370138
Moved 455.278 532.6984 533.9002 0.3997648 0.3752577
Moved 455.2941 525.2641 536.6943 0.3825558 0.3824442
Moved 455.3157 518.1086 538.5566 0.3659921 0.3872339
Moved 455.3268 510.8448 539 0.3491779 0.3883744
Moved 455.3402 504.5 540.5 0.3344907 0.3922324
Moved 455.3556 500.9578 540 0.3262912 0.3909464
Moved 455.3711 496.4002 540 0.3157411 0.3909464
Moved 455.3865 484.3512 528.5267 0.2878499 0.361437
Moved 455.4024 471.3581 511.1976 0.2577734 0.3168662
Moved 455.4166 464.4259 497.8221 0.2417265 0.2824641
Moved 455.4325 458.1476 480.4426 0.2271934 0.2377638
Moved 455.4483 453.817 466.0568 0.2171691 0.2007634
Moved 455.465 450.8669 452.4675 0.21034 0.1658113
Moved 455.4793 447.0448 433.2689 0.2014926 0.1164322
Moved 455.4943 441.2852 405.8548 0.1881602 0.04592279
Moved 455.5104 438.5532 384.6276 0.1818361 -0.008673883
Moved 455.5255 435.4796 361.8367 0.1747213 -0.06729259
Moved 455.5409 433.7112 341.1125 0.1706278 -0.1205954
Moved 455.5565 433 317.7534 0.1689814 -0.1806756
Moved 455.5728 433 308.7273 0.1689814 -0.2038908
Ended 455.588 433 279 0.1689814 -0.2803498
Candidates 455.6937 12 join john job jon lion upon jim kim him hpv noun min
Began 456.0298 419 278 0.1365741 -0.2829219
Stationary 456.0509 419 278 0.1365741 -0.2829219
Stationary 456.0643 419 278 0.1365741 -0.2829219
Stationary 456.0793 419 278 0.1365741 -0.2829219
Stationary 456.095 419 278 0.1365741 -0.2829219
Moved 456.1108 404.9001 311.933 0.1039355 -0.1956457
Moved 456.1259 400.1352 337.9455 0.09290557 -0.1287411
Moved 456.1418 399 355.5826 0.09027779 -0.08337821
Moved 456.1571 397.8612 380.6379 0.08764158 -0.01893558
Moved 456.1729 398 394.621 0.08796295 0.01702937
Moved 456.1893 398 404.1053 0.08796295 0.04142306
Moved 456.2034 398 408.2017 0.08796295 0.051959
Moved 456.2262 398 414.4625 0.08796295 0.06806193
Stationary 456.2375 398 414.4625 0.08796295 0.06806193
Moved 456.248 398 417 0.08796295 0.0745884
Moved 456.2635 398 417.5 0.08796295 0.0758744
Moved 456.2793 398 418.1144 0.08796295 0.07745463
Stationary 456.2944 398 418.1144 0.08796295 0.07745463
Moved 456.311 398 419.374 0.08796295 0.0806943
Ended 456.326 398 419 0.08796295 0.07973251
Accept 456.3525 0 join
Began 456.7427 401 573 0.09490739 0.4758229
Stationary 456.7574 401 573 0.09490739 0.4758229
Stationary 456.7722 401 573 0.09490739 0.4758229
Stationary 456.7881 401 573 0.09490739 0.4758229
Stationary 456.8042 401 573 0.09490739 0.4758229
Stationary 456.8194 401 573 0.09490739 0.4758229
Stationary 456.8334 401 573 0.09490739 0.4758229
Stationary 456.849 401 573 0.09490739 0.4758229
Stationary 456.865 401 573 0.09490739 0.4758229
Moved 456.8808 384.1975 550.8254 0.05601287 0.4187896
Moved 456.8975 370.7376 533.3589 0.02485553 0.3738654
Moved 456.9122 356.3792 517.8171 -0.008381505 0.3338916
Moved 456.9266 342.9443 503.9443 -0.03948077 0.2982105
Moved 456.9432 328.5093 489.5093 -0.07289504 0.2610837
Moved 456.9572 316.928 478.812 -0.09970362 0.2335699
Moved 456.9738 301.7799 466.8271 -0.1347687 0.2027445
Moved 456.9894 283.5559 452.8123 -0.1769538 0.1666981
Moved 457.0044 268.8105 441.4082 -0.2110867 0.1373667
Moved 457.0204 255.836 431.3169 -0.2411202 0.1114118
Moved 457.0359 247.9168 425.2779 -0.2594518 0.09587927
Moved 457.0508 240.3507 419.4805 -0.276966 0.08096832
Moved 457.0691 229.8114 409.8114 -0.3013625 0.05609924
Moved 457.0814 223.3593 402.6312 -0.3162979 0.03763147
Moved 457.0976 216.5531 395.553 -0.3320531 0.0194265
Moved 457.1123 211 387 -0.3449074 -0.002572055
