learn to walk before you run
learn to walk before you run
Basic
0.6 0.6
432 388.8
Began 383.2106 558 417 0.4583333 0.0745884
Stationary 383.2278 558 417 0.4583333 0.0745884
Stationary 383.2422 558 417 0.4583333 0.0745884
Stationary 383.2584 558 417 0.4583333 0.0745884
Stationary 383.2736 558 417 0.4583333 0.0745884
Stationary 383.2893 558 417 0.4583333 0.0745884
Stationary 383.3031 558 417 0.4583333 0.0745884
Stationary 383.319 558 417 0.4583333 0.0745884
Stationary 383.3348 558 417 0.4583333 0.0745884
Stationary 383.3499 558 417 0.4583333 0.0745884
Stationary 383.3696 558 417 0.4583333 0.0745884
Stationary 383.3817 558 417 0.4583333 0.0745884
Stationary 383.3969 558 417 0.4583333 0.0745884
Stationary 383.4124 558 417 0.4583333 0.0745884
Stationary 383.4281 558 417 0.4583333 0.0745884
Moved 383.4439 545.0006 427.3995 0.4282421 0.1013361
Moved 383.4601 541.2796 427.4882 0.4196287 0.1015642
Moved 383.4754 531.7437 430.3589 0.3975547 0.1089479
Moved 383.4894 521.6763 433.853 0.3742506 0.1179347
Moved 383.5057 510.5156 438.1816 0.3484158 0.129068
Moved 383.5219 501.9283 442.5359 0.3285376 0.1402672
Moved 383.536 481.719 453.2473 0.281757 0.1678169
Moved 383.5523 465.4253 463.3657 0.24404 0.1938418
Moved 383.5696 449.5106 473.4933 0.2072005 0.21989
Moved 383.5824 437.6605 481.5596 0.1797697 0.2406369
Moved 383.5977 426.0475 490.2144 0.1528876 0.2628971
Moved 383.6135 413.3526 499.0339 0.1235013 0.285581
Moved 383.6284 404.7139 506.3754 0.1035044 0.3044632
Moved 383.6443 394.7297 514.946 0.08039276 0.3265071
Moved 383.6597 383.83 523.3987 0.05516211 0.3482475
Moved 383.6748 374.773 529.818 0.03419667 0.3647581
Moved 383.6903 365.7689 538.2311 0.01335392 0.3863967
Moved 383.7048 358.5854 542.1658 -0.003274431 0.396517
Moved 383.7213 350 548 -0.02314816 0.4115225
Moved 383.7376 346.0447 549.7388 -0.03230398 0.4159949
Moved 383.7525 341.718 552.188 -0.04231955 0.4222943
