exercise is good for the mind
exercise is good for the mind
FixStart
0.6 0.6
432 388.8
Began 2945.444 476 237 0.2685185 -0.3883744
Stationary 2945.466 476 237 0.2685185 -0.3883744
Stationary 2945.479 476 237 0.2685185 -0.3883744
Stationary 2945.495 476 237 0.2685185 -0.3883744
Stationary 2945.511 476 237 0.2685185 -0.3883744
Stationary 2945.525 476 237 0.2685185 -0.3883744
Stationary 2945.54 476 237 0.2685185 -0.3883744
Stationary 2945.556 476 237 0.2685185 -0.3883744
Stationary 2945.571 476 237 0.2685185 -0.3883744
Stationary 2945.587 476 237 0.2685185 -0.3883744
Stationary 2945.604 476 237 0.2685185 -0.3883744
Stationary 2945.619 476 237 0.2685185 -0.3883744
Stationary 2945.632 476 237 0.2685185 -0.3883744
Stationary 2945.647 476 237 0.2685185 -0.3883744
Stationary 2945.664 476 237 0.2685185 -0.3883744
Stationary 2945.68 476 237 0.2685185 -0.3883744
Stationary 2945.697 476 237 0.2685185 -0.3883744
Moved 2945.711 465.9881 247.012 0.2453428 -0.3626236
Moved 2945.726 463.1069 248.4465 0.2386735 -0.3589338
Moved 2945.741 459.3489 252.6511 0.2299744 -0.3481195
Moved 2945.757 455.0328 255.6448 0.2199834 -0.3404199
Moved 2945.773 451.5 261 0.2118056 -0.3266461
Moved 2945.795 433.8981 279.4022 0.1710604 -0.2793153
Moved 2945.812 423.8711 291.1289 0.1478497 -0.249154
Moved 2945.844 407.414 312.379 0.1097546 -0.1944984
Moved 2945.856 399.7972 324.3244 0.09212324 -0.1637747
Moved 2945.872 392.6462 335.7661 0.07556995 -0.1343466
Stationary 2945.883 392.6462 335.7661 0.07556995 -0.1343466
Moved 2945.896 387.4966 341.7552 0.06364942 -0.1189425
Moved 2945.911 381.7243 350.4136 0.05028775 -0.0966729
Moved 2945.925 376.104 357.3701 0.03727774 -0.07878071
Moved 2945.941 370.3456 363.6544 0.02394825 -0.06261747
Moved 2945.956 365.9516 369.3979 0.01377682 -0.04784478
Moved 2945.971 361.6164 375.3836 0.003741582 -0.03244965
Moved 2945.988 357.3163 380.9116 -0.006212393 -0.01823143
Moved 2946.003 354.2303 382.5131 -0.01335576 -0.01411234
Moved 2946.019 351.4449 385.5552 -0.01980359 -0.006288128
Moved 2946.037 348.5673 388.4327 -0.02646451 0.001112856
Moved 2946.049 347.3452 389 -0.0292934 0.002572016
Moved 2946.064 345.9026 390.0974 -0.03263285 0.005394382
Moved 2946.08 344.4653 390 -0.03595988 0.005143954
Moved 2946.095 343.025 390 -0.03929392 0.005143954
Moved 2946.111 340.9298 390 -0.04414394 0.005143954
Moved 2946.125 336.5439 373.6609 -0.05429655 -0.03688027
Moved 2946.141 334.0742 354.8911 -0.06001333 -0.08515684
