the price of gas is high
the price of gas is high
FixStart
0.6 0.6
432 388.8
Began 1805.018 346 281 -0.03240739 -0.2752058
Stationary 1805.038 346 281 -0.03240739 -0.2752058
Stationary 1805.052 346 281 -0.03240739 -0.2752058
Stationary 1805.067 346 281 -0.03240739 -0.2752058
Stationary 1805.082 346 281 -0.03240739 -0.2752058
Stationary 1805.098 346 281 -0.03240739 -0.2752058
Stationary 1805.114 346 281 -0.03240739 -0.2752058
Stationary 1805.13 346 281 -0.03240739 -0.2752058
Stationary 1805.144 346 281 -0.03240739 -0.2752058
Stationary 1805.16 346 281 -0.03240739 -0.2752058
Stationary 1805.176 346 281 -0.03240739 -0.2752058
Moved 1805.191 346 298.1979 -0.03240739 -0.2309725
Moved 1805.206 335.7096 308.0037 -0.0562278 -0.205752
Moved 1805.222 330.2534 321.4931 -0.06885777 -0.1710569
Moved 1805.238 325.8493 330.3013 -0.07905244 -0.148402
Moved 1805.253 320.3749 343.5627 -0.09172474 -0.1142934
Moved 1805.268 316.1866 353.2312 -0.1014198 -0.089426
Moved 1805.283 312.9135 362.2595 -0.1089966 -0.06620501
Moved 1805.301 308.5412 370.9175 -0.1191175 -0.04393644
Moved 1805.316 306.1471 379.6322 -0.1246594 -0.02152219
Moved 1805.329 304.6349 388.1909 -0.1281601 0.0004908086
Moved 1805.346 303.5 393.5 -0.130787 0.01414597
Moved 1805.361 302.1015 399.4923 -0.1340242 0.02955833
Moved 1805.377 300.64 405.4398 -0.1374073 0.0448555
Moved 1805.392 300 409.3843 -0.1388889 0.05500083
Moved 1805.407 298.7659 413.7022 -0.1417455 0.06610639
Moved 1805.423 299 416.3475 -0.1412037 0.07291029
Moved 1805.438 299 420.3444 -0.1412037 0.08319011
Moved 1805.454 299 421.5 -0.1412037 0.08616251
Moved 1805.469 299 423.6148 -0.1412037 0.09160179
Moved 1805.484 299 425.0546 -0.1412037 0.09530503
Moved 1805.499 299 426.4933 -0.1412037 0.09900545
Stationary 1805.516 299 426.4933 -0.1412037 0.09900545
Moved 1805.53 299 427.1236 -0.1412037 0.1006265
Stationary 1805.547 299 427.1236 -0.1412037 0.1006265
Moved 1805.561 308.7821 419.3917 -0.1185599 0.08073983
Moved 1805.577 320.8213 405.8965 -0.0906914 0.04603009
Moved 1805.592 338.1813 379.728 -0.05050614 -0.02127573
Moved 1805.608 353.8653 355.5718 -0.01420071 -0.083406
Moved 1805.622 368.7054 332.7922 0.02015124 -0.1419953
Moved 1805.639 381.1211 314.3184 0.04889131 -0.1895103
Moved 1805.657 388.937 299.7133 0.06698389 -0.2270748
Moved 1805.669 394.0697 289.8605 0.07886509 -0.2524164
Moved 1805.684 397.2548 283.4904 0.08623799 -0.2688005
Moved 1805.7 399.5532 276.6807 0.0915584 -0.2863151
Moved 1805.715 400.9948 271.0157 0.09489526 -0.3008855
Moved 1805.73 402.4336 266.6992 0.09822587 -0.3119877
Moved 1805.746 402 265.1252 0.09722222 -0.316036
Stationary 1805.762 402 265 0.09722222 -0.3163581
Moved 1805.777 386.9162 265 0.06230612 -0.3163581
Moved 1805.792 379.5066 265 0.0451542 -0.3163581
Moved 1805.808 361.6348 283.701 0.003784299 -0.2682588
Moved 1805.823 347.9613 290.6925 -0.0278674 -0.2502765
Moved 1805.839 332.6259 301.7266 -0.06336585 -0.2218968
Moved 1805.853 321.0384 312.9617 -0.09018898 -0.1929999
Moved 1805.87 303.7383 328.0676 -0.1302356 -0.1541471
Moved 1805.884 293 339 -0.1550926 -0.1260288
Moved 1805.901 279.3579 350.6421 -0.1866715 -0.09608515
Moved 1805.916 269.3585 361.7332 -0.2098184 -0.06755876
Moved 1805.931 258.734 375.3325 -0.234412 -0.0325812
Moved 1805.947 249.2008 387.7322 -0.2564796 -0.0006887255
Moved 1805.962 239.1371 397.863 -0.2797754 0.02536762
Moved 1805.977 230.9489 406.0511 -0.2987294 0.04642765
Moved 1805.992 223.5463 412.163 -0.315865 0.06214746
Moved 1806.008 216 421.5 -0.3333333 0.08616251
Moved 1806.023 212.5674 425.2435 -0.3412791 0.09579069
Moved 1806.039 208.2249 431.0334 -0.3513312 0.1106827
Moved 1806.054 205.3064 434.3873 -0.3580872 0.1193088
Moved 1806.07 203.8684 437.2632 -0.3614157 0.1267056
Moved 1806.085 202.4293 439.5707 -0.364747 0.1326406
Ended 1806.102 200.991 440 -0.3680765 0.1337448
Candidates 1806.223 12 the there threw where trigger tiger rubber huge else further that rude
Began 1806.497 346 260 -0.03240739 -0.3292181
Stationary 1806.516 346 260 -0.03240739 -0.3292181
Stationary 1806.531 346 260 -0.03240739 -0.3292181
Stationary 1806.547 346 260 -0.03240739 -0.3292181
Stationary 1806.562 346 260 -0.03240739 -0.3292181
Stationary 1806.577 346 260 -0.03240739 -0.3292181
Stationary 1806.593 346 260 -0.03240739 -0.3292181
Stationary 1806.612 346 260 -0.03240739 -0.3292181
Stationary 1806.624 346 260 -0.03240739 -0.3292181
Stationary 1806.638 346 260 -0.03240739 -0.3292181
Stationary 1806.655 346 260 -0.03240739 -0.3292181
Moved 1806.669 346 270.9462 -0.03240739 -0.3010645
Moved 1806.686 346 272.3852 -0.03240739 -0.2973633
Moved 1806.703 346 275.6581 -0.03240739 -0.2889453
Moved 1806.716 346 279.8051 -0.03240739 -0.2782792
Moved 1806.731 346 281.6222 -0.03240739 -0.2736055
Moved 1806.748 346 288.3963 -0.03240739 -0.2561824
Moved 1806.771 351.0889 300.6349 -0.02062748 -0.2247043
Stationary 1806.782 351.0889 300.6349 -0.02062748 -0.2247043
Moved 1806.794 354.1657 307.8286 -0.01350532 -0.2062022
Moved 1806.81 358.2021 315.6063 -0.004161745 -0.1861978
Moved 1806.833 364.2267 330.4534 0.009784004 -0.1480109
Stationary 1806.843 364.2267 330.4534 0.009784004 -0.1480109
Moved 1806.854 368.1907 338.3814 0.01895994 -0.1276198
Moved 1806.87 371.0809 343.1213 0.02565026 -0.1154287
Moved 1806.885 373.9666 347.45 0.03233016 -0.1042953
Moved 1806.903 374.9207 350.8414 0.0345387 -0.09557244
Moved 1806.916 376.3634 353.7267 0.03787815 -0.08815153
Stationary 1806.931 376 354 0.03703703 -0.08744855
Moved 1806.948 376 354.907 0.03703703 -0.08511586
Moved 1806.962 376 356.3185 0.03703703 -0.08148547
Ended 1806.977 376 356 0.03703703 -0.0823046
Accept 1807.022 0 the
Began 1807.159 311 260 -0.113426 -0.3292181
Stationary 1807.179 311 260 -0.113426 -0.3292181
Stationary 1807.193 311 260 -0.113426 -0.3292181
Stationary 1807.208 311 260 -0.113426 -0.3292181
Stationary 1807.224 311 260 -0.113426 -0.3292181
Stationary 1807.238 311 260 -0.113426 -0.3292181
Stationary 1807.256 311 260 -0.113426 -0.3292181
Stationary 1807.275 311 260 -0.113426 -0.3292181
Stationary 1807.285 311 260 -0.113426 -0.3292181
Stationary 1807.302 311 260 -0.113426 -0.3292181
Moved 1807.318 311 247.5559 -0.113426 -0.3612245
Stationary 1807.332 311 247.5559 -0.113426 -0.3612245
Moved 1807.348 311 251 -0.113426 -0.3523664
Stationary 1807.363 311 251 -0.113426 -0.3523664
Moved 1807.379 318.978 251 -0.09495825 -0.3523664
Moved 1807.394 326.4268 251 -0.07771572 -0.3523664
Moved 1807.411 333.6247 261.1748 -0.06105403 -0.3261966
Moved 1807.426 344.3299 270.1636 -0.0362734 -0.303077
Moved 1807.44 355.4659 277.6439 -0.01049573 -0.2838377
Moved 1807.457 369.4605 288.3684 0.02189944 -0.2562541
Moved 1807.472 381.9197 297.9357 0.05074004 -0.2316469
Moved 1807.488 392.6974 306.9852 0.07568847 -0.2083714
Moved 1807.503 403.5052 316.4421 0.1007064 -0.1840482
Moved 1807.518 418 328 0.1342593 -0.1543211
Moved 1807.533 429.5483 335.6612 0.1609913 -0.1346163
Moved 1807.553 441.058 342.9112 0.1876342 -0.1159692
Moved 1807.565 454.3013 351.8675 0.21829 -0.09293348
Moved 1807.579 466.1604 358.0802 0.2457417 -0.07695422
Moved 1807.595 477.5 363 0.2719907 -0.06430049
Moved 1807.611 489.0848 367.2339 0.2988073 -0.05341086
Moved 1807.626 500.9871 372.9935 0.3263589 -0.03859689
Moved 1807.641 511.7899 377.0528 0.3513654 -0.02815639
Moved 1807.658 521.8608 382.4919 0.3746778 -0.01416705
Moved 1807.674 530.3801 385.1267 0.3943983 -0.007390191
Moved 1807.688 539.0201 389.0101 0.4143985 0.002597879
Moved 1807.704 544.8013 390.4503 0.4277807 0.006302217
Moved 1807.72 549.0819 392.041 0.4376896 0.01039332
Moved 1807.735 551.9606 393.9606 0.4443533 0.01533084
Moved 1807.75 556.2101 395.4034 0.4541902 0.01904154
Moved 1807.766 556.5 396.5 0.4548612 0.02186214
Moved 1807.78 556 397.1398 0.4537037 0.02350772
Moved 1807.796 556 398.7213 0.4537037 0.02757536
Moved 1807.813 547.9026 400.1567 0.4349598 0.03126725
Moved 1807.827 541.7408 402.4197 0.4206965 0.03708776
Moved 1807.842 524.5416 402.7176 0.3808832 0.03785384
Moved 1807.857 511.5557 404.1605 0.3508233 0.04156489
Moved 1807.871 495.7945 404 0.3143392 0.04115226
Moved 1807.887 476.4342 406.0808 0.2695237 0.0465041
Moved 1807.903 458.1729 406 0.2272521 0.04629618
Moved 1807.918 437.104 406 0.1784814 0.04629618
Moved 1807.934 421.8471 406 0.1431646 0.04629618
Moved 1807.949 402.9969 406 0.09952992 0.04629618
Moved 1807.964 387.2488 406 0.06307602 0.04629618
Moved 1807.98 369.9935 406 0.02313316 0.04629618
Moved 1807.996 355.2014 406 -0.01110782 0.04629618
Moved 1808.01 343.2413 406 -0.03879318 0.04629618
Moved 1808.025 333.37 406 -0.06164352 0.04629618
Moved 1808.042 326.7658 406 -0.07693101 0.04629618
Moved 1808.058 317.3461 406 -0.09873579 0.04629618
Moved 1808.073 310.6215 406 -0.114302 0.04629618
Moved 1808.089 303.4117 406 -0.1309915 0.04629618
Moved 1808.105 297.7694 406 -0.1440522 0.04629618
Moved 1808.12 294.0048 406 -0.1527668 0.04629618
Moved 1808.134 291.1273 406 -0.1594274 0.04629618
Moved 1808.151 289.3443 406 -0.1635548 0.04629618
Stationary 1808.165 289 406 -0.1643519 0.04629618
Moved 1808.184 287.5823 406 -0.1676335 0.04629618
Stationary 1808.196 287.5823 406 -0.1676335 0.04629618
Stationary 1808.212 288 406 -0.1666667 0.04629618
Stationary 1808.227 288 406 -0.1666667 0.04629618
Stationary 1808.242 288 406 -0.1666667 0.04629618
Moved 1808.258 288 407.5 -0.1666667 0.05015428
Moved 1808.273 294.9481 408 -0.1505831 0.05144025
Moved 1808.288 305.9631 408 -0.1250855 0.05144025
Moved 1808.304 319.1879 408 -0.09447246 0.05144025
Moved 1808.32 333.1465 408 -0.06216084 0.05144025
Moved 1808.335 352.2974 398.1757 -0.01783018 0.02617188
Moved 1808.35 372.6725 393.3063 0.02933443 0.01364798
Moved 1808.366 391.3773 387.6531 0.07263253 -0.0008922545
Moved 1808.381 405.9153 383.1799 0.1062855 -0.01239753
Moved 1808.397 423.7375 377.4208 0.1475405 -0.02720986
Moved 1808.411 438.3767 372.987 0.1814275 -0.03861376
Moved 1808.428 450.1806 369.6823 0.2087514 -0.04711347
