a picture is worth many words
a picture is worth many words
FixStart
0.6 0.6
432 388.8
Moved 1987.814 254.7291 265.4583 -0.2436826 -0.3151793
Moved 1987.827 252.066 258.665 -0.2498472 -0.3326517
Moved 1987.841 249.1565 253.6261 -0.2565821 -0.3456119
Moved 1987.857 246.5667 249.35 -0.2625772 -0.3566102
Moved 1987.873 244.8158 245.8158 -0.2666301 -0.3657002
Moved 1987.888 244 243.5654 -0.2685185 -0.3714881
Moved 1987.904 243.0075 242.0076 -0.2708159 -0.375495
Moved 1987.919 243 240.6274 -0.2708333 -0.3790447
Moved 1987.934 242 240.252 -0.2731481 -0.3800105
Moved 1987.95 242 239.5 -0.2731481 -0.3819445
Moved 1987.965 241.4962 240 -0.2743143 -0.3806585
Moved 1987.98 240.5 240 -0.2766204 -0.3806585
Moved 1987.996 239.8639 240 -0.2780929 -0.3806585
Moved 1988.011 238.7461 255.0469 -0.2806804 -0.3419577
Moved 1988.028 239 279.6287 -0.2800926 -0.2787328
Moved 1988.044 239 300.0156 -0.2800926 -0.2262972
Moved 1988.057 239 326.4567 -0.2800926 -0.1582905
Moved 1988.074 239 347.8441 -0.2800926 -0.1032816
Moved 1988.09 247.441 367.882 -0.2605532 -0.05174386
Moved 1988.104 248.1594 388.1157 -0.2588903 0.0002976013
Moved 1988.12 249.7182 402.6182 -0.255282 0.03759823
Moved 1988.135 252.0101 424.0908 -0.2499767 0.09282595
Moved 1988.15 252 443.5667 -0.25 0.1429183
Moved 1988.166 253.7722 454.9497 -0.2458977 0.1721957
Moved 1988.183 254 465.1444 -0.2453704 0.1984166
Moved 1988.197 254 474.7825 -0.2453704 0.2232059
Moved 1988.213 254 484.3981 -0.2453704 0.2479373
Moved 1988.231 254 491.5087 -0.2453704 0.2662259
Moved 1988.245 254 497.8054 -0.2453704 0.2824212
Moved 1988.258 254 503.0278 -0.2453704 0.2958534
Moved 1988.273 254 508.5515 -0.2453704 0.3100604
Moved 1988.289 254 511.5812 -0.2453704 0.3178528
Moved 1988.304 254.9133 514.8266 -0.2432563 0.3261999
Moved 1988.32 256.3017 516.3017 -0.2400423 0.329994
Moved 1988.336 258.3772 518.6886 -0.2352379 0.3361331
Moved 1988.35 260.6259 519.813 -0.2300325 0.3390251
Moved 1988.367 265.5893 521.1473 -0.2185432 0.3424571
Moved 1988.384 272.5 522.5 -0.2025463 0.3459361
Moved 1988.397 280.5238 523.9048 -0.1839727 0.3495493
Moved 1988.412 290.0053 525.2865 -0.1620248 0.353103
Moved 1988.428 299.7246 525 -0.1395263 0.3523662
Moved 1988.444 307.3285 525 -0.1219247 0.3523662
Moved 1988.459 314.2513 525 -0.1058997 0.3523662
Moved 1988.474 318.7937 525 -0.09538502 0.3523662
Moved 1988.493 325.4807 525 -0.07990588 0.3523662
Moved 1988.506 329.7323 525 -0.07006417 0.3523662
Moved 1988.523 333.1662 525 -0.06211529 0.3523662
Moved 1988.542 336.3549 525 -0.0547341 0.3523662
Moved 1988.558 336.7265 525 -0.05387386 0.3523662
Stationary 1988.57 336.7265 525 -0.05387386 0.3523662
Moved 1988.584 337.5 525 -0.05208333 0.3523662
Moved 1988.599 337 517.4512 -0.05324075 0.3329507
Moved 1988.614 337 517.4366 -0.05324075 0.3329131
Moved 1988.631 337 516.0491 -0.05324075 0.3293444
Moved 1988.644 322.4773 513.3595 -0.08685802 0.3224266
Moved 1988.661 312.0087 509.6017 -0.111091 0.3127616
Moved 1988.676 297.1554 506.8464 -0.1454737 0.3056749
Moved 1988.691 280.3744 504.0624 -0.1843185 0.2985143
Moved 1988.706 272.2213 502.2443 -0.2031915 0.293838
Moved 1988.725 253.1977 502 -0.2472275 0.2932098
Moved 1988.737 238.2147 500.7468 -0.2819103 0.2899865
Moved 1988.754 228.212 500.3687 -0.3050648 0.289014
Moved 1988.765 218.9394 500 -0.3265292 0.2880658
Moved 1988.786 212.0579 498.6116 -0.3424585 0.2844947
Moved 1988.806 203.323 498.1077 -0.3626783 0.2831987
Stationary 1988.816 203.323 498.1077 -0.3626783 0.2831987
