this is a very good idea
this is a very good idea
Basic
0.6 0.6
432 388.8
Began 1143.613 324 555 -0.08333336 0.4295266
Stationary 1143.631 324 555 -0.08333336 0.4295266
Stationary 1143.646 324 555 -0.08333336 0.4295266
Moved 1143.661 329.0012 544.9977 -0.07175659 0.4038005
Moved 1143.677 339.0377 528.3693 -0.04852384 0.3610322
Moved 1143.693 350.3058 509.157 -0.0224403 0.3116178
Moved 1143.709 364.2651 487.6024 0.009872914 0.2561788
Moved 1143.724 372.6989 471.6895 0.02939572 0.2152507
Moved 1143.739 390.9948 445.7853 0.07174711 0.1486247
Moved 1143.755 397.4508 436.4599 0.08669177 0.1246396
Moved 1143.77 415.929 411.3248 0.1294652 0.0599918
Moved 1143.784 417.7342 410.119 0.133644 0.05689024
Moved 1143.802 423.9174 401.4434 0.1479571 0.03457662
Moved 1143.816 428.2151 397.8566 0.1579054 0.02535117
Moved 1143.832 431 395 0.1643519 0.01800408
Moved 1143.849 432.6494 394 0.1681698 0.01543206
Moved 1143.863 434.0863 394 0.171496 0.01543206
Moved 1143.879 435.5247 394 0.1748258 0.01543206
Moved 1143.893 437.9268 394 0.1803862 0.01543206
Moved 1143.91 439.3943 410.7318 0.1837832 0.05846632
Moved 1143.925 441.6744 424.0463 0.1890611 0.09271146
Moved 1143.941 444.5536 436.2145 0.1957261 0.1240085
Moved 1143.955 447.8437 449.3748 0.2033418 0.1578568
Moved 1143.97 460.5493 476.9172 0.2327528 0.2286964
Moved 1143.986 473.2487 501.2475 0.2621497 0.2912743
Moved 1144.002 482.1739 520.7391 0.2828099 0.341407
Moved 1144.017 489.6559 538.5742 0.3001294 0.3872791
Moved 1144.031 494.7073 556.8292 0.3118225 0.4342312
Moved 1144.047 497.0061 574.0736 0.3171438 0.4785843
Moved 1144.064 497 580.3531 0.3171296 0.4947354
Moved 1144.077 497 587.5 0.3171296 0.5131172
Moved 1144.093 497 592.8651 0.3171296 0.5269164
Moved 1144.109 497 595.7872 0.3171296 0.5344321
Moved 1144.124 486.5127 597.8291 0.2928534 0.5396838
