a very traditional way to dress
a very traditional way to dress
FixStart
0.6 0.6
432 388.8
Began 3015.176 438 295 0.1805556 -0.2391976
Stationary 3015.194 438 295 0.1805556 -0.2391976
Stationary 3015.21 438 295 0.1805556 -0.2391976
Stationary 3015.225 438 295 0.1805556 -0.2391976
Moved 3015.24 426.3467 295 0.1535804 -0.2391976
Moved 3015.255 422.0691 300.1291 0.1436785 -0.2260055
Moved 3015.271 415.8816 303.7061 0.1293555 -0.2168053
Moved 3015.287 406.3415 307.7108 0.107272 -0.2065053
Moved 3015.303 396.21 310.3686 0.08381953 -0.1996693
Moved 3015.318 386.1389 313.246 0.06050676 -0.1922684
Moved 3015.333 378.6863 314.5523 0.04325539 -0.1889087
Moved 3015.349 372.0438 315.9891 0.02787908 -0.1852134
Moved 3015.364 361.9762 318.864 0.004574557 -0.1778191
Moved 3015.379 357.0623 320.3126 -0.006800145 -0.1740932
Moved 3015.394 348.0966 322.9724 -0.02755418 -0.1672521
Moved 3015.41 336.5674 325.8582 -0.05424216 -0.1598299
Moved 3015.427 328.6528 328.7389 -0.07256289 -0.1524205
Moved 3015.441 322.767 330.3082 -0.08618757 -0.1483842
Moved 3015.456 315.2654 332.4938 -0.1035524 -0.1427628
Moved 3015.472 309.257 335.3715 -0.1174606 -0.1353615
Moved 3015.487 301 336.5 -0.1365741 -0.1324588
Moved 3015.505 294.4261 339.7148 -0.1517914 -0.1241904
Moved 3015.519 288.3824 341.1544 -0.1657814 -0.1204878
Moved 3015.534 282.8104 342.5948 -0.1786796 -0.1167829
Moved 3015.549 278.896 343 -0.1877408 -0.1157408
Moved 3015.565 276.019 343 -0.1944004 -0.1157408
Moved 3015.579 275.0824 344 -0.1965686 -0.1131688
Stationary 3015.594 275 344 -0.1967592 -0.1131688
Ended 3015.609 275 344 -0.1967592 -0.1131688
Candidates 3015.793 12 a s as see faa de aa da has fda ga aaa
Began 3016.164 391 271 0.07175922 -0.300926
Stationary 3016.18 391 271 0.07175922 -0.300926
Stationary 3016.194 391 271 0.07175922 -0.300926
Stationary 3016.211 391 271 0.07175922 -0.300926
Moved 3016.228 391 284.524 0.07175922 -0.266142
Moved 3016.241 391 294.3538 0.07175922 -0.2408596
