the postal service is very slow
the postal service is very slow
FixStart
0.6 0.6
432 388.8
Began 679.7916 391 347 0.07175922 -0.1054527
Stationary 679.803 391 347 0.07175922 -0.1054527
Stationary 679.8271 391 347 0.07175922 -0.1054527
Stationary 679.8428 391 347 0.07175922 -0.1054527
Moved 679.8599 386.459 351.0364 0.06124765 -0.09507088
Moved 679.8754 376.3853 361.5505 0.03792902 -0.06802869
Moved 679.8911 366.2549 378.7058 0.01447906 -0.02390481
Moved 679.9056 357 392 -0.006944438 0.01028803
Moved 679.921 345.7905 417.4191 -0.03289243 0.0756662
Moved 679.9363 338.274 437.8328 -0.05029162 0.1281706
Moved 679.9515 333.6443 450.8523 -0.06100854 0.161657
Moved 679.9674 330.562 465.1899 -0.0681435 0.1985337
Moved 679.9821 331 471.3151 -0.06712963 0.2142878
Moved 679.9977 331 475.2101 -0.06712963 0.2243057
Moved 680.0129 331 476.5 -0.06712963 0.2276234
Moved 680.0288 331 477 -0.06712963 0.2289094
Stationary 680.0441 331 477 -0.06712963 0.2289094
Stationary 680.0675 331 477 -0.06712963 0.2289094
Stationary 680.0773 331 477 -0.06712963 0.2289094
Moved 680.0886 346.824 462.6146 -0.03050004 0.1919098
Moved 680.1047 352.1158 451.2632 -0.01825059 0.162714
Moved 680.1207 360.9302 435.4614 0.002153218 0.1220713
Moved 680.1359 366.9178 423.1645 0.01601329 0.09044356
Moved 680.1516 380.1817 399.5002 0.04671683 0.0295787
Moved 680.1667 387.5262 382.3373 0.06371796 -0.01456469
Moved 680.1825 393.238 370.778 0.07693976 -0.0442953
Moved 680.1975 398.7472 359.5056 0.08969267 -0.07328825
Moved 680.2125 403.478 350.6635 0.1006435 -0.09603013
Moved 680.2284 409.2401 342.6998 0.1139818 -0.1165128
Moved 680.2434 412.2966 337.5057 0.1210568 -0.1298721
Moved 680.2597 417.7225 332.7033 0.133617 -0.142224
Moved 680.2747 421.0217 328.9783 0.141254 -0.1518047
Moved 680.2902 422.4477 324.657 0.1445548 -0.1629191
Moved 680.306 423.8843 324.1157 0.1478803 -0.1643115
Moved 680.3222 425.3173 322.6827 0.1511973 -0.1679972
Stationary 680.3361 425.3173 322.6827 0.1511973 -0.1679972
Stationary 680.3516 425 323 0.150463 -0.1671811
Stationary 680.3674 425 323 0.150463 -0.1671811
Moved 680.382 400.1372 337.5868 0.09291013 -0.1296637
Moved 680.3978 381.388 353.2101 0.04950931 -0.08948008
Moved 680.4137 357.7162 375.2838 -0.005286484 -0.03270648
Moved 680.4292 339.3391 393.6609 -0.04782627 0.01456001
Moved 680.444 321.7022 414.0637 -0.08865222 0.06703604
Moved 680.4594 310.35 428.18 -0.1149305 0.1033436
Moved 680.475 297.959 444.3881 -0.1436135 0.1450309
Moved 680.491 288.1141 461.6615 -0.1664025 0.1894585
Moved 680.5062 281.9842 473.0317 -0.1805922 0.2187028
Moved 680.5212 276.2238 483.1083 -0.1939265 0.2446201
Moved 680.5356 274.2452 489.5095 -0.1985064 0.261084
Moved 680.5514 272.6766 493.9702 -0.2021375 0.2725569
Moved 680.5672 270 497.5 -0.2083333 0.2816358
Moved 680.5823 270 499.9052 -0.2083333 0.2878219
Moved 680.5974 268.6633 501.3367 -0.2114276 0.2915039
Moved 680.6129 269 503.7904 -0.2106481 0.2978147
Moved 680.6281 269 508.9211 -0.2106481 0.311011
Ended 680.6436 269 508.9211 -0.2106481 0.311011
Candidates 680.7335 12 the there where threw edge regret egfr refer gene she herbert emmett
Began 681.1656 411 325 0.1180555 -0.1620371
Stationary 681.183 411 325 0.1180555 -0.1620371
Stationary 681.1986 411 325 0.1180555 -0.1620371
Moved 681.213 405.5371 342.8908 0.10541 -0.1160216
Moved 681.23 395.6942 367.9684 0.08262546 -0.05152172
Moved 681.2468 391.0094 408.3734 0.07178098 0.05240051
Moved 681.2611 389.0713 439.6458 0.06729464 0.1328337
Moved 681.276 389 461.6829 0.06712963 0.1895136
Moved 681.2911 386.2784 476.4119 0.06082962 0.2273969
Moved 681.3077 387 490.9285 0.06250004 0.2647338
Moved 681.3221 387 501.2308 0.06250004 0.2912314
Moved 681.3375 387 504.5352 0.06250004 0.2997302
Ended 681.3529 387 508.6432 0.06250004 0.3102962
Accept 681.3958 0 the
Began 681.8146 406 324 0.1064815 -0.164609
Stationary 681.8292 406 324 0.1064815 -0.164609
Stationary 681.8461 406 324 0.1064815 -0.164609
Stationary 681.86 406 324 0.1064815 -0.164609
Stationary 681.8757 406 324 0.1064815 -0.164609
Moved 681.8922 406 341.6068 0.1064815 -0.119324
Moved 681.9062 419.6701 353.3387 0.1381252 -0.08914948
Moved 681.9222 431.9858 371.424 0.1666339 -0.04263372
Moved 681.9376 437.8141 381.3568 0.1801251 -0.01708663
Moved 681.9526 454.5788 401.4384 0.2189324 0.03456378
Moved 681.9766 482.5 435.5 0.2835648 0.1221707
Stationary 681.9872 482.5 435.5 0.2835648 0.1221707
Moved 681.9994 492.5193 446.3992 0.3067577 0.1502035
Moved 682.014 502.6392 458.0162 0.3301833 0.1800827
Moved 682.0298 513.5234 468.5234 0.3553783 0.2071075
Moved 682.0469 521.6711 477.6241 0.3742386 0.2305146
Moved 682.061 533.0364 487.6569 0.4005473 0.2563192
Moved 682.077 541.0673 494.8807 0.4191372 0.274899
Moved 682.0925 547.059 501.059 0.4330069 0.2907894
Moved 682.1074 551.4135 505.1201 0.4430867 0.3012348
Moved 682.1229 554.2897 508.2897 0.4497447 0.309387
Moved 682.1381 555.5867 509.5867 0.452747 0.312723
Moved 682.1536 556 510 0.4537037 0.3137859
Moved 682.1679 557.1121 511.1121 0.456278 0.3166464
Stationary 682.183 557 511 0.4560185 0.3163579
Stationary 682.2003 557 511 0.4560185 0.3163579
Stationary 682.2139 557 511 0.4560185 0.3163579
Stationary 682.228 557 511 0.4560185 0.3163579
Stationary 682.2458 557 511 0.4560185 0.3163579
Stationary 682.2631 557 511 0.4560185 0.3163579
Stationary 682.2772 557 511 0.4560185 0.3163579
Moved 682.2911 558.1016 511 0.4585684 0.3163579
Moved 682.3085 559.7776 511 0.4624481 0.3163579
Moved 682.3237 561.2141 511 0.4657732 0.3163579
Moved 682.3385 563.6493 511 0.4714104 0.3163579
Moved 682.3539 565.0898 511 0.4747448 0.3163579
Stationary 682.3685 565.0898 511 0.4747448 0.3163579
Moved 682.383 566 511 0.4768519 0.3163579
Stationary 682.4007 566 511 0.4768519 0.3163579
Moved 682.4139 566 500.5 0.4768519 0.2893518
Moved 682.4294 547.2555 497.1277 0.4334618 0.2806783
Moved 682.446 530.1824 488.5912 0.3939407 0.2587221
Moved 682.4614 509.1623 478.2974 0.345283 0.2322462
Moved 682.4766 482.4048 465.3496 0.2833444 0.1989444
Moved 682.4922 460.0244 455.2838 0.231538 0.173055
Moved 682.507 433.13 447.7825 0.1692825 0.1537614
Moved 682.523 413.7187 440.738 0.1243488 0.1356429
Moved 682.54 397.1242 434.2497 0.08593559 0.1189548
Moved 682.5544 383.7883 427.3268 0.05506555 0.1011492
Moved 682.5679 375.5384 423.2692 0.03596852 0.09071279
Moved 682.5844 365.8836 416.9169 0.01361956 0.07437462
Moved 682.6006 360.5358 410.4429 0.001240174 0.05772351
Moved 682.6185 352.1817 399.4908 -0.01809786 0.02955441
Moved 682.6306 346.9625 389.925 -0.03017942 0.0049511
Moved 682.6463 341.2014 375.5036 -0.04351516 -0.03214094
Moved 682.6676 333.0044 358.0088 -0.06248981 -0.07713789
Stationary 682.6782 333.0044 358.0088 -0.06248981 -0.07713789
Moved 682.6912 330.226 344.582 -0.06892125 -0.1116719
Moved 682.7075 327.3048 334.0162 -0.07568324 -0.1388474
Moved 682.723 324.3924 321.2656 -0.08242507 -0.1716419
Moved 682.7396 322.4995 314.4983 -0.08680681 -0.1890477
Moved 682.7559 320.8143 307.0717 -0.09070759 -0.2081489
Moved 682.7694 319.3766 303.7531 -0.09403576 -0.2166844
Moved 682.7853 318.5 302 -0.0960648 -0.2211935
Moved 682.8 317.7438 303 -0.09781534 -0.2186215
Stationary 682.8151 317.7438 303 -0.09781534 -0.2186215
Moved 682.8304 318 311.7088 -0.09722222 -0.1962223
Moved 682.8487 328.5 326 -0.07291664 -0.1594652
Moved 682.8619 335.7984 344.5969 -0.05602216 -0.1116337
Moved 682.8775 343.086 363.4237 -0.0391527 -0.06321079
Moved 682.8926 350.2264 381.1434 -0.02262414 -0.01763536
Moved 682.9073 356.132 397.113 -0.008953661 0.02343884
Moved 682.9229 364 412 0.009259283 0.06172835
Moved 682.938 371.8172 433.2964 0.02735456 0.116503
Moved 682.9535 381.8964 453.7928 0.0506861 0.1692201
Moved 682.9693 386.1385 465.7025 0.06050567 0.1998521
Moved 682.9849 391.627 479.5674 0.07321049 0.2355127
Moved 683 394.1827 485.9567 0.07912655 0.2519463
Moved 683.0156 396.0251 490.0503 0.08339156 0.262475
Moved 683.0301 396 494.4253 0.08333336 0.2737275
Stationary 683.045 396 494 0.08333336 0.2726337
Stationary 683.0605 396 494 0.08333336 0.2726337
Stationary 683.0754 396 494 0.08333336 0.2726337
Stationary 683.0909 396 494 0.08333336 0.2726337
Moved 683.1076 380.1552 478.1552 0.04665563 0.2318806
Moved 683.1236 373.0266 464.04 0.03015429 0.195576
Moved 683.1396 362.659 446.701 0.006154974 0.15098
Moved 683.155 354.1704 434.2557 -0.01349434 0.1189703
Moved 683.1696 338.0493 412.5616 -0.05081177 0.06317288
Moved 683.1854 326.5335 396.9835 -0.0774688 0.02310572
Moved 683.2007 315.009 385.3851 -0.1041459 -0.006725719
Moved 683.2222 290.5 360.5 -0.1608796 -0.07073053
Stationary 683.2327 290.5 360.5 -0.1608796 -0.07073053
Moved 683.2458 281.301 352.301 -0.1821736 -0.09181859
Moved 683.2626 274.8505 346.8754 -0.1971054 -0.1057732
Moved 683.2768 269.0817 341.0817 -0.210459 -0.1206746
Moved 683.2928 265.2407 337.2407 -0.2193502 -0.1305538
Moved 683.3078 262.278 334.278 -0.2262082 -0.1381738
Moved 683.3231 262 333.2027 -0.2268519 -0.1409396
Moved 683.346 262 332 -0.2268519 -0.144033
Stationary 683.355 262 332 -0.2268519 -0.144033
Stationary 683.3694 262 332 -0.2268519 -0.144033
Stationary 683.3842 262 332 -0.2268519 -0.144033
Moved 683.4002 281.6451 342.475 -0.1813771 -0.1170909
Moved 683.4161 300.7395 350.7455 -0.1371771 -0.0958193
Moved 683.4301 319.7717 359.0236 -0.09312113 -0.0745278
Moved 683.4467 341.1935 366.0553 -0.04353345 -0.05644221
Moved 683.4617 362.8291 371.8211 0.006548862 -0.04161246
Moved 683.4769 378.6729 375.0012 0.0432243 -0.03343331
Moved 683.4932 402.9093 376.9952 0.09932716 -0.0283045
Moved 683.5099 423.8335 377 0.1477627 -0.02829226
Moved 683.5241 442.9369 377 0.1919836 -0.02829226
Moved 683.5392 460.4297 377 0.2324761 -0.02829226
Moved 683.5537 475.26 377 0.2668056 -0.02829226
Moved 683.5695 485.6871 377 0.2909423 -0.02829226
Moved 683.5847 494.5 377 0.3113426 -0.02829226
Moved 683.6031 501.5576 370.9233 0.3276795 -0.04392168
Moved 683.616 511.431 365.3867 0.3505346 -0.05816181
Moved 683.6318 519.8827 361.0587 0.3700988 -0.06929366
Moved 683.6475 528.5184 354.568 0.3900889 -0.08598775
Moved 683.6629 535.655 350.407 0.4066089 -0.09668993
Moved 683.6821 541.8674 346.0995 0.4209893 -0.1077689
Moved 683.6939 547.6647 343.1676 0.4344091 -0.1153097
Moved 683.7084 550.1715 339.8285 0.4402118 -0.123898
Moved 683.7239 554.8704 337.0864 0.4510888 -0.1309506
Moved 683.7394 559.1943 334.2038 0.461098 -0.1383647
Moved 683.7547 562.6686 332.3314 0.4691404 -0.1431807
Moved 683.77 565.5432 330.7284 0.4757945 -0.1473036
Moved 683.7858 567.4236 330 0.4801472 -0.149177
Moved 683.8025 570.2917 330 0.4867863 -0.149177
Moved 683.8159 573.5403 330 0.4943064 -0.149177
Ended 683.8309 573.5403 330 0.4943064 -0.149177
Candidates 683.9246 12 postal israel distal ideal usual portal useful partial bootstrap goal powerful oral
Began 684.3998 463 302 0.2384259 -0.2211935
Stationary 684.4173 463 302 0.2384259 -0.2211935
Stationary 684.4316 463 302 0.2384259 -0.2211935
Stationary 684.4479 463 302 0.2384259 -0.2211935
Moved 684.462 444.7623 335.4753 0.1962091 -0.1350943
Moved 684.4785 437.928 372.6641 0.1803889 -0.0394442
Moved 684.4962 434.5837 405.787 0.1726475 0.04574835
Moved 684.5093 433.5 434 0.1701389 0.1183127
Moved 684.5242 434 442.8181 0.1712963 0.140993
Moved 684.5399 434 451.1017 0.1712963 0.1622987
Moved 684.555 438.6437 455.9902 0.1820455 0.1748718
Moved 684.5709 443.2462 459.2463 0.1926996 0.1832466
Ended 684.5856 443.2462 459.2463 0.1926996 0.1832466
Accept 684.6445 0 postal
Began 685.2461 387 294 0.06250004 -0.2417696
Stationary 685.2655 387 294 0.06250004 -0.2417696
Stationary 685.279 387 294 0.06250004 -0.2417696
Stationary 685.294 387 294 0.06250004 -0.2417696
Moved 685.3094 379.1781 299.4753 0.04439374 -0.2276869
Moved 685.3254 368.4432 310.7792 0.01954456 -0.1986132
Moved 685.3411 359.6712 330.3233 -0.000761052 -0.1483455
Moved 685.3571 353.8492 345.6222 -0.01423791 -0.1089965
Moved 685.3745 348.1251 376.0309 -0.02748827 -0.0307846
Moved 685.3874 348 392.8236 -0.0277778 0.01240632
Moved 685.4037 348 405.7393 -0.0277778 0.04562558
Moved 685.4189 348 416.7676 -0.0277778 0.07399061
Moved 685.4334 355.8254 424.8909 -0.009663404 0.09488384
Moved 685.449 358.8309 432.0773 -0.00270625 0.1133673
Moved 685.4643 362.2525 435.8787 0.005214015 0.1231448
Moved 685.4812 363.9231 439.7693 0.009081265 0.1331514
Moved 685.5093 367.8012 445.6025 0.01805842 0.1481545
Moved 685.5246 369.2374 447.2374 0.02138287 0.1523594
Moved 685.5418 370.6748 448.6747 0.0247101 0.1560564
Moved 685.5555 372.1541 450.1541 0.02813449 0.1598611
Moved 685.5717 375 451.5 0.03472219 0.163323
Moved 685.5855 380.8455 455.8455 0.04825344 0.1744997
Moved 685.6019 387.7374 460.4424 0.06420682 0.186323
Moved 685.6168 394.9513 464.361 0.08090576 0.1964018
Moved 685.6371 402.146 470.1168 0.09756009 0.2112056
Moved 685.6472 407.8683 472.9341 0.1108063 0.2184519
Moved 685.6633 412.7231 475.8154 0.1220441 0.2258625
Moved 685.6784 415.6833 478.6833 0.1288966 0.233239
Moved 685.6935 417.6313 480.6313 0.1334057 0.2382491
Moved 685.7098 419 480.8682 0.1365741 0.2388583
Moved 685.7253 420.3093 481 0.1396049 0.2391974
Stationary 685.7415 420 481 0.1388889 0.2391974
Stationary 685.7554 420 481 0.1388889 0.2391974
Moved 685.7709 420 476.5019 0.1388889 0.2276282
Moved 685.7869 408.1279 464.2864 0.1114071 0.1962098
Moved 685.8034 403.1858 456.8602 0.09996721 0.1771094
Moved 685.8173 394.0468 444.3879 0.07881204 0.1450305
Moved 685.8331 387.601 435.4016 0.06389131 0.1219176
Moved 685.8486 383.375 430.8333 0.0541088 0.1101679
Moved 685.8631 380.0385 427.0385 0.04638543 0.1004076
Moved 685.8793 378.5774 425.5774 0.04300326 0.09664959
Moved 685.8961 376.144 423.144 0.03737042 0.09039097
Moved 685.9099 376 422.0355 0.03703703 0.08753984
Moved 685.9251 374.5939 420.5939 0.03378222 0.08383189
Moved 685.942 375 418.3196 0.03472219 0.07798242
Moved 685.9564 375 416.7082 0.03472219 0.07383782
Moved 685.9762 374 412.8454 0.03240744 0.06390269
Moved 685.987 372.8416 407.3665 0.02972603 0.04981092
Moved 686.0019 370.7871 399.7548 0.02497007 0.03023336
Moved 686.0177 368.4615 390.8461 0.01958688 0.007320058
Moved 686.0327 365.7451 378.8532 0.01329899 -0.02352569
Moved 686.0481 363.4384 364.9455 0.007959207 -0.05929664
Moved 686.0638 360.9831 353.9409 0.002275705 -0.08760075
Moved 686.0825 359.5621 346.8104 -0.001013627 -0.1059403
Moved 686.1102 356.6631 333.9892 -0.007724315 -0.1389167
Moved 686.1265 357 330.5 -0.006944438 -0.147891
Moved 686.1429 355.1182 328.2365 -0.01130039 -0.1537128
Moved 686.158 355 326.6773 -0.01157408 -0.157723
Moved 686.1728 354 325.2319 -0.01388888 -0.1614406
Moved 686.1878 354 324.5 -0.01388888 -0.163323
Moved 686.2036 353 323.3527 -0.01620372 -0.1662741
Moved 686.217 353 321.9128 -0.01620372 -0.1699772
Stationary 686.2328 353 321.9128 -0.01620372 -0.1699772
