the union will go on strike
the union will go on strike
FixStart
0.6 0.6
432 388.8
Began 3875.077 415 302 0.1273148 -0.2211935
Stationary 3875.098 415 302 0.1273148 -0.2211935
Stationary 3875.112 415 302 0.1273148 -0.2211935
Stationary 3875.127 415 302 0.1273148 -0.2211935
Moved 3875.14 408.3291 318.2007 0.1118729 -0.1795251
Moved 3875.158 405.1925 331.6337 0.1046123 -0.1449751
Moved 3875.174 401.3304 347.3478 0.09567231 -0.1045583
Moved 3875.188 400.0377 363.4348 0.09267986 -0.06318206
Moved 3875.204 397.1984 385.012 0.08610736 -0.00768528
Moved 3875.219 396.1737 400.3941 0.08373549 0.03187776
Moved 3875.235 394.7328 416.9388 0.0804 0.07443114
Moved 3875.25 394 427.9362 0.07870366 0.1027164
Moved 3875.265 394 440.3239 0.07870366 0.1345779
Moved 3875.281 393.4128 444.7615 0.07734448 0.1459916
Moved 3875.296 393 448.2769 0.07638891 0.1550331
Moved 3875.312 393 451.2251 0.07638891 0.1626159
Moved 3875.329 393 452.5541 0.07638891 0.1660342
Moved 3875.343 393 453.9929 0.07638891 0.1697348
Stationary 3875.36 393 454 0.07638891 0.169753
Moved 3875.374 393 446.9827 0.07638891 0.1517043
Moved 3875.389 404.8666 431.4963 0.1038579 0.1118733
Moved 3875.404 410.3501 411.3621 0.1165512 0.0600876
Moved 3875.419 418.2588 388.1177 0.1348583 0.0003027818
Moved 3875.435 425.7166 364.5067 0.1521219 -0.06042512
Moved 3875.45 430.3463 349.3971 0.1628385 -0.09928738
Moved 3875.466 434.6727 334.7577 0.1728535 -0.1369401
Moved 3875.483 437.3095 323.4168 0.1789571 -0.166109
Moved 3875.498 439.0954 313.3322 0.1830912 -0.1920471
Moved 3875.513 440.5 308 0.1863426 -0.2057614
Moved 3875.528 441 304.0842 0.1875 -0.2158327
Moved 3875.543 441 299.7922 0.1875 -0.2268719
Moved 3875.558 441 297 0.1875 -0.2340535
Moved 3875.573 441 295.0442 0.1875 -0.2390839
Moved 3875.589 441 293.6055 0.1875 -0.2427844
Moved 3875.604 441 292.1737 0.1875 -0.2464669
Moved 3875.621 427.1011 292 0.1553266 -0.2469136
Moved 3875.636 423.7762 292 0.1476302 -0.2469136
Moved 3875.65 407.4288 301.3503 0.109789 -0.2228644
Moved 3875.666 395.3389 310.0382 0.08180291 -0.200519
Moved 3875.684 382.1665 320.8335 0.05131136 -0.1727533
Moved 3875.697 370.3299 334.8376 0.0239117 -0.1367345
Moved 3875.713 360.5 344.5 0.001157423 -0.1118828
Moved 3875.728 350.3285 354.7126 -0.02238775 -0.08561578
Moved 3875.744 343.6437 361.3563 -0.03786172 -0.06852813
Moved 3875.759 333.897 375.1374 -0.06042366 -0.03308284
Moved 3875.776 326.193 385.7299 -0.07825702 -0.005838841
Moved 3875.79 320.3986 395.8024 -0.09166991 0.0200679
Moved 3875.804 315.6385 404.0423 -0.1026888 0.04126093
Moved 3875.82 311.1665 411.3892 -0.1130405 0.06015727
Moved 3875.836 306.8589 420.2821 -0.1230117 0.08303002
Moved 3875.851 305.1484 425.4064 -0.1269713 0.09620976
Moved 3875.867 301.2756 433.4487 -0.1359361 0.1168948
Moved 3875.882 298.6411 439.3973 -0.1420345 0.1321948
Moved 3875.897 296.8817 444.3548 -0.1461071 0.1449454
Moved 3875.913 296 447.5646 -0.1481481 0.1532011
Ended 3875.927 296 448 -0.1481481 0.1543209
Candidates 3876.049 12 the there threw tiger further huge trigger that rude urge tube rubber
Began 3876.511 379 304 0.04398147 -0.2160494
Stationary 3876.53 379 304 0.04398147 -0.2160494
Stationary 3876.545 379 304 0.04398147 -0.2160494
Stationary 3876.56 379 304 0.04398147 -0.2160494
Stationary 3876.575 379 304 0.04398147 -0.2160494
Stationary 3876.59 379 304 0.04398147 -0.2160494
Moved 3876.606 387.2438 328.1598 0.0630644 -0.15391
Moved 3876.622 392.0873 341.262 0.07427623 -0.1202109
Moved 3876.638 396.4713 359.3909 0.08442421 -0.07358323
Moved 3876.652 400.888 380.3279 0.09464809 -0.01973289
Moved 3876.668 405.1379 396.1724 0.1044859 0.02101953
Moved 3876.685 411.2422 413.7267 0.1186163 0.06616949
Moved 3876.699 415.737 428.4568 0.1290209 0.1040555
Ended 3876.714 426 447 0.1527777 0.1517489
Accept 3876.742 0 the
Began 3877.515 406 306 0.1064815 -0.2109054
Stationary 3877.534 406 306 0.1064815 -0.2109054
Stationary 3877.557 406 306 0.1064815 -0.2109054
Stationary 3877.569 406 306 0.1064815 -0.2109054
Stationary 3877.578 406 306 0.1064815 -0.2109054
Moved 3877.592 406 322.4632 0.1064815 -0.1685618
Moved 3877.608 411.716 334.3492 0.1197129 -0.1379909
Moved 3877.624 418.042 348.605 0.1343564 -0.1013247
Moved 3877.639 420.6877 357.063 0.1404808 -0.07957042
Moved 3877.655 427.2729 374.5762 0.1557242 -0.03452623
Moved 3877.67 431.6015 386.604 0.1657442 -0.003590564
Moved 3877.694 439.2493 403.4155 0.1834475 0.03964891
Stationary 3877.705 439.2493 403.4155 0.1834475 0.03964891
