this is a very good idea
this is very good idea
Basic
0.6 0.6
432 388.8
Moved 1985.927 413.8797 489.5691 0.1247215 0.2612373
Moved 1985.942 395.9673 483.2952 0.08325776 0.2451007
Moved 1985.958 383.2236 478.7412 0.05375832 0.2333879
Moved 1985.973 363.1159 470.1757 0.007212758 0.2113572
Moved 1985.989 352.4046 466.7618 -0.01758203 0.2025767
Moved 1986.004 340.9734 461.9886 -0.04404316 0.1902999
Moved 1986.019 333.2291 458.1145 -0.06196976 0.1803356
Moved 1986.034 327.4545 456.1136 -0.07533689 0.1751894
Moved 1986.05 323.0185 453.3456 -0.08560532 0.16807
Moved 1986.067 319.5 452.5 -0.09375001 0.165895
Moved 1986.081 316.5113 451.1704 -0.1006682 0.1624753
Moved 1986.096 313.4635 449.7318 -0.1077234 0.158775
Moved 1986.112 310.5818 448.2909 -0.114394 0.1550691
Moved 1986.128 308.8578 448 -0.1183846 0.1543209
Moved 1986.142 306.8219 447 -0.1230975 0.1517489
Moved 1986.158 304.9739 445.9739 -0.1273752 0.1491098
Moved 1986.172 303.5352 446 -0.1307056 0.1491768
Moved 1986.189 301.9361 445 -0.1344072 0.1466049
Moved 1986.205 299.056 444.028 -0.1410742 0.1441047
Moved 1986.22 294.7678 441.1785 -0.1510004 0.1367759
Moved 1986.235 289.6117 437.4588 -0.1629358 0.1272088
Moved 1986.251 285.1106 434.4071 -0.173355 0.1193598
Moved 1986.266 281.5346 431.5346 -0.1816329 0.1119717
Moved 1986.281 276.3008 426.3008 -0.1937483 0.09851015
Moved 1986.297 274.5648 424.5649 -0.1977666 0.09404547
Moved 1986.314 270.064 421.064 -0.2081853 0.08504098
Moved 1986.328 265.507 417.6713 -0.2187338 0.07631505
Moved 1986.342 262.7876 413.7877 -0.2250286 0.06632616
Moved 1986.359 259.9138 410.9138 -0.2316811 0.0589346
Moved 1986.375 257.0361 408.0361 -0.2383423 0.05153318
Moved 1986.388 255.0764 406.0764 -0.2428787 0.04649284
Moved 1986.406 253.9933 403.9866 -0.2453859 0.04111768
Moved 1986.422 251.1208 401.1208 -0.2520351 0.03374696
Moved 1986.435 250.1163 400.1163 -0.2543603 0.03116341
Moved 1986.45 248.6699 397.3398 -0.2577085 0.02402219
Moved 1986.467 247.2388 396.2388 -0.2610212 0.02119033
Moved 1986.482 245.8035 394.8035 -0.2643438 0.01749855
Moved 1986.496 244.3624 392.3624 -0.2676797 0.01122
Moved 1986.512 242.3449 391.1725 -0.2723497 0.008159645
Moved 1986.527 240.7858 388.5717 -0.2759587 0.001470267
Moved 1986.543 238.3385 386.3386 -0.2816238 -0.004273285
