exercise is good for the mind
exercise is good for the mind
Basic
0.6 0.6
432 388.8
Began 128.3212 358 433 -0.004629641 0.1157406
Stationary 128.3383 358 433 -0.004629641 0.1157406
Stationary 128.3554 358 433 -0.004629641 0.1157406
Stationary 128.3687 358 433 -0.004629641 0.1157406
Stationary 128.384 358 433 -0.004629641 0.1157406
Moved 128.3992 345.104 433 -0.03448154 0.1157406
Moved 128.4169 339.4642 442.9465 -0.04753649 0.1413231
Moved 128.4324 331.8672 448.0797 -0.06512234 0.154526
Moved 128.4472 325.5092 452.3272 -0.07983983 0.1654505
Moved 128.4623 317.7905 457.6571 -0.09770712 0.1791591
Moved 128.4788 313.0269 460.9821 -0.1087341 0.187711
Moved 128.5009 305.2729 464.7271 -0.1266832 0.1973433
Stationary 128.5116 305.2729 464.7271 -0.1266832 0.1973433
Moved 128.5237 303.6887 466.3113 -0.1303503 0.201418
Moved 128.5383 300.5038 467.7481 -0.1377226 0.2051134
Moved 128.5537 299.0829 468.9171 -0.1410117 0.2081199
Moved 128.5706 297.6774 470.3226 -0.1442652 0.211735
Moved 128.5857 295.2383 471.7617 -0.1499112 0.2154363
Moved 128.601 293.7976 473.2024 -0.1532464 0.2191419
Moved 128.6173 290.7237 475.9144 -0.1603618 0.2261173
Moved 128.6321 287.8347 479.1653 -0.1670493 0.2344785
Moved 128.6471 283.446 483.554 -0.1772083 0.2457663
Moved 128.6624 280.5721 487.8557 -0.1838608 0.2568305
Moved 128.6777 276.8438 493.2084 -0.1924913 0.2705976
Moved 128.6935 274.0207 498.9586 -0.1990262 0.2853873
Moved 128.7086 271.1462 504.7075 -0.20568 0.3001736
Moved 128.7243 268.2714 509.0928 -0.2123347 0.3114527
Moved 128.7389 267.2007 512.5986 -0.2148131 0.3204695
Moved 128.754 267 516.7292 -0.2152778 0.3310936
Moved 128.7726 265.5 519 -0.21875 0.3369341
Moved 128.7846 266 520.7346 -0.2175926 0.3413956
Moved 128.8013 266 522.1753 -0.2175926 0.345101
Stationary 128.8167 266 522 -0.2175926 0.3446501
Moved 128.8312 266 523.0306 -0.2175926 0.3473009
Stationary 128.8465 266 523 -0.2175926 0.3472221
Moved 128.8631 275.8816 505.2131 -0.1947186 0.301474
Moved 128.879 290.2947 467.8337 -0.1613548 0.2053335
Moved 128.8941 299.9629 421.752 -0.1389747 0.0868105
Moved 128.9091 307.9233 359.7097 -0.120548 -0.07276323
Moved 128.9246 312.2309 327.9738 -0.1105767 -0.1543886
Moved 128.94 312.8561 311.583 -0.1091294 -0.1965457
Moved 128.9579 313 298.3295 -0.1087963 -0.2306339
Moved 128.9707 313 290.3652 -0.1087963 -0.2511185
Moved 128.9853 313 284.3524 -0.1087963 -0.2665835
Moved 129.0013 313 280.2629 -0.1087963 -0.2771017
Moved 129.017 313 276.6238 -0.1087963 -0.2864615
Moved 129.0314 305.0477 274.864 -0.1272044 -0.2909878
Moved 129.0482 304.8499 273.4249 -0.1276623 -0.294689
Moved 129.0629 302.9847 273 -0.1319798 -0.295782
Moved 129.0785 301.5597 273 -0.1352784 -0.295782
Moved 129.0937 299.2151 273 -0.1407058 -0.295782
Moved 129.1087 297.9873 273 -0.1435479 -0.295782
Moved 129.1246 295.0921 273 -0.1502497 -0.295782
Moved 129.1394 294.1081 273 -0.1525275 -0.295782
Moved 129.1552 292.6599 273 -0.1558799 -0.295782
Moved 129.173 290.2227 273 -0.1615216 -0.295782
Moved 129.1857 288.7854 273 -0.1648487 -0.295782
Moved 129.2004 287.3452 273 -0.1681823 -0.295782
Moved 129.218 285.3688 273 -0.1727575 -0.295782
Moved 129.2322 283.8027 273 -0.1763827 -0.295782
Moved 129.2476 281.7238 281.2762 -0.1811949 -0.2744955
Moved 129.2634 279.9235 285.2296 -0.1853623 -0.2643273
Moved 129.2789 275.9466 293.1068 -0.1945681 -0.2440669
Moved 129.294 273.0856 300.7433 -0.2011908 -0.2244256
Moved 129.3099 267.3915 319.2275 -0.2143714 -0.176884
Moved 129.326 261.5 338 -0.2280093 -0.1286009
Moved 129.3407 253.4653 395.2778 -0.2466082 0.01871862
Moved 129.3565 250.3038 448.8806 -0.2539265 0.1565859
Moved 129.3715 250 478.0573 -0.2546296 0.2316289
Moved 129.3869 250 500.3361 -0.2546296 0.2889303
Moved 129.4021 250 511.8727 -0.2546296 0.3186027
Moved 129.4181 250 527.7994 -0.2546296 0.3595664
Moved 129.434 250 537.5 -0.2546296 0.3845164
Moved 129.4479 250 542.2173 -0.2546296 0.3966493
Moved 129.4696 257.5125 552.0249 -0.2372397 0.4218747
Stationary 129.4797 257.5125 552.0249 -0.2372397 0.4218747
Moved 129.4948 258 554.905 -0.2361111 0.4292823
Moved 129.5086 259.382 557.7641 -0.2329119 0.4366359
Moved 129.5271 260.8723 558.8723 -0.2294623 0.4394861
Moved 129.5412 264.9247 560.3082 -0.2200816 0.4431795
Moved 129.5551 266.5829 561.2915 -0.2162432 0.4457085
Moved 129.5714 273.3276 562 -0.2006305 0.4475308
Moved 129.5867 281.6101 563.2684 -0.1814582 0.450793
Moved 129.6022 289.9495 563 -0.1621539 0.4501028
Moved 129.6183 297.7473 563 -0.1441034 0.4501028
Moved 129.633 305.9002 563 -0.125231 0.4501028
Moved 129.6479 313.0883 563 -0.1085919 0.4501028
Moved 129.6635 317.4654 563 -0.09845982 0.4501028
Moved 129.6788 322.7672 558.8765 -0.08618702 0.4394971
Moved 129.6942 326.0581 554.9709 -0.0785692 0.4294519
Moved 129.7097 327.465 553.535 -0.07531255 0.4257587
Moved 129.727 328 550.1979 -0.07407407 0.4171757
Moved 129.741 328 544.6224 -0.07407407 0.4028352
Moved 129.7563 322.5254 524.8329 -0.08674672 0.3519365
Moved 129.7722 313.7579 499.3684 -0.1070419 0.2864413
Moved 129.7871 294.6338 439.2776 -0.1513107 0.1318867
Moved 129.8031 285.2971 387.8201 -0.1729234 -0.0004628656
Moved 129.8186 282.8053 356.3001 -0.1786915 -0.08153271
Moved 129.8333 282 322.6456 -0.1805555 -0.1680927
Moved 129.8487 289.4632 293.7427 -0.1632795 -0.2424312
Moved 129.8642 296.0135 266.9457 -0.1481168 -0.3113536
Moved 129.8806 302.403 246.5248 -0.1333264 -0.3638767
Moved 129.895 309.3811 228.009 -0.1171733 -0.4114995
Moved 129.9105 312.0383 216.4043 -0.1110225 -0.441347
Moved 129.9283 313.9566 210.1736 -0.106582 -0.4573726
Moved 129.9414 315.3926 205.8223 -0.1032579 -0.4685642
Moved 129.9567 315 205.5 -0.1041667 -0.469393
Moved 129.9716 316.1478 206 -0.1015097 -0.4681071
Moved 129.9874 317.5 206 -0.09837966 -0.4681071
Moved 130.0026 354.7854 270.4739 -0.01207088 -0.3022792
Moved 130.0197 389.9534 345.0657 0.06933659 -0.1104278
Moved 130.0331 423.7859 420.4912 0.1476526 0.08356785
Moved 130.0492 452.0418 475.7634 0.2130598 0.2257289
Moved 130.0646 470.0616 507.9109 0.2547723 0.3084127
Moved 130.0803 481.4194 528.7788 0.2810633 0.3620853
Moved 130.0999 486.9285 542.8213 0.293816 0.3982028
Moved 130.1116 489.1662 546.9155 0.2989958 0.4087331
Moved 130.1255 491.0233 553.0933 0.3032947 0.4246225
Moved 130.1424 493.9269 558.8538 0.3100159 0.4394386
Moved 130.1576 494 561.8057 0.3101851 0.4470309
Moved 130.1725 495.3477 566.043 0.3133048 0.4579295
Moved 130.1882 495 569.2281 0.3125 0.4661215
Moved 130.204 495 571.1801 0.3125 0.471142
Moved 130.2189 495 573.4974 0.3125 0.4771023
Moved 130.2328 489.7317 575.5052 0.3003048 0.4822665
Moved 130.2484 482.0574 576 0.2825402 0.483539
Moved 130.2647 468.8224 576 0.2519037 0.483539
Moved 130.2796 436.3653 564.3084 0.1767716 0.453468
