experience is hard to come by
experience is hard to come by
FixStart
0.6 0.6
432 388.8
Began 3063.153 396 288 0.08333336 -0.2572017
Stationary 3063.17 396 288 0.08333336 -0.2572017
Stationary 3063.183 396 288 0.08333336 -0.2572017
Stationary 3063.198 396 288 0.08333336 -0.2572017
Stationary 3063.214 396 288 0.08333336 -0.2572017
Stationary 3063.23 396 288 0.08333336 -0.2572017
Moved 3063.247 382.863 299.137 0.05292356 -0.228557
Moved 3063.262 373.5399 305.2629 0.03134231 -0.2128011
Moved 3063.277 364.7185 310.801 0.01092245 -0.1985573
Moved 3063.293 354.5128 318.8462 -0.01270195 -0.1778647
Moved 3063.309 344.4301 327.4885 -0.03604134 -0.1556367
Moved 3063.324 334.3324 335.1437 -0.05941575 -0.1359474
Moved 3063.339 327.1454 341.8546 -0.0760522 -0.1186868
Moved 3063.355 321.3768 346.2174 -0.08940562 -0.1074655
Moved 3063.369 315.4684 350.5316 -0.1030825 -0.09636938
Moved 3063.386 312.1048 353.8953 -0.1108686 -0.08771794
Moved 3063.402 307.7639 356.8241 -0.1209169 -0.08018494
Moved 3063.415 304.3282 360.6718 -0.1288698 -0.07028878
Moved 3063.431 301.4372 363.5628 -0.1355621 -0.06285294
Moved 3063.447 299.5597 367.1604 -0.139908 -0.05359979
Moved 3063.462 296.6815 371.4778 -0.1465706 -0.04249549
Moved 3063.477 295.3968 374.8095 -0.1495444 -0.03392624
Moved 3063.492 294.2368 378.2896 -0.1522296 -0.02497551
Moved 3063.509 294 382.3452 -0.1527778 -0.01454428
Moved 3063.522 293 386.6819 -0.1550926 -0.003390253
Moved 3063.539 293 390.0002 -0.1550926 0.005144582
Moved 3063.556 293 392.8851 -0.1550926 0.01256436
Moved 3063.57 293 393.8824 -0.1550926 0.01512951
Moved 3063.584 291.6756 395.3244 -0.1581584 0.01883844
Stationary 3063.599 291.6756 395.3244 -0.1581584 0.01883844
Stationary 3063.615 291.6756 395.3244 -0.1581584 0.01883844
Moved 3063.631 292 396.2252 -0.1574074 0.02115528
Stationary 3063.647 292 396 -0.1574074 0.02057605
Stationary 3063.663 292 396 -0.1574074 0.02057605
Moved 3063.677 291.3556 391.4891 -0.1588991 0.008974075
Moved 3063.693 291 381.3923 -0.1597222 -0.0169951
Moved 3063.71 286.5 359.5 -0.1701389 -0.07330247
Moved 3063.723 282.3237 333.6186 -0.1798062 -0.1398699
Moved 3063.739 277.8922 300.9214 -0.1900644 -0.2239675
Moved 3063.758 273.5236 267.6807 -0.2001769 -0.3094631
Moved 3063.771 274 249.8337 -0.199074 -0.3553659
Moved 3063.785 274 228.2939 -0.199074 -0.4107667
Moved 3063.801 274 212.2209 -0.199074 -0.4521066
Moved 3063.815 274 197.4631 -0.199074 -0.4900639
Moved 3063.832 274 190.7821 -0.199074 -0.5072477
