players must know all the rules
players must know all the rules
Basic
0.6 0.6
432 388.8
Began 894.9604 573 546 0.4930556 0.4063785
Stationary 894.976 573 546 0.4930556 0.4063785
Stationary 894.988 573 546 0.4930556 0.4063785
Stationary 895.0051 573 546 0.4930556 0.4063785
Moved 895.0211 573 525.1885 0.4930556 0.3528511
Moved 895.0388 561.4899 512.633 0.4664117 0.320558
Moved 895.054 554.6661 490.7315 0.4506159 0.264227
Moved 895.0693 550.9478 474.7911 0.4420087 0.223228
Moved 895.0823 548.4092 454.455 0.4361323 0.1709232
Moved 895.0978 545.5333 432.2664 0.4294753 0.1138539
Moved 895.1133 544.6543 420.2715 0.4274405 0.08300283
Moved 895.1287 542.8834 406.9507 0.4233413 0.04874162
Moved 895.1465 542.4545 397.2728 0.4223484 0.02384967
Moved 895.1597 541.0237 390.1187 0.4190364 0.005449091
Moved 895.1733 541 385.657 0.4189815 -0.006026397
Moved 895.1913 538.451 380.3532 0.4130811 -0.01966775
Moved 895.2057 537.0165 376.0497 0.4097604 -0.03073641
Moved 895.2211 534.1424 374.5712 0.4031074 -0.03453926
Moved 895.2361 516.7734 373 0.3629015 -0.03858032
Moved 895.2517 490.3253 373 0.301679 -0.03858032
Moved 895.2667 449.719 384.8168 0.2076828 -0.008187353
Moved 895.2827 419.8203 393.4399 0.1384729 0.01399158
Moved 895.2979 377.5282 407.4906 0.04057457 0.05013014
Moved 895.3133 355.3849 413.9422 -0.01068299 0.06672364
Moved 895.3287 328.6592 419.9139 -0.07254814 0.0820829
Moved 895.3448 307.6195 424.6801 -0.1212512 0.09434178
Moved 895.3595 289.7739 428.2043 -0.1625605 0.1034062
Moved 895.3749 273.0284 431.0858 -0.2013231 0.1108172
Moved 895.3904 261.5522 432 -0.2278883 0.1131687
Moved 895.4059 247.3309 433.0609 -0.260808 0.1158971
Moved 895.4214 235.5081 434.4991 -0.2881756 0.1195964
Moved 895.4367 221.6482 435.9352 -0.3202588 0.12329
Moved 895.4525 208.6367 436 -0.350378 0.1234567
Moved 895.4683 197.77 436.8033 -0.3755325 0.125523
Moved 895.4824 185.9436 437 -0.4029082 0.1260288
Moved 895.4995 177.5 437 -0.4224537 0.1260288
Moved 895.514 166.7437 437 -0.4473525 0.1260288
Moved 895.5294 156.3556 437 -0.471399 0.1260288
Moved 895.5465 147.9285 437 -0.4909063 0.1260288
Moved 895.5599 140.4295 437 -0.508265 0.1260288
Moved 895.5748 134.2339 437 -0.5226067 0.1260288
Moved 895.5905 128.0323 437 -0.5369623 0.1260288
Moved 895.606 123.6459 425.3892 -0.5471159 0.09616549
Moved 895.6224 120.4168 427.4723 -0.5545906 0.1015233
Moved 895.6388 116.0841 426.028 -0.5646201 0.09780864
Moved 895.6527 113.1785 424.5892 -0.571346 0.09410802
Moved 895.6674 110.3192 424.1596 -0.577965 0.09300306
Moved 895.6835 107.4095 424 -0.5847002 0.09259254
Moved 895.6976 106.2766 423 -0.5873225 0.09002049
Moved 895.7135 105.5 423 -0.5891204 0.09002049
Moved 895.7294 104.8698 423 -0.5905792 0.09002049
Moved 895.748 104 422.2595 -0.5925925 0.08811598
Moved 895.7592 102.8267 422 -0.5953085 0.08744851
Stationary 895.7742 102.8267 422 -0.5953085 0.08744851
Moved 895.79 101.626 422 -0.5980879 0.08744851
Stationary 895.8151 101.626 422 -0.5980879 0.08744851
Stationary 895.8246 101.626 422 -0.5980879 0.08744851
Moved 895.8369 100.8133 422 -0.5999692 0.08744851
Stationary 895.8528 101 422 -0.5995371 0.08744851
Moved 895.8683 100.0821 422 -0.6016616 0.08744851
Stationary 895.8837 100 422 -0.6018518 0.08744851
Stationary 895.8988 100 422 -0.6018518 0.08744851
Stationary 895.9135 100 422 -0.6018518 0.08744851
Stationary 895.9286 100 422 -0.6018518 0.08744851
Stationary 895.9466 100 422 -0.6018518 0.08744851
Stationary 895.9616 100 422 -0.6018518 0.08744851
Stationary 895.9767 100 422 -0.6018518 0.08744851
Stationary 895.9917 100 422 -0.6018518 0.08744851
Moved 896.0073 104.0502 422 -0.5924764 0.08744851
Moved 896.0225 110.8477 422 -0.5767416 0.08744851
Moved 896.0385 117.9396 422 -0.560325 0.08744851
Moved 896.0527 125.131 422 -0.5436782 0.08744851
Moved 896.0686 130.7741 422 -0.5306154 0.08744851
Moved 896.0845 135.1467 422 -0.5204936 0.08744851
Moved 896.0992 140.4715 422 -0.5081679 0.08744851
Moved 896.1147 144.788 422 -0.498176 0.08744851
Moved 896.1306 148.3987 422 -0.4898178 0.08744851
Moved 896.1472 152.4117 422 -0.4805285 0.08744851
Moved 896.1604 155 432.5 -0.474537 0.1144546
Moved 896.1767 158.9758 429.6586 -0.4653338 0.1071465
Moved 896.1918 163.2827 431.0942 -0.4553642 0.110839
Moved 896.2072 168.5999 431.5333 -0.4430559 0.1119682
Moved 896.224 173.8771 433.9385 -0.43084 0.1181545
Moved 896.2405 179.6158 435.4039 -0.417556 0.1219236
Moved 896.254 191.598 443.2211 -0.3898193 0.1420296
Moved 896.269 203.2313 450.3945 -0.3628905 0.1604796
Moved 896.285 219.4787 459.5593 -0.3252808 0.1840515
Moved 896.301 251.7568 479.9923 -0.250563 0.2366056
Moved 896.3156 283.297 500.0072 -0.1775532 0.2880843
Moved 896.3309 306.471 515.8283 -0.1239096 0.3287764
Moved 896.3469 322.7869 527.2996 -0.08614153 0.3582807
Moved 896.3614 337.0334 536.2234 -0.05316332 0.3812329
