where can my little dog be
where can my little dog be
FixStart
0.6 0.6
432 388.8
Began 404.3084 311 312 -0.113426 -0.1954732
Stationary 404.3454 311 312 -0.113426 -0.1954732
Stationary 404.3589 311 312 -0.113426 -0.1954732
Stationary 404.3727 311 312 -0.113426 -0.1954732
Stationary 404.386 311 312 -0.113426 -0.1954732
Moved 404.4007 325.321 328.7037 -0.08027549 -0.1525111
Moved 404.418 341.7697 340.5328 -0.04219979 -0.1220864
Moved 404.4322 351.0942 345.6079 -0.02061531 -0.1090332
Moved 404.4466 367.0022 350.2004 0.01620879 -0.09722124
Moved 404.4612 378.2698 351 0.04229118 -0.09516476
Moved 404.4764 388.3084 351 0.06552875 -0.09516476
Moved 404.4922 396.5465 344.5291 0.08459837 -0.1118079
Moved 404.5082 402.3891 331.8745 0.09812295 -0.1443558
Moved 404.5233 404 307.799 0.1018518 -0.2062783
Moved 404.5461 378.1053 263.7086 0.04191051 -0.3196795
Stationary 404.5567 378.1053 263.7086 0.04191051 -0.3196795
Moved 404.5702 363.6389 249.1112 0.008423527 -0.3572243
Moved 404.5858 339.9293 236.4646 -0.04646004 -0.3897515
Moved 404.6018 315.9228 232.7692 -0.1020306 -0.3992563
Moved 404.6161 293.1897 232 -0.1546534 -0.4012346
Moved 404.6355 276.088 235.9296 -0.1942407 -0.3911276
Moved 404.6476 266.8034 243.4972 -0.2157328 -0.3716636
Moved 404.6631 259.7928 250.2073 -0.2319612 -0.3544052
Moved 404.6776 255.5605 266.2783 -0.2417582 -0.3130702
Moved 404.6953 257 282.9253 -0.2384259 -0.2702539
Moved 404.7101 270.5238 300.2286 -0.2071208 -0.2257495
Moved 404.724 283.125 316.9167 -0.1779514 -0.1828275
Moved 404.7403 296.0196 330.0196 -0.1481027 -0.1491266
Moved 404.7544 306 335.5 -0.125 -0.1350309
Moved 404.7699 313.2704 336.7529 -0.1081704 -0.1318084
Moved 404.7852 320.9476 337 -0.09039899 -0.1311728
Moved 404.8008 326.4917 337 -0.07756551 -0.1311728
Moved 404.8161 333.3228 325.2897 -0.0617527 -0.1612919
Moved 404.8351 337.5 311 -0.05208333 -0.1980453
