travel at the speed of light
travel at the speed of light
Basic
0.6 0.6
432 388.8
Began 1139.302 317 529 -0.09953702 0.3626543
Stationary 1139.323 317 529 -0.09953702 0.3626543
Stationary 1139.339 317 529 -0.09953702 0.3626543
Stationary 1139.353 317 529 -0.09953702 0.3626543
Stationary 1139.369 317 529 -0.09953702 0.3626543
Moved 1139.384 301.7552 529 -0.1348259 0.3626543
Moved 1139.4 294.6748 529 -0.1512156 0.3626543
Moved 1139.415 285.0425 529 -0.1735128 0.3626543
Moved 1139.431 281.2428 529 -0.1823083 0.3626543
Moved 1139.447 273.8714 529 -0.1993718 0.3626543
Moved 1139.461 267.0678 529 -0.2151207 0.3626543
Moved 1139.476 262 529 -0.2268519 0.3626543
Moved 1139.492 257.2808 529 -0.237776 0.3626543
Moved 1139.506 251.9444 529 -0.2501286 0.3626543
Moved 1139.521 248.1154 529 -0.2589921 0.3626543
Moved 1139.537 244.8041 529 -0.2666571 0.3626543
Moved 1139.553 241.0307 529 -0.2753918 0.3626543
Moved 1139.568 238.2909 529 -0.2817341 0.3626543
Moved 1139.584 237 529 -0.2847222 0.3626543
Moved 1139.6 235.9216 529 -0.2872185 0.3626543
Moved 1139.615 234.564 529 -0.2903611 0.3626543
Stationary 1139.63 234.564 529 -0.2903611 0.3626543
Stationary 1139.647 235 529 -0.2893518 0.3626543
Stationary 1139.661 235 529 -0.2893518 0.3626543
Stationary 1139.678 235 529 -0.2893518 0.3626543
Stationary 1139.693 235 529 -0.2893518 0.3626543
Stationary 1139.707 235 529 -0.2893518 0.3626543
Stationary 1139.723 235 529 -0.2893518 0.3626543
Stationary 1139.738 235 529 -0.2893518 0.3626543
Stationary 1139.754 235 529 -0.2893518 0.3626543
Stationary 1139.768 235 529 -0.2893518 0.3626543
Moved 1139.792 235 518.7396 -0.2893518 0.3362644
Stationary 1139.803 235 518.7396 -0.2893518 0.3362644
Moved 1139.815 233.509 513.0359 -0.2928033 0.3215943
Moved 1139.831 232.1435 505.7177 -0.2959641 0.3027718
Moved 1139.847 228.3336 495.2228 -0.3047834 0.2757789
Moved 1139.861 224.2391 486.3041 -0.3142614 0.2528398
Moved 1139.877 220.1445 475.3854 -0.3237395 0.2247565
Moved 1139.893 216.8273 466.5395 -0.3314183 0.2020048
Moved 1139.909 212.647 455.3921 -0.3410948 0.1733334
Moved 1139.924 209.3777 449.7553 -0.3486629 0.1588356
Moved 1139.94 206.6395 441.9185 -0.3550012 0.1386791
Moved 1139.955 204.4566 436.8264 -0.3600542 0.1255822
Moved 1139.97 202.1859 432.2789 -0.3653104 0.1138859
Moved 1139.985 199.4568 426.9136 -0.3716278 0.1000863
Moved 1140.001 198.5 423.5 -0.3738426 0.09130646
Moved 1140.016 197.313 419.9389 -0.3765904 0.08214727
Moved 1140.031 195.9473 417.9473 -0.3797516 0.07702489
Moved 1140.047 196 415.1647 -0.3796296 0.06986807
Moved 1140.063 195.216 414.216 -0.3814444 0.06742796
Moved 1140.078 195 412.85 -0.3819444 0.06391446
Stationary 1140.093 195 412.85 -0.3819444 0.06391446
Moved 1140.107 195 411.6448 -0.3819444 0.06081471
Stationary 1140.123 195 411.6448 -0.3819444 0.06081471
Moved 1140.139 195 409.7358 -0.3819444 0.05590478
Stationary 1140.153 195 409.7358 -0.3819444 0.05590478
Moved 1140.17 195 408.6458 -0.3819444 0.05310113
Moved 1140.185 195 407.8209 -0.3819444 0.0509797
Stationary 1140.2 195 407.8209 -0.3819444 0.0509797
Stationary 1140.216 195 407.8209 -0.3819444 0.0509797
Moved 1140.231 195 406.8868 -0.3819444 0.04857714
Stationary 1140.248 195 406.8868 -0.3819444 0.04857714
Moved 1140.263 195 406.1233 -0.3819444 0.04661332
Moved 1140.278 195 404.7614 -0.3819444 0.04311063
Moved 1140.296 206.4227 401.3943 -0.355503 0.03445044
Moved 1140.308 213.8299 398.0851 -0.3383567 0.025939
Moved 1140.325 226.0281 391.3177 -0.3101201 0.008533265
Moved 1140.341 237.3266 384.4852 -0.2839662 -0.009040047
Moved 1140.356 247.9697 378.2182 -0.2593294 -0.02515903
Moved 1140.371 266.4885 360.5115 -0.2164618 -0.07070094
Moved 1140.387 278.243 350.2285 -0.1892523 -0.09714911
Moved 1140.402 289.6307 338.1981 -0.1628918 -0.1280913
Moved 1140.417 299.3753 327.4282 -0.1403349 -0.1557918
Moved 1140.432 309.376 314.4987 -0.1171852 -0.1890467
Moved 1140.45 316.6556 304.4822 -0.1003342 -0.2148092
Moved 1140.464 322.17 297.5375 -0.0875695 -0.232671
Moved 1140.479 324.8748 292.542 -0.08130839 -0.2455195
Moved 1140.494 330.2176 284.304 -0.06894067 -0.2667079
Moved 1140.511 334.2943 276.4114 -0.05950392 -0.2870078
