user,scale,size,word,algorithm,sampleNum,coor,distance
4,1x3,1,jumps,DTW,50,pixel,20.9729
4,1x3,1,jumps,DTW,50,keyWidth,0.364113
4,1x3,1,jumps,Standard,80,pixel,21.5484
4,1x3,1,jumps,Standard,80,keyWidth,0.374103
4,1x3,1,jumps,DTW,80,pixel,20.6386
4,1x3,1,jumps,DTW,80,keyWidth,0.358309
4,1x3,1,jumps,Standard,128,pixel,21.5837
4,1x3,1,jumps,Standard,128,keyWidth,0.374717
4,1x3,1,jumps,DTW,128,pixel,20.2734
4,1x3,1,jumps,DTW,128,keyWidth,0.351969
4,1x3,1,jumps,Standard,200,pixel,21.5909
4,1x3,1,jumps,Standard,200,keyWidth,0.374843
4,1x3,1,jumps,DTW,200,pixel,19.9997
4,1x3,1,jumps,DTW,200,keyWidth,0.347217
4,1x3,1,over,Standard,16,pixel,47.7828
4,1x3,1,over,Standard,16,keyWidth,0.829563
4,1x3,1,over,DTW,16,pixel,20.2674
4,1x3,1,over,DTW,16,keyWidth,0.351865
4,1x3,1,over,Standard,50,pixel,48.0004
4,1x3,1,over,Standard,50,keyWidth,0.83334
4,1x3,1,over,DTW,50,pixel,15.5607
4,1x3,1,over,DTW,50,keyWidth,0.27015
4,1x3,1,over,Standard,80,pixel,47.9352
4,1x3,1,over,Standard,80,keyWidth,0.832209
4,1x3,1,over,DTW,80,pixel,13.9561
4,1x3,1,over,DTW,80,keyWidth,0.242293
4,1x3,1,over,Standard,128,pixel,47.9004
4,1x3,1,over,Standard,128,keyWidth,0.831604
4,1x3,1,over,DTW,128,pixel,13.4454
4,1x3,1,over,DTW,128,keyWidth,0.233427
4,1x3,1,over,Standard,200,pixel,47.8692
4,1x3,1,over,Standard,200,keyWidth,0.831063
4,1x3,1,over,DTW,200,pixel,13.1341
4,1x3,1,over,DTW,200,keyWidth,0.228023
4,1x3,1,the,Standard,16,pixel,56.6483
4,1x3,1,the,Standard,16,keyWidth,0.983477
4,1x3,1,the,DTW,16,pixel,37.3534
4,1x3,1,the,DTW,16,keyWidth,0.648497
4,1x3,1,the,Standard,50,pixel,56.7659
4,1x3,1,the,Standard,50,keyWidth,0.985519
4,1x3,1,the,DTW,50,pixel,33.9636
4,1x3,1,the,DTW,50,keyWidth,0.589646
4,1x3,1,the,Standard,80,pixel,56.7679
4,1x3,1,the,Standard,80,keyWidth,0.985555
4,1x3,1,the,DTW,80,pixel,33.3074
4,1x3,1,the,DTW,80,keyWidth,0.578253
4,1x3,1,the,Standard,128,pixel,56.7643
4,1x3,1,the,Standard,128,keyWidth,0.985492
4,1x3,1,the,DTW,128,pixel,33.4401
4,1x3,1,the,DTW,128,keyWidth,0.580557
4,1x3,1,the,Standard,200,pixel,56.7627
4,1x3,1,the,Standard,200,keyWidth,0.985464
4,1x3,1,the,DTW,200,pixel,33.2425
4,1x3,1,the,DTW,200,keyWidth,0.577127
4,1x3,1,lazy,Standard,16,pixel,26.289
4,1x3,1,lazy,Standard,16,keyWidth,0.456407
4,1x3,1,lazy,DTW,16,pixel,26.289
4,1x3,1,lazy,DTW,16,keyWidth,0.456407
4,1x3,1,lazy,Standard,50,pixel,26.7417
4,1x3,1,lazy,Standard,50,keyWidth,0.464266
4,1x3,1,lazy,DTW,50,pixel,19.5102
4,1x3,1,lazy,DTW,50,keyWidth,0.338719
4,1x3,1,lazy,Standard,80,pixel,26.6939
4,1x3,1,lazy,Standard,80,keyWidth,0.463437
4,1x3,1,lazy,DTW,80,pixel,18.4382
4,1x3,1,lazy,DTW,80,keyWidth,0.320107
4,1x3,1,lazy,Standard,128,pixel,26.6852
4,1x3,1,lazy,Standard,128,keyWidth,0.463286
4,1x3,1,lazy,DTW,128,pixel,17.8691
4,1x3,1,lazy,DTW,128,keyWidth,0.310227
4,1x3,1,lazy,Standard,200,pixel,26.6898
4,1x3,1,lazy,Standard,200,keyWidth,0.463364
4,1x3,1,lazy,DTW,200,pixel,17.712
4,1x3,1,lazy,DTW,200,keyWidth,0.3075
4,1x3,1,dog,Standard,16,pixel,56.4753
4,1x3,1,dog,Standard,16,keyWidth,0.980473
4,1x3,1,dog,DTW,16,pixel,29.3229
4,1x3,1,dog,DTW,16,keyWidth,0.509079
4,1x3,1,dog,Standard,50,pixel,56.4613
4,1x3,1,dog,Standard,50,keyWidth,0.980231
4,1x3,1,dog,DTW,50,pixel,17.9204
4,1x3,1,dog,DTW,50,keyWidth,0.311118
4,1x3,1,dog,Standard,80,pixel,56.5075
4,1x3,1,dog,Standard,80,keyWidth,0.981034
4,1x3,1,dog,DTW,80,pixel,17.1134
4,1x3,1,dog,DTW,80,keyWidth,0.297109
4,1x3,1,dog,Standard,128,pixel,56.5075
4,1x3,1,dog,Standard,128,keyWidth,0.981033
4,1x3,1,dog,DTW,128,pixel,16.3149
4,1x3,1,dog,DTW,128,keyWidth,0.283245
4,1x3,1,dog,Standard,200,pixel,56.5151
4,1x3,1,dog,Standard,200,keyWidth,0.981166
4,1x3,1,dog,DTW,200,pixel,16.0984
4,1x3,1,dog,DTW,200,keyWidth,0.279486
4,1x3,1,if,Standard,16,pixel,86.595
