id,scale,size,sentence,WPM
1,1x1,1,the quick brown fox jumps over the lazy dog,28.4934
1,1x1,1,you must be getting old,34.5292
1,1x1,1,the five boxing wizards jump quickly,33.1017
1,1x1,1,we run the risk of failure,30.5092
1,1x1,1,the force is with you,33.1594
1,1x1,1,love means many things,35.0564
1,1x1,1,time to go shopping,35.057
1,1x1,1,please provide your date of birth,34.6957
1,1x1,1,my favorite place to visit,34.9484
1,1x1,1,the world is a stage,30.1621
1,1x1,0.75,breathing is difficult,38.4203
1,1x1,0.75,the five boxing wizards jump quickly,36.32
1,1x1,0.75,one heck of a question,36.3753
1,1x1,0.75,yes you are very smart,36.9111
1,1x1,0.75,watch out for low flying objects,35.268
1,1x1,0.75,the quick brown fox jumps over the lazy dog,33.003
1,1x1,0.75,do not say anything,34.3858
1,1x1,0.75,the facts get in the way,34.3461
1,1x1,0.75,are you talking to me,31.9139
1,1x1,0.75,an offer you cannot refuse,34.431
1,1x1,0.5,the quick brown fox jumps over the lazy dog,28.6238
1,1x1,0.5,the five boxing wizards jump quickly,31.9637
1,1x1,0.5,if at first you do not succeed,32.2917
1,1x1,0.5,the power of denial,32.6098
1,1x1,0.5,question that must be answered,34.4534
1,1x1,0.5,he is just like everyone else,32.0025
1,1x1,0.5,all work and no play,28.0726
1,1x1,0.5,never too rich and never too thin,34.3643
1,1x1,0.5,my watch fell in the water,34.4625
1,1x1,0.5,a problem with the engine,32.4985
1,1x3,1,yes you are very smart,28.6948
1,1x3,1,love means many things,28.654
1,1x3,1,time to go shopping,36.0158
1,1x3,1,you must be getting old,30.6493
1,1x3,1,we run the risk of failure,27.6649
1,1x3,1,do not say anything,27.7858
1,1x3,1,one heck of a question,32.9218
1,1x3,1,the quick brown fox jumps over the lazy dog,28.2809
1,1x3,1,the five boxing wizards jump quickly,30.9587
1,1x3,1,breathing is difficult,36.4133
1,1x3,0.75,if at first you do not succeed,33.3141
1,1x3,0.75,please provide your date of birth,38.2427
1,1x3,0.75,watch out for low flying objects,35.6475
1,1x3,0.75,the force is with you,35.4044
1,1x3,0.75,the quick brown fox jumps over the lazy dog,33.1754
1,1x3,0.75,are you talking to me,33.1223
1,1x3,0.75,he is just like everyone else,34.2653
1,1x3,0.75,a problem with the engine,35.2941
1,1x3,0.75,the five boxing wizards jump quickly,34.1504
1,1x3,0.75,the power of denial,33.9943
1,1x3,0.5,my watch fell in the water,32.3077
1,1x3,0.5,all work and no play,27.6657
1,1x3,0.5,the quick brown fox jumps over the lazy dog,31.2966
1,1x3,0.5,an offer you cannot refuse,38.2055
1,1x3,0.5,never too rich and never too thin,33.8558
1,1x3,0.5,the five boxing wizards jump quickly,35.942
1,1x3,0.5,question that must be answered,41.4894
1,1x3,0.5,the facts get in the way,31.4483
1,1x3,0.5,the world is a stage,32.8205
1,1x3,0.5,my favorite place to visit,32.5123
