id,scale,size,sentence,WPM
2,1x1,1,question that must be answered,24.9601
2,1x1,1,the power of denial,26.1198
2,1x1,1,you must be getting old,29.7831
2,1x1,0.75,the facts get in the way,27.7724
2,1x1,0.75,love means many things,19.8825
2,1x1,0.75,the quick brown fox jumps over the lazy dog,23.5509
2,1x1,0.75,watch out for low flying objects,21.185
2,1x1,0.75,one heck of a question,21.3713
2,1x1,0.75,breathing is difficult,21.2817
2,1x1,0.75,if at first you do not succeed,25.9403
2,1x1,0.75,the five boxing wizards jump quickly,21.4776
2,1x1,0.75,never too rich and never too thin,24.0116
2,1x1,0.75,my favorite place to visit,20.4832
2,1x3,0.5,my watch fell in the water,31.0618
2,1x3,0.5,the quick brown fox jumps over the lazy dog,28.1102
2,1x3,0.5,the five boxing wizards jump quickly,25.5167
2,1x3,0.5,never too rich and never too thin,26.0326
2,1x3,0.5,love means many things,24.8852
2,1x3,0.5,he is just like everyone else,23.9151
2,1x3,0.5,one heck of a question,21.5942
2,1x3,0.5,breathing is difficult,20.847
2,1x3,0.5,we run the risk of failure,22.8655
2,1x3,0.5,the facts get in the way,24.0994
2,1x3,1,watch out for low flying objects,24.3746
2,1x3,1,the five boxing wizards jump quickly,28.8188
2,1x3,1,the force is with you,26.8557
2,1x3,1,the world is a stage,27.2851
2,1x3,1,please provide your date of birth,26.6611
2,1x3,1,the power of denial,27.9405
2,1x3,1,the quick brown fox jumps over the lazy dog,27.2415
2,1x3,1,all work and no play,30.2923
2,1x3,1,a problem with the engine,27.503
2,1x3,1,my favorite place to visit,25.2615
2,1x3,0.75,an offer you cannot refuse,28.6107
2,1x3,0.75,time to go shopping,26.6573
2,1x3,0.75,yes you are very smart,25.6236
2,1x3,0.75,the quick brown fox jumps over the lazy dog,26.4195
2,1x3,0.75,if at first you do not succeed,27.0738
2,1x3,0.75,you must be getting old,26.4875
2,1x3,0.75,are you talking to me,29.826
2,1x3,0.75,question that must be answered,27.9655
2,1x3,0.75,the five boxing wizards jump quickly,24.7777
2,1x3,0.75,do not say anything,28.9634
3,1x1,0.75,the five boxing wizards jump quickly,32.3989
3,1x1,0.75,you must be getting old,32.3826
3,1x1,0.75,my favorite place to visit,32.0043
3,1x1,0.75,the power of denial,33.0277
3,1x1,0.75,question that must be answered,32.1722
3,1x1,0.75,the quick brown fox jumps over the lazy dog,27.0571
3,1x1,0.75,my watch fell in the water,25.2826
3,1x1,0.75,watch out for low flying objects,29.4931
3,1x1,0.75,time to go shopping,33.3022
3,1x1,0.75,an offer you cannot refuse,30.1121
3,1x1,0.5,he is just like everyone else,30.7298
3,1x1,0.5,the world is a stage,29.2808
3,1x1,0.5,a problem with the engine,29.0793
3,1x1,0.5,the five boxing wizards jump quickly,33.6119
3,1x1,0.5,question that must be answered,34.9176
3,1x1,0.5,the power of denial,32.0765
3,1x1,0.5,watch out for low flying objects,28.8874
3,1x1,0.5,my watch fell in the water,27.3756
3,1x1,0.5,the quick brown fox jumps over the lazy dog,26.3131
3,1x1,0.5,the facts get in the way,28.5431
3,1x1,1,yes you are very smart,36.6013
3,1x1,1,you must be getting old,41.6976
3,1x1,1,the five boxing wizards jump quickly,36.9569
3,1x1,1,if at first you do not succeed,35.4062
3,1x1,1,time to go shopping,33.1338
3,1x1,1,do not say anything,34.9126
3,1x1,1,the force is with you,34.5404
3,1x1,1,the quick brown fox jumps over the lazy dog,34.4834
3,1x1,1,please provide your date of birth,32.6895
3,1x1,1,an offer you cannot refuse,35.3081
3,1x3,0.75,we run the risk of failure,36.4239
3,1x3,0.75,breathing is difficult,44.9936
3,1x3,0.75,love means many things,36.9536
3,1x3,0.75,all work and no play,35.5951
3,1x3,0.75,are you talking to me,33.2748
3,1x3,0.75,the quick brown fox jumps over the lazy dog,31.7445
3,1x3,0.75,my favorite place to visit,32.996
3,1x3,0.75,never too rich and never too thin,40.8117
3,1x3,0.75,the five boxing wizards jump quickly,35.0963
3,1x3,0.75,one heck of a question,36.15
3,1x3,0.5,he is just like everyone else,34.5856
3,1x3,0.5,the world is a stage,31.1324
3,1x3,0.5,a problem with the engine,27.2851
3,1x3,0.5,the five boxing wizards jump quickly,31.1038
3,1x3,0.5,question that must be answered,32.5056
3,1x3,0.5,the power of denial,29.7534
3,1x3,0.5,watch out for low flying objects,33.0835
3,1x3,0.5,my watch fell in the water,32.6531
3,1x3,0.5,the quick brown fox jumps over the lazy dog,27.3595
3,1x3,0.5,the facts get in the way,29.1439
3,1x3,1,yes you are very smart,33.2034
3,1x3,1,you must be getting old,38.187
3,1x3,1,the five boxing wizards jump quickly,32.6188
3,1x3,1,if at first you do not succeed,32.7884
3,1x3,1,time to go shopping,39.879
3,1x3,1,do not say anything,32.5696
3,1x3,1,the force is with you,34.157
3,1x3,1,the quick brown fox jumps over the lazy dog,32.1415
3,1x3,1,please provide your date of birth,34.3142
3,1x3,1,an offer you cannot refuse,36.702
