id,scale,size,word,algorithm,sampleNum,coor,distance,firstKeyDistance,lastKeyDistance
2,1x1,0.5,wizards,DTW,256,keyWidth,0.496756,0.576307,0.562199,
2,1x1,0.5,jump,Standard,16,pixel,15.3749,22.0445,27.7102,
2,1x1,0.5,jump,Standard,16,keyWidth,0.53385,0.765435,0.96216,
2,1x1,0.5,jump,DTW,16,pixel,11.9116,22.0445,27.7102,
2,1x1,0.5,jump,DTW,16,keyWidth,0.413598,0.765435,0.96216,
2,1x1,0.5,jump,Standard,32,pixel,14.9391,22.0445,27.7102,
2,1x1,0.5,jump,Standard,32,keyWidth,0.518719,0.765435,0.96216,
2,1x1,0.5,jump,DTW,32,pixel,10.2136,22.0445,27.7102,
2,1x1,0.5,jump,DTW,32,keyWidth,0.354639,0.765435,0.96216,
2,1x1,0.5,jump,Standard,64,pixel,14.7584,22.0445,27.7102,
2,1x1,0.5,jump,Standard,64,keyWidth,0.512445,0.765435,0.96216,
2,1x1,0.5,jump,DTW,64,pixel,9.23135,22.0445,27.7102,
2,1x1,0.5,jump,DTW,64,keyWidth,0.320533,0.765435,0.96216,
2,1x1,0.5,jump,Standard,128,pixel,14.6777,22.0445,27.7102,
2,1x1,0.5,jump,Standard,128,keyWidth,0.509641,0.765435,0.96216,
2,1x1,0.5,jump,DTW,128,pixel,8.89113,22.0445,27.7102,
2,1x1,0.5,jump,DTW,128,keyWidth,0.30872,0.765435,0.96216,
2,1x1,0.5,jump,Standard,256,pixel,14.6358,22.0445,27.7102,
2,1x1,0.5,jump,Standard,256,keyWidth,0.508188,0.765435,0.96216,
2,1x1,0.5,jump,DTW,256,pixel,8.7432,22.0445,27.7102,
2,1x1,0.5,jump,DTW,256,keyWidth,0.303583,0.765435,0.96216,
2,1x1,0.5,quickly,Standard,16,pixel,19.1265,51.294,10.4625,
2,1x1,0.5,quickly,Standard,16,keyWidth,0.664115,1.78104,0.36328,
2,1x1,0.5,quickly,DTW,16,pixel,18.9716,51.294,10.4625,
2,1x1,0.5,quickly,DTW,16,keyWidth,0.658736,1.78104,0.36328,
2,1x1,0.5,quickly,Standard,32,pixel,18.9703,51.294,10.4625,
2,1x1,0.5,quickly,Standard,32,keyWidth,0.658691,1.78104,0.36328,
2,1x1,0.5,quickly,DTW,32,pixel,15.0252,51.294,10.4625,
2,1x1,0.5,quickly,DTW,32,keyWidth,0.521707,1.78104,0.36328,
2,1x1,0.5,quickly,Standard,64,pixel,18.6205,51.294,10.4625,
