id,scale,size,word,algorithm,sampleNum,coor,distance,firstKeyDistance,lastKeyDistance
1,1x1,1,the,Standard,16,pixel,13.4901,7.3468,19.0154,
1,1x1,1,the,Standard,16,keyWidth,0.234204,0.127549,0.330128,
1,1x1,1,the,DTW,16,pixel,13.1629,7.3468,19.0154,
1,1x1,1,the,DTW,16,keyWidth,0.228523,0.127549,0.330128,
1,1x1,1,the,Standard,32,pixel,13.2857,7.3468,19.0154,
1,1x1,1,the,Standard,32,keyWidth,0.230655,0.127549,0.330128,
1,1x1,1,the,DTW,32,pixel,11.1682,7.3468,19.0154,
1,1x1,1,the,DTW,32,keyWidth,0.193893,0.127549,0.330128,
1,1x1,1,the,Standard,64,pixel,13.3352,7.3468,19.0154,
1,1x1,1,the,Standard,64,keyWidth,0.231514,0.127549,0.330128,
1,1x1,1,the,DTW,64,pixel,10.6523,7.3468,19.0154,
1,1x1,1,the,DTW,64,keyWidth,0.184935,0.127549,0.330128,
1,1x1,1,the,Standard,128,pixel,13.3066,7.3468,19.0154,
1,1x1,1,the,Standard,128,keyWidth,0.231018,0.127549,0.330128,
1,1x1,1,the,DTW,128,pixel,10.4925,7.3468,19.0154,
1,1x1,1,the,DTW,128,keyWidth,0.182161,0.127549,0.330128,
1,1x1,1,the,Standard,256,pixel,13.3087,7.3468,19.0154,
1,1x1,1,the,Standard,256,keyWidth,0.231055,0.127549,0.330128,
1,1x1,1,the,DTW,256,pixel,10.4332,7.3468,19.0154,
1,1x1,1,the,DTW,256,keyWidth,0.181132,0.127549,0.330128,
1,1x1,1,quick,Standard,16,pixel,26.2759,35.1715,54.3352,
1,1x1,1,quick,Standard,16,keyWidth,0.456178,0.610617,0.94332,
1,1x1,1,quick,DTW,16,pixel,26.2759,35.1715,54.3352,
1,1x1,1,quick,DTW,16,keyWidth,0.456178,0.610617,0.94332,
1,1x1,1,quick,Standard,32,pixel,25.9604,35.1715,54.3352,
1,1x1,1,quick,Standard,32,keyWidth,0.450701,0.610617,0.94332,
1,1x1,1,quick,DTW,32,pixel,25.9604,35.1715,54.3352,
1,1x1,1,quick,DTW,32,keyWidth,0.450701,0.610617,0.94332,
1,1x1,1,quick,Standard,64,pixel,25.6765,35.1715,54.3352,
1,1x1,1,quick,Standard,64,keyWidth,0.445772,0.610617,0.94332,
1,1x1,1,quick,DTW,64,pixel,24.8492,35.1715,54.3352,
1,1x1,1,quick,DTW,64,keyWidth,0.43141,0.610617,0.94332,
1,1x1,1,quick,Standard,128,pixel,25.5391,35.1715,54.3352,
1,1x1,1,quick,Standard,128,keyWidth,0.443387,0.610617,0.94332,
1,1x1,1,quick,DTW,128,pixel,23.9632,35.1715,54.3352,
1,1x1,1,quick,DTW,128,keyWidth,0.416027,0.610617,0.94332,
1,1x1,1,quick,Standard,256,pixel,25.4551,35.1715,54.3352,
1,1x1,1,quick,Standard,256,keyWidth,0.441929,0.610617,0.94332,
1,1x1,1,quick,DTW,256,pixel,23.7008,35.1715,54.3352,
1,1x1,1,quick,DTW,256,keyWidth,0.411472,0.610617,0.94332,
1,1x1,1,brown,Standard,16,pixel,28.5751,32.3965,38.1143,
1,1x1,1,brown,Standard,16,keyWidth,0.496095,0.562439,0.661708,
1,1x1,1,brown,DTW,16,pixel,28.5751,32.3965,38.1143,
1,1x1,1,brown,DTW,16,keyWidth,0.496095,0.562439,0.661708,
1,1x1,1,brown,Standard,32,pixel,29.1765,32.3965,38.1143,
1,1x1,1,brown,Standard,32,keyWidth,0.506537,0.562439,0.661708,
1,1x1,1,brown,DTW,32,pixel,28.1642,32.3965,38.1143,
1,1x1,1,brown,DTW,32,keyWidth,0.488962,0.562439,0.661708,
1,1x1,1,brown,Standard,64,pixel,29.2321,32.3965,38.1143,
1,1x1,1,brown,Standard,64,keyWidth,0.507502,0.562439,0.661708,
1,1x1,1,brown,DTW,64,pixel,24.1225,32.3965,38.1143,
1,1x1,1,brown,DTW,64,keyWidth,0.418793,0.562439,0.661708,
1,1x1,1,brown,Standard,128,pixel,29.089,32.3965,38.1143,
1,1x1,1,brown,Standard,128,keyWidth,0.505017,0.562439,0.661708,
1,1x1,1,brown,DTW,128,pixel,23.4365,32.3965,38.1143,
1,1x1,1,brown,DTW,128,keyWidth,0.406884,0.562439,0.661708,
1,1x1,1,brown,Standard,256,pixel,29.0678,32.3965,38.1143,
1,1x1,1,brown,Standard,256,keyWidth,0.504649,0.562439,0.661708,
1,1x1,1,brown,DTW,256,pixel,23.0844,32.3965,38.1143,
1,1x1,1,brown,DTW,256,keyWidth,0.400771,0.562439,0.661708,
1,1x1,1,fox,Standard,16,pixel,52.0206,98.0844,17.0154,
1,1x1,1,fox,Standard,16,keyWidth,0.903136,1.70286,0.295406,
1,1x1,1,fox,DTW,16,pixel,26.3654,98.0844,17.0154,
1,1x1,1,fox,DTW,16,keyWidth,0.457732,1.70286,0.295406,
1,1x1,1,fox,Standard,32,pixel,51.8781,98.0844,17.0154,
1,1x1,1,fox,Standard,32,keyWidth,0.900661,1.70286,0.295406,
1,1x1,1,fox,DTW,32,pixel,23.0309,98.0844,17.0154,
1,1x1,1,fox,DTW,32,keyWidth,0.399842,1.70286,0.295406,
1,1x1,1,fox,Standard,64,pixel,51.7717,98.0844,17.0154,
1,1x1,1,fox,Standard,64,keyWidth,0.898814,1.70286,0.295406,
1,1x1,1,fox,DTW,64,pixel,21.955,98.0844,17.0154,
1,1x1,1,fox,DTW,64,keyWidth,0.381163,1.70286,0.295406,
1,1x1,1,fox,Standard,128,pixel,51.7319,98.0844,17.0154,
1,1x1,1,fox,Standard,128,keyWidth,0.898123,1.70286,0.295406,
1,1x1,1,fox,DTW,128,pixel,21.2934,98.0844,17.0154,
1,1x1,1,fox,DTW,128,keyWidth,0.369677,1.70286,0.295406,
1,1x1,1,fox,Standard,256,pixel,51.7038,98.0844,17.0154,
1,1x1,1,fox,Standard,256,keyWidth,0.897636,1.70286,0.295406,
1,1x1,1,fox,DTW,256,pixel,21.0541,98.0844,17.0154,
1,1x1,1,fox,DTW,256,keyWidth,0.365523,1.70286,0.295406,
1,1x1,1,jumps,Standard,16,pixel,34.3527,12.9631,23.2861,
1,1x1,1,jumps,Standard,16,keyWidth,0.5964,0.225053,0.404272,
1,1x1,1,jumps,DTW,16,pixel,21.1481,12.9631,23.2861,
1,1x1,1,jumps,DTW,16,keyWidth,0.367155,0.225053,0.404272,
1,1x1,1,jumps,Standard,32,pixel,34.7424,12.9631,23.2861,
1,1x1,1,jumps,Standard,32,keyWidth,0.603167,0.225053,0.404272,
1,1x1,1,jumps,DTW,32,pixel,16.6739,12.9631,23.2861,
1,1x1,1,jumps,DTW,32,keyWidth,0.289477,0.225053,0.404272,
1,1x1,1,jumps,Standard,64,pixel,35.2271,12.9631,23.2861,
1,1x1,1,jumps,Standard,64,keyWidth,0.611582,0.225053,0.404272,
1,1x1,1,jumps,DTW,64,pixel,14.2877,12.9631,23.2861,
1,1x1,1,jumps,DTW,64,keyWidth,0.248051,0.225053,0.404272,
1,1x1,1,jumps,Standard,128,pixel,35.4084,12.9631,23.2861,
1,1x1,1,jumps,Standard,128,keyWidth,0.614729,0.225053,0.404272,
1,1x1,1,jumps,DTW,128,pixel,13.1908,12.9631,23.2861,
1,1x1,1,jumps,DTW,128,keyWidth,0.229007,0.225053,0.404272,
1,1x1,1,jumps,Standard,256,pixel,35.4923,12.9631,23.2861,
1,1x1,1,jumps,Standard,256,keyWidth,0.616185,0.225053,0.404272,
1,1x1,1,jumps,DTW,256,pixel,12.7625,12.9631,23.2861,
1,1x1,1,jumps,DTW,256,keyWidth,0.221572,0.225053,0.404272,
1,1x1,1,over,Standard,16,pixel,27.614,31.669,38.2625,
1,1x1,1,over,Standard,16,keyWidth,0.47941,0.549809,0.664279,
1,1x1,1,over,DTW,16,pixel,19.6211,31.669,38.2625,
1,1x1,1,over,DTW,16,keyWidth,0.340645,0.549809,0.664279,
1,1x1,1,over,Standard,32,pixel,27.2965,31.669,38.2625,
1,1x1,1,over,Standard,32,keyWidth,0.473898,0.549809,0.664279,
1,1x1,1,over,DTW,32,pixel,17.3108,31.669,38.2625,
1,1x1,1,over,DTW,32,keyWidth,0.300534,0.549809,0.664279,
1,1x1,1,over,Standard,64,pixel,27.1227,31.669,38.2625,
1,1x1,1,over,Standard,64,keyWidth,0.47088,0.549809,0.664279,
1,1x1,1,over,DTW,64,pixel,16.2483,31.669,38.2625,
1,1x1,1,over,DTW,64,keyWidth,0.282089,0.549809,0.664279,
1,1x1,1,over,Standard,128,pixel,27.0515,31.669,38.2625,
1,1x1,1,over,Standard,128,keyWidth,0.469645,0.549809,0.664279,
1,1x1,1,over,DTW,128,pixel,15.817,31.669,38.2625,
