id,scale,size,word,algorithm,sampleNum,coor,distance
5,1x3,0.75,fox,Standard,32,keyWidth,0.613582
5,1x3,0.75,fox,DTW,32,pixel,21.844,
5,1x3,0.75,fox,DTW,32,keyWidth,0.505647
5,1x3,0.75,fox,Standard,64,pixel,26.7603
5,1x3,0.75,fox,Standard,64,keyWidth,0.619451
5,1x3,0.75,fox,DTW,64,pixel,21.4797,
5,1x3,0.75,fox,DTW,64,keyWidth,0.497216
5,1x3,0.75,fox,Standard,128,pixel,26.818
5,1x3,0.75,fox,Standard,128,keyWidth,0.620786
5,1x3,0.75,fox,DTW,128,pixel,21.0574,
5,1x3,0.75,fox,DTW,128,keyWidth,0.48744
5,1x3,0.75,fox,Standard,256,pixel,26.8474
5,1x3,0.75,fox,Standard,256,keyWidth,0.621468
5,1x3,0.75,fox,DTW,256,pixel,21.0201,
5,1x3,0.75,fox,DTW,256,keyWidth,0.486576
5,1x3,0.75,jumps,Standard,16,pixel,28.5336
5,1x3,0.75,jumps,Standard,16,keyWidth,0.660501
5,1x3,0.75,jumps,DTW,16,pixel,28.5336,
5,1x3,0.75,jumps,DTW,16,keyWidth,0.660501
5,1x3,0.75,jumps,Standard,32,pixel,28.8766
5,1x3,0.75,jumps,Standard,32,keyWidth,0.66844
5,1x3,0.75,jumps,DTW,32,pixel,26.1683,
5,1x3,0.75,jumps,DTW,32,keyWidth,0.605747
5,1x3,0.75,jumps,Standard,64,pixel,28.9585
5,1x3,0.75,jumps,Standard,64,keyWidth,0.670335
5,1x3,0.75,jumps,DTW,64,pixel,24.5789,
5,1x3,0.75,jumps,DTW,64,keyWidth,0.568955
5,1x3,0.75,jumps,Standard,128,pixel,28.9719
5,1x3,0.75,jumps,Standard,128,keyWidth,0.670645
5,1x3,0.75,jumps,DTW,128,pixel,23.9998,
5,1x3,0.75,jumps,DTW,128,keyWidth,0.55555
5,1x3,0.75,jumps,Standard,256,pixel,28.9816
5,1x3,0.75,jumps,Standard,256,keyWidth,0.67087
5,1x3,0.75,jumps,DTW,256,pixel,23.8913,
5,1x3,0.75,jumps,DTW,256,keyWidth,0.553039
5,1x3,0.75,over,Standard,16,pixel,50.8675
5,1x3,0.75,over,Standard,16,keyWidth,1.17749
5,1x3,0.75,over,DTW,16,pixel,27.0872,
5,1x3,0.75,over,DTW,16,keyWidth,0.627019
5,1x3,0.75,over,Standard,32,pixel,50.3361
5,1x3,0.75,over,Standard,32,keyWidth,1.16519
5,1x3,0.75,over,DTW,32,pixel,22.6576,
5,1x3,0.75,over,DTW,32,keyWidth,0.524481
5,1x3,0.75,over,Standard,64,pixel,50.1348
5,1x3,0.75,over,Standard,64,keyWidth,1.16053
5,1x3,0.75,over,DTW,64,pixel,21.1883,
5,1x3,0.75,over,DTW,64,keyWidth,0.490469
5,1x3,0.75,over,Standard,128,pixel,49.9996
5,1x3,0.75,over,Standard,128,keyWidth,1.1574
5,1x3,0.75,over,DTW,128,pixel,20.5383,
