did you have a good time
did you have a good time
FixStart
List

0.6 0.6
432 388.8
Began 3801.383 457 363 0.2245371 -0.06430049
Stationary 3801.413 457 363 0.2245371 -0.06430049
Stationary 3801.444 457 363 0.2245371 -0.06430049
Moved 3801.475 443.7686 363 0.1939089 -0.06430049
Moved 3801.505 422.2795 363 0.1441655 -0.06430049
Moved 3801.536 394.0229 363 0.0787567 -0.06430049
Moved 3801.567 370.5135 363 0.02433678 -0.06430049
Moved 3801.598 356.4545 356 -0.008207162 -0.0823046
Moved 3801.628 349.4039 355 -0.02452796 -0.08487654
Moved 3801.659 345.458 355 -0.03366202 -0.08487654
Moved 3801.69 343.5 355 -0.03819446 -0.08487654
Moved 3801.72 342.6702 355 -0.04011537 -0.08487654
Moved 3801.751 342 355 -0.04166668 -0.08487654
Stationary 3801.782 342 355 -0.04166668 -0.08487654
Moved 3801.813 342 363.985 -0.04166668 -0.06176686
Moved 3801.843 351.2185 368.6339 -0.02032752 -0.04981013
Moved 3801.874 370.5844 380.8802 0.02450098 -0.0183122
Moved 3801.905 403.9607 400.4457 0.1017609 0.03201061
Moved 3801.935 439.8467 417.0831 0.1848302 0.07480201
Moved 3801.966 479.7139 437.9426 0.2771156 0.1284532
Moved 3801.997 518.2034 458.1017 0.3662117 0.1803026
Moved 3802.028 551.5334 473.5637 0.4433645 0.2200713
Moved 3802.058 574.8304 484.0614 0.4972927 0.2470714
Moved 3802.089 591.9941 497.1953 0.5370234 0.2808521
Moved 3802.12 604.691 506.1274 0.5664144 0.3038255
Moved 3802.15 610.6578 510.3289 0.5802264 0.3146318
Moved 3802.181 613.8124 512.8124 0.5875288 0.3210195
Moved 3802.212 616.5 515.5 0.5937499 0.327932
Moved 3802.242 617 516.2868 0.5949074 0.3299557
Moved 3802.273 618.0464 517 0.5973297 0.33179
Stationary 3802.304 618 517 0.5972223 0.33179
Stationary 3802.334 618 517 0.5972223 0.33179
Moved 3802.365 599.8469 517 0.5552011 0.33179
Moved 3802.396 568.9391 495.4695 0.4836553 0.2764134
Moved 3802.427 528.84 473.5916 0.3908332 0.2201427
Moved 3802.458 490.1878 451.1073 0.3013606 0.1623129
Moved 3802.488 453.1015 430.8092 0.2155127 0.1101059
Moved 3802.519 414.3625 406.2266 0.1258391 0.04687898
Moved 3802.55 391.0098 391.561 0.07178197 0.009158805
Moved 3802.58 371.5664 380.4665 0.02677401 -0.01937638
