where did you get that tie
where did you get that tie
Basic
Radial

0.6 0.6
432 388.8
Began 979.6713 275 543 -0.1967592 0.3986624
Stationary 979.7021 275 543 -0.1967592 0.3986624
Moved 979.7328 275 524.2389 -0.1967592 0.3504086
Moved 979.7635 295.5 498.5 -0.1493056 0.2842077
Moved 979.7942 320.9504 461.562 -0.09039258 0.1892025
Moved 979.825 349.0443 426.4916 -0.02536053 0.09900101
Moved 979.8556 369.8606 400.1859 0.0228255 0.03134217
Moved 979.8864 383.7381 381.1667 0.05494922 -0.01757524
Moved 979.9171 398.5515 361.0233 0.08923957 -0.06938471
Moved 979.9478 411.1261 345.3108 0.1183475 -0.1097974
Moved 979.9785 420.3125 333.5312 0.1396124 -0.1400948
Moved 980.0092 425.6919 327.6162 0.1520646 -0.1553082
Moved 980.0399 428.5642 324.4358 0.1587135 -0.1634882
Moved 980.0707 430.437 323 0.1630486 -0.1671811
Stationary 980.1014 430 323 0.162037 -0.1671811
Moved 980.1321 430 334.267 0.162037 -0.1382023
Moved 980.1628 417.2547 348.8043 0.132534 -0.1008122
Moved 980.1935 402.702 373.947 0.09884726 -0.03614449
Moved 980.2242 387.3806 399.0324 0.0633809 0.02837546
Moved 980.2549 363.2556 430.6486 0.007536113 0.1096928
Moved 980.2857 341.0848 455.0701 -0.04378507 0.1725053
Moved 980.3163 322 472 -0.08796295 0.2160493
Moved 980.3471 303.3764 487.3917 -0.1310732 0.2556369
Moved 980.3777 287.5267 497.3786 -0.1677622 0.2813235
Moved 980.4085 277.098 505.902 -0.1919027 0.3032458
Moved 980.4393 272.4769 509.5231 -0.2025997 0.3125593
Moved 980.47 269.6094 513.3906 -0.2092374 0.3225065
Moved 980.5007 267.7443 518.2557 -0.2135549 0.3350198
Moved 980.5314 266.8685 524.263 -0.2155821 0.3504706
Moved 980.5621 267 526.6691 -0.2152778 0.3566591
Moved 980.5928 267 529.5336 -0.2152778 0.3640267
Moved 980.6235 267 532.404 -0.2152778 0.3714094
Moved 980.6542 267 535.8702 -0.2152778 0.3803246
Moved 980.685 294.4092 539.7841 -0.1518305 0.3903912
Moved 980.7157 326.8457 540 -0.07674599 0.3909464
Moved 980.7465 353.7493 540 -0.01446928 0.3909464
Moved 980.7772 367.2947 540 0.0168859 0.3909464
Moved 980.8079 373.8806 540 0.03213098 0.3909464
Moved 980.8386 375.3741 530.3809 0.03558834 0.366206
Moved 980.8693 375 530.5 0.03472219 0.3665122
Moved 980.9 344.5526 520.1842 -0.03575777 0.3399799
Moved 980.9307 304.9061 510.8438 -0.1275322 0.315956
Moved 980.9614 273.5095 503.1132 -0.2002095 0.296073
Moved 980.9922 260.9796 501 -0.2292138 0.2906378
Moved 981.0229 255.6163 500 -0.241629 0.2880658
Moved 981.0536 254 500 -0.2453704 0.2880658
Ended 981.0843 254 500 -0.2453704 0.2880658
Candidates 981.2686 13 they the there where entire enter entries he entered related register she energy
Began 982.3745 431 429 0.1643519 0.1054526
Moved 982.4052 431 408.4237 0.1643519 0.05253002
Moved 982.4359 464.368 358.4161 0.2415925 -0.07609026
Moved 982.4666 486.6617 314.4427 0.2931984 -0.1891905
Moved 982.4973 512.8927 263.5512 0.3539183 -0.3200843
Ended 982.5279 524 252 0.3796296 -0.3497943
Accept 982.5894 3 where
Began 983.7567 273 390 -0.2013889 0.005143954
Stationary 983.7874 273 390 -0.2013889 0.005143954
Stationary 983.8181 273 390 -0.2013889 0.005143954
Stationary 983.8488 273 390 -0.2013889 0.005143954
Stationary 983.8795 273 390 -0.2013889 0.005143954
Moved 983.9103 287.3532 408.4415 -0.1681639 0.05257594
Moved 983.941 314.5406 437.4641 -0.10523 0.1272223
Moved 983.9717 351.1012 474.1012 -0.02059907 0.2214536
Moved 984.0024 403.9463 522.2031 0.1017275 0.3451724
Moved 984.0331 447.2527 556.5021 0.2019738 0.43339
Moved 984.0638 478.0779 578.7186 0.2733284 0.4905312
Moved 984.0945 501.4617 596.1869 0.3274576 0.5354601
Moved 984.1252 514.0147 606.0147 0.3565156 0.5607373
Moved 984.156 518.3789 609.3789 0.3666178 0.5693901
Moved 984.1868 519.5 610.5 0.3692129 0.5722736
Moved 984.2174 519 610 0.3680556 0.5709876
Stationary 984.2481 519 610 0.3680556 0.5709876
Moved 984.2789 478.3466 574.3467 0.2739506 0.4792867
Moved 984.3096 419.1364 514.9319 0.1368898 0.3264708
Moved 984.3403 373.2411 466.2562 0.0306508 0.2012762
Moved 984.371 330.0846 419.2335 -0.06924868 0.08033296
Moved 984.4017 301 387 -0.1365741 -0.002572055
Moved 984.4324 281.6251 365.396 -0.1814233 -0.05813786
Moved 984.4632 268.3983 348.3983 -0.2120409 -0.1018562
Moved 984.4939 262.1942 342.1942 -0.2264023 -0.1178133
Moved 984.5247 260.4883 339.9766 -0.2303512 -0.1235171
Moved 984.5554 256.6105 336.6105 -0.2393276 -0.1321747
Moved 984.5861 253.7371 333.7371 -0.245979 -0.1395652
Ended 984.6168 253 332 -0.2476852 -0.144033
Candidates 984.7396 13 did stupid food does stood supports stops this gross drops god sports dos
Began 985.446 474.6669 392 0.2654327 0.01028803
Moved 985.4768 498.2053 392 0.3199196 0.01028803
Moved 985.5075 533.9799 392 0.4027312 0.01028803
Moved 985.5383 568.5063 383 0.4826536 -0.01286016
Moved 985.569 600.332 378.9262 0.5563241 -0.02333802
Ended 985.5997 600.332 378.9262 0.5563241 -0.02333802
Accept 985.6611 0 did
Began 986.4291 372 471 0.02777775 0.2134772
Stationary 986.4598 372 471 0.02777775 0.2134772
Moved 986.4905 382.1289 471 0.05122443 0.2134772
Moved 986.5212 416.7726 477.2787 0.1314181 0.2296263
Moved 986.5519 461.1835 484.9275 0.234221 0.249299
Moved 986.5826 509.6491 490.3532 0.3464101 0.263254
Moved 986.6133 545.3302 491 0.4290051 0.2649176
Moved 986.644 565.5 491 0.4756944 0.2649176
Moved 986.6748 578.2519 492 0.5052127 0.2674896
Moved 986.7055 585.3647 493 0.5216777 0.2700616
Moved 986.7362 588.5 493 0.5289352 0.2700616
Moved 986.7669 589.2457 493 0.5306615 0.2700616
Moved 986.7975 577.8754 493 0.5043412 0.2700616
Moved 986.8284 534.584 494 0.4041296 0.2726337
Moved 986.8591 474.1484 494 0.2642325 0.2726337
Moved 986.8898 430.9988 482.5332 0.1643492 0.2431408
Moved 986.9205 385.4499 475.9605 0.05891174 0.2262358
Ended 986.9512 368.5 471.5 0.01967589 0.2147633
Candidates 987.074 13 you i hot got type holy for your hope not july joy toy
Began 987.7499 411 382 0.1180555 -0.01543218
Moved 987.7806 437.6726 382 0.1797976 -0.01543218
Moved 987.8112 476.9859 382 0.2708006 -0.01543218
Moved 987.8419 516.004 382 0.3611204 -0.01543218
Moved 987.8727 552.1946 371.6342 0.4448951 -0.04209314
Ended 987.9034 576.3895 367.9026 0.5009016 -0.05169079
Accept 987.9648 0 you
Began 989.0399 384 343 0.0555556 -0.1157408
Stationary 989.0706 384 343 0.0555556 -0.1157408
Stationary 989.1013 384 343 0.0555556 -0.1157408
Stationary 989.1321 384 343 0.0555556 -0.1157408
Moved 989.1628 384 358 0.0555556 -0.07716057
Moved 989.1935 371.2197 365.5607 0.02597143 -0.0577144
Moved 989.2242 363.2264 381.2894 0.007468462 -0.01725986
Moved 989.2549 357.3784 394.054 -0.006068548 0.01557103
Moved 989.2856 350.6464 407.7072 -0.02165178 0.05068704
Moved 989.3163 345.9168 419.1664 -0.03260006 0.08016057
Moved 989.347 341.5829 429.6682 -0.04263207 0.1071713
Moved 989.3778 336.1416 441.6459 -0.05522773 0.1379781
Moved 989.4085 332.1904 451.429 -0.06437416 0.1631402
Moved 989.4392 328.3206 460.0382 -0.07333189 0.1852834
Moved 989.47 325.8133 465.3735 -0.07913594 0.1990057
Moved 989.5007 321.888 474.3359 -0.08822212 0.2220572
Moved 989.5314 318.0178 484.9465 -0.09718095 0.2493479
Moved 989.5621 317 493.5608 -0.09953702 0.271504
Moved 989.5928 316 500.1563 -0.1018519 0.2884678
Moved 989.6235 316 505.5016 -0.1018519 0.3022161
Moved 989.6542 316 512.2353 -0.1018519 0.3195351
Moved 989.685 316 516.4514 -0.1018519 0.3303791
Moved 989.7156 316 520.4924 -0.1018519 0.3407727
Moved 989.7464 316 524.3619 -0.1018519 0.3507251
Moved 989.7771 339.6589 529.237 -0.04708578 0.3632638
Moved 989.8078 359.1044 530 -0.002073199 0.3652262
Moved 989.8386 378.9405 530 0.04384379 0.3652262
Moved 989.8693 394.097 521.9515 0.07892817 0.3445254
Moved 989.9 405.1882 517.2079 0.1046023 0.3323247
Ended 989.9307 410.7219 515.3113 0.1174117 0.3274466
Candidates 990.0843 13 get hey grey metro ft jerry fy hr very merit hero neo jet
Began 990.7601 451 393 0.2106482 0.01285996
Moved 990.7908 469.994 393 0.2546158 0.01285996
Moved 990.8215 522.3242 393 0.3757504 0.01285996
Moved 990.8522 581.1481 393 0.5119169 0.01285996
Moved 990.883 606.0739 393 0.5696154 0.01285996
Ended 990.9136 613 393 0.5856481 0.01285996
Accept 990.9751 0 get
Began 991.958 351 499 -0.02083332 0.2854938
