I will meet you at noon
I will meet you at noon
Basic
Radial

0.6 0.6
432 388.8
Began 823.6727 419 558 0.1365741 0.4372427
Stationary 823.7036 419 558 0.1365741 0.4372427
Stationary 823.7342 419 558 0.1365741 0.4372427
Stationary 823.7649 419 558 0.1365741 0.4372427
Ended 823.7957 419 558 0.1365741 0.4372427
Candidates 823.8571 5 u I y t o
Began 824.4409 295 433 -0.150463 0.1157406
Stationary 824.4716 295 433 -0.150463 0.1157406
Moved 824.5023 299.6315 438.1461 -0.1397419 0.1289764
Moved 824.5331 315.6279 457.0349 -0.1027133 0.1775587
Moved 824.5638 336.6718 479.6249 -0.05400052 0.2356606
Moved 824.5945 361.7092 503.8936 0.003956457 0.2980802
Moved 824.6252 377.4445 518.4445 0.04038066 0.3355052
Moved 824.6559 388.6635 527.109 0.06635069 0.3577905
Moved 824.6866 396.1546 533.1546 0.08369118 0.3733399
Moved 824.7174 401.8874 537.8874 0.09696165 0.3855127
Moved 824.7481 404 539.8292 0.1018518 0.3905072
Ended 824.7789 405.2659 540 0.1047821 0.3909464
Accept 824.871 1 I
Began 825.2398 187 518 -0.4004629 0.3343621
Stationary 825.2705 187 518 -0.4004629 0.3343621
Moved 825.3012 218.1923 518 -0.3282585 0.3343621
Moved 825.3319 258.6105 525.7074 -0.2346979 0.3541856
Moved 825.3626 296.6863 527 -0.1465594 0.3575102
Moved 825.3933 327.2049 528 -0.07591461 0.3600822
Moved 825.4241 356.8362 528 -0.007323524 0.3600822
Moved 825.4548 376.5 528 0.03819446 0.3600822
Moved 825.4856 399.6056 528 0.0916796 0.3600822
Moved 825.5162 417.1704 528 0.1323388 0.3600822
Moved 825.547 432.5784 521 0.1680056 0.3420781
Moved 825.5778 445.9046 518.3492 0.1988532 0.3352603
Moved 825.6085 461.6295 512.9482 0.2352534 0.3213688
Moved 825.6392 478.7923 503.4044 0.274982 0.296822
Moved 825.6699 500.717 477.7396 0.3257338 0.2308115
Moved 825.7006 512.4119 453.5682 0.3528054 0.1686424
Moved 825.7313 521.6805 421.9482 0.3742604 0.08731536
Moved 825.7621 530.0719 392.3203 0.3936849 0.01111191
Moved 825.7928 534.0889 373.4669 0.4029835 -0.03737948
Moved 825.8235 539.9675 360.0811 0.4165914 -0.07180791
Moved 825.8542 544.8603 346.5588 0.4279173 -0.1065873
Moved 825.8849 547 337.8063 0.4328704 -0.129099
