the back yard of our house
the back yard of our house
FixStart
List

0.6 0.6
432 388.8
Began 374.9832 285 354 -0.1736111 -0.08744855
Stationary 375.0139 285 354 -0.1736111 -0.08744855
Stationary 375.0446 285 354 -0.1736111 -0.08744855
Moved 375.0754 267.6321 395.9974 -0.2138146 0.02056946
Moved 375.1062 264 455.856 -0.2222222 0.1745265
Moved 375.1369 270.5725 477.5725 -0.2070082 0.2303819
Moved 375.1676 272 485.329 -0.2037037 0.2503316
Moved 375.1983 273 488 -0.2013889 0.2572016
Moved 375.2291 283.5998 480.0002 -0.1768522 0.236626
Moved 375.2598 303.5 446.5 -0.130787 0.1504629
Moved 375.2906 312.7399 410.0402 -0.1093983 0.05668773
Moved 375.3214 313 382.454 -0.1087963 -0.01426446
Moved 375.3521 313 366.1974 -0.1087963 -0.05607668
Moved 375.3828 296.5157 355.7578 -0.1469544 -0.08292743
Moved 375.4135 276.7175 355 -0.1927835 -0.08487654
Moved 375.4443 256.3317 355 -0.239973 -0.08487654
Moved 375.475 224.2866 381.7771 -0.3141514 -0.0160054
Moved 375.5057 198.4954 408.8808 -0.3738533 0.05370572
Moved 375.5365 182.9088 426.5095 -0.4099333 0.09904692
Moved 375.5673 176.3466 436.3067 -0.4251234 0.1242455
Ended 375.598 176 443 -0.4259259 0.1414608
Candidates 375.7209 13 the there this that further us tiger use thus these huge ride rugged
Began 375.9977 313 454 -0.1087963 0.169753
Stationary 376.0283 313 454 -0.1087963 0.169753
Moved 376.0591 313 419.4797 -0.1087963 0.08096636
Moved 376.0899 302.4053 370.9879 -0.133321 -0.04375559
Moved 376.1206 288.7011 338.9521 -0.1650437 -0.126152
Moved 376.1514 273.9029 315.6287 -0.1992988 -0.1861403
Moved 376.1821 255.0634 309 -0.2429089 -0.2031893
Moved 376.2128 228.8331 319.0336 -0.303627 -0.1773827
Moved 376.2435 204.7048 343.1656 -0.3594795 -0.1153147
Moved 376.2743 186.8716 363.1284 -0.4007601 -0.06397027
Moved 376.3051 172.0904 379.3276 -0.4349759 -0.02230554
Moved 376.3358 162.0803 391.2263 -0.4581475 0.008298066
Moved 376.3665 157.3142 398.3715 -0.46918 0.02667564
Moved 376.3973 154.5979 402.4021 -0.4754679 0.03704244
Moved 376.428 155 407.2551 -0.474537 0.04952442
Moved 376.4588 166.6041 410 -0.4476757 0.05658428
Moved 376.4895 186.966 395.9106 -0.4005418 0.02034627
Moved 376.5203 205.0343 369.9372 -0.358717 -0.04645783
Moved 376.5509 211.7275 344.9075 -0.3432234 -0.1108346
Moved 376.5817 215.0992 331.6033 -0.3354186 -0.1450532
Moved 376.6125 217.8535 326.1465 -0.3290429 -0.1590882
Moved 376.6432 246.6489 344.7742 -0.2623868 -0.1111776
Moved 376.674 321.1694 407.9862 -0.08988569 0.05140481
Moved 376.7047 362.8178 445.1193 0.006522635 0.1469118
Moved 376.7354 392.9214 468.745 0.07620703 0.2076774
Moved 376.7662 407.666 480.444 0.110338 0.2377675
Moved 376.7969 414.6458 486.6458 0.1264949 0.2537184
Moved 376.8277 420.6943 490.2314 0.1404962 0.2629409
Ended 376.8584 420.6943 490.2314 0.1404962 0.2629409
Accept 376.9814 0 the
Candidates 376.9814 13 back call bank baby nacl navy ball cash naacp ch nazi many zoo
Began 377.381 324 328 -0.08333336 -0.1543211
Stationary 377.4118 324 328 -0.08333336 -0.1543211
Moved 377.4425 324 342.1436 -0.08333336 -0.1179436
Moved 377.4732 324 375.5335 -0.08333336 -0.03206402
Moved 377.504 330.7844 405.1412 -0.06762872 0.04408742
Moved 377.5347 338.7965 425.7878 -0.04908214 0.09719072
Moved 377.5655 338 433.3502 -0.05092591 0.1166414
Moved 377.5962 338 438.6785 -0.05092591 0.1303458
Moved 377.6269 329.0443 443.5588 -0.0716568 0.142898
Moved 377.6577 312.9863 445 -0.108828 0.1466049
Moved 377.6884 244.935 414.6516 -0.2663541 0.06854819
Moved 377.7191 190.5531 374.8868 -0.3922381 -0.03372734
Moved 377.7499 160.668 345.668 -0.4614167 -0.1088787
Moved 377.7806 140.5416 324.5416 -0.5080055 -0.1632161
Moved 377.8114 131.3994 316.3995 -0.529168 -0.1841578
Moved 377.8421 129 314.2838 -0.5347222 -0.1895992
Stationary 377.8729 129 314 -0.5347222 -0.1903292
Moved 377.9036 166.0633 379.1556 -0.4489276 -0.02274784
Moved 377.9344 208.22 434.22 -0.3513425 0.1188786
Moved 377.9651 226.1582 452.1581 -0.3098191 0.1650157
Moved 377.9958 236.8876 462.8876 -0.2849824 0.192612
Moved 378.0266 241.6748 466 -0.2739008 0.2006171
Moved 378.0573 244.3849 467 -0.2676274 0.2031892
Moved 378.0881 245.5 467 -0.2650463 0.2031892
Moved 378.1188 246 429.5474 -0.2638889 0.1068606
Moved 378.1496 231.3252 392.0759 -0.2978583 0.01048327
Moved 378.1807 222.1865 367.4973 -0.3190127 -0.05273324
Moved 378.211 217.2614 349.0455 -0.3304135 -0.1001916
Moved 378.2418 215 339.7167 -0.3356481 -0.1241854
Moved 378.2725 215 337.1807 -0.3356481 -0.1307082
Ended 378.3033 215 336.5 -0.3356481 -0.1324588
Accept 378.3647 0 back
Candidates 378.3647 13 yard yards tears years heard rates users rated treated guard used rate tara
Began 378.7336 235 339 -0.2893518 -0.1260288
Stationary 378.7644 235 339 -0.2893518 -0.1260288
Moved 378.7951 268.8176 376.8176 -0.2110704 -0.02876133
Moved 378.8258 308.2393 411.1049 -0.1198163 0.05942615
Moved 378.8566 341.5993 437.6528 -0.04259412 0.1277077
Moved 378.8873 368.7385 459.0616 0.02022803 0.1827715
Moved 378.9181 382.1603 467.7736 0.05129705 0.2051788
Moved 378.9488 385.0861 471.0861 0.05806963 0.2136988
Stationary 378.9795 385.0861 471.0861 0.05806963 0.2136988
Moved 379.0103 359.3357 458.0461 -0.00153775 0.1801597
Moved 379.041 286.2268 413.9361 -0.1707712 0.06670795
Moved 379.0718 240 385 -0.2777777 -0.007716127
Moved 379.1025 216.6967 368.7877 -0.3317207 -0.04941453
Moved 379.1333 199.994 355.7455 -0.3703842 -0.08295907
Moved 379.164 188.0991 346.5743 -0.3979187 -0.1065475
Moved 379.1948 184.1012 345 -0.4071731 -0.1105968
Ended 379.2255 183 345 -0.4097222 -0.1105968
Accept 379.3484 0 yard
Candidates 379.3484 13 of if good off god food is odd goods id or high his
Began 379.6559 210 334 -0.3472222 -0.1388889
Stationary 379.6866 210 334 -0.3472222 -0.1388889
Moved 379.7173 246.8048 369.5378 -0.262026 -0.04748497
Moved 379.7481 314.78 431.8115 -0.1046758 0.1126837
Moved 379.7788 339 451.5 -0.04861111 0.163323
Moved 379.8096 346.4554 456.1518 -0.03135333 0.1752875
Moved 379.8404 348 458.8674 -0.0277778 0.182272
Moved 379.8711 348 459 -0.0277778 0.1826131
Stationary 379.9019 348 459 -0.0277778 0.1826131
Moved 379.9326 300.1155 459 -0.1386215 0.1826131
Moved 379.9633 261.7344 459 -0.2274667 0.1826131
Moved 379.994 232.2971 459 -0.2956086 0.1826131
Moved 380.0248 216.2659 459 -0.3327178 0.1826131
Moved 380.0555 201.6496 459 -0.3665518 0.1826131
