the back yard of our house
the back yard of our house
FixStart
Radial

0.6 0.6
432 388.8
Began 552.4595 279 364 -0.1875 -0.06172839
Stationary 552.4902 279 364 -0.1875 -0.06172839
Stationary 552.5209 279 364 -0.1875 -0.06172839
Moved 552.5516 266.5359 400.0883 -0.216352 0.03109127
Moved 552.5824 261.3527 458.5353 -0.2283503 0.1814178
Moved 552.6131 260 488.5817 -0.2314815 0.2586978
Moved 552.6438 260 499.1654 -0.2314815 0.2859192
Moved 552.6745 259 503.2553 -0.2337963 0.2964385
Moved 552.7052 276.0324 505 -0.1943693 0.3009258
Moved 552.736 305.8655 474.2621 -0.1253113 0.2218674
Moved 552.7667 325.9828 430.0685 -0.0787434 0.1082009
Moved 552.7974 331.0337 391.4951 -0.06705169 0.008989499
Moved 552.8281 331 367.4394 -0.06712963 -0.0528823
Moved 552.8588 324.7519 357.6569 -0.0815929 -0.07804289
Moved 552.8896 301.8641 357 -0.1345738 -0.07973259
Moved 552.9203 266.4901 383.6733 -0.2164581 -0.0111284
Moved 552.951 232.511 412.4482 -0.2951134 0.0628812
Moved 552.9817 208.7276 435.1815 -0.3501676 0.1213514
Moved 553.0125 197 446 -0.3773148 0.1491768
Moved 553.0432 190.3311 457.3377 -0.392752 0.1783377
Ended 553.0739 190 463 -0.3935185 0.1929011
Candidates 553.1967 13 the there tiger this further they right trigger time huge roger thus title
Began 553.719 210 413 -0.3472222 0.06430033
Moved 553.7498 226.1261 413 -0.3098932 0.06430033
Moved 553.7805 279.7333 413 -0.1858025 0.06430033
Moved 553.8112 347.6866 413 -0.02850319 0.06430033
Moved 553.8419 381.4855 413 0.04973501 0.06430033
Ended 553.8726 398.9816 422.9877 0.09023518 0.08998898
Accept 553.934 0 the
Began 553.9955 328 472 -0.07407407 0.2160493
Stationary 554.0262 328 472 -0.07407407 0.2160493
Moved 554.0569 310.3061 409.1923 -0.1150322 0.05450692
Moved 554.0876 286.3596 333.9506 -0.1704639 -0.1390161
Moved 554.1183 280.3734 308.6134 -0.184321 -0.2041837
Moved 554.1491 276.5033 293.5164 -0.1932795 -0.2430135
Moved 554.1798 274.6347 285.9042 -0.1976048 -0.2625922
Moved 554.2105 273.7824 282.7824 -0.1995777 -0.2706214
Moved 554.2413 274 281.6783 -0.199074 -0.2734611
Moved 554.272 269.7279 281 -0.2089632 -0.2752058
Moved 554.3027 252.9426 288.0803 -0.2478179 -0.2569951
Moved 554.3334 224.7532 317.2673 -0.3130712 -0.1819256
Moved 554.3641 190.2634 352.6313 -0.3929089 -0.09096883
Moved 554.3948 161.9259 385.5926 -0.4585047 -0.006191976
Moved 554.4256 146.45 408.1875 -0.4943287 0.0519225
Moved 554.4563 140.8015 418.5954 -0.5074039 0.07869179
Moved 554.487 138 425.1323 -0.513889 0.09550471
Moved 554.5178 135.5 428.5 -0.5196759 0.1041665
Moved 554.5484 136 429 -0.5185185 0.1054526
Moved 554.5792 152.2732 405.4279 -0.4808491 0.04482469
Moved 554.6099 182.9111 358.9423 -0.409928 -0.07473706
Moved 554.6406 198.3492 336.5809 -0.3741916 -0.1322508
Moved 554.6713 206.8359 327.8657 -0.3545466 -0.1546665
Moved 554.702 232.5842 326 -0.2949439 -0.1594652
Moved 554.7328 336.4651 401.2004 -0.05447885 0.03395167
Moved 554.7634 402.4688 454.7385 0.09830733 0.1716525
Moved 554.7942 433.0742 476.2446 0.1691533 0.2269664
Moved 554.8249 459.0569 495.4774 0.2292985 0.2764336
Moved 554.8557 474.2374 506.7899 0.2644385 0.3055296
Ended 554.8864 479 509 0.275463 0.3112139
Candidates 554.9785 13 back call bank nacl ball naacp camp cash nazi jack basal zoo ch
Began 555.4393 200 406 -0.3703704 0.04629618
Moved 555.4701 214.4238 406 -0.3369819 0.04629618
Moved 555.5008 290.4211 414.3553 -0.1610622 0.06778611
Moved 555.5315 364.7743 424.5968 0.0110516 0.09412745
Moved 555.5622 396.5818 427 0.08468002 0.1003086
Moved 555.5929 415.4525 428 0.1283624 0.1028806
Ended 555.6237 418.5 428 0.1354167 0.1028806
Accept 555.6851 0 back
Began 555.7772 288 341 -0.1666667 -0.1208849
Stationary 555.808 288 341 -0.1666667 -0.1208849
Moved 555.8387 277.6819 360.6363 -0.1905513 -0.07037999
Moved 555.8694 271 384 -0.2060186 -0.01028807
Moved 555.9001 271 409.1275 -0.2060186 0.05434024
Moved 555.9308 278.7159 442.2272 -0.1881578 0.1394731
Moved 555.9615 286.9505 464.8845 -0.169096 0.197748
Moved 555.9923 290.4825 475.9298 -0.1609203 0.2261568
Moved 556.023 292.3478 482.6957 -0.1566022 0.2435588
Moved 556.0537 292 485.2195 -0.1574074 0.2500501
Moved 556.0844 292 487.0458 -0.1574074 0.2547475
Moved 556.1151 292 488.2736 -0.1574074 0.2579051
Moved 556.1459 292 489 -0.1574074 0.2597736
Stationary 556.1766 292 489 -0.1574074 0.2597736
Moved 556.2073 279.3211 489 -0.1867567 0.2597736
Moved 556.238 245.5388 471.7694 -0.2649564 0.2154562
Moved 556.2687 194.3058 435.8909 -0.3835515 0.1231761
Moved 556.2994 156.8683 400.3573 -0.4702123 0.03178306
Moved 556.3301 125.7292 363.3661 -0.5422935 -0.0633589
Moved 556.3609 106.1976 337.3162 -0.5875055 -0.1303596
Moved 556.3917 96.32977 325.3298 -0.6103477 -0.1611889
Moved 556.4224 95 323 -0.613426 -0.1671811
Stationary 556.4531 95 323 -0.613426 -0.1671811
Moved 556.4838 135.5787 366.5787 -0.5194938 -0.05509608
Moved 556.5145 182.3994 413.4328 -0.4111125 0.06541354
Moved 556.5452 226.7944 456.4536 -0.3083462 0.1760638
Moved 556.5759 257.3122 481.9819 -0.2377033 0.2417229
Moved 556.6067 264.2085 486.2086 -0.2217395 0.252594
Moved 556.6374 265.5 487 -0.21875 0.2546296
Moved 556.6681 265 487 -0.2199074 0.2546296
Moved 556.6989 209.9965 403.9942 -0.3472303 0.04113731
Moved 556.7296 187.7433 365.2388 -0.3987424 -0.0585421
Moved 556.7603 180.2781 349.5562 -0.4160229 -0.09887812
Moved 556.791 176.2404 338.7214 -0.4253694 -0.1267454
Ended 556.8217 176 334.4155 -0.4259259 -0.1378204
Candidates 556.9139 13 yard rates tears treated rated yards tests years rats treats heard hearts readers
Began 557.2825 179 376 -0.4189815 -0.03086435
Moved 557.3132 186.8802 376 -0.4007404 -0.03086435
Moved 557.344 256.7296 382.5916 -0.239052 -0.01391069
Moved 557.3747 355.1269 405.132 -0.01128028 0.0440636
Moved 557.4054 383.7586 410.1517 0.05499681 0.05697462
Ended 557.4361 399 410 0.09027779 0.05658428
Accept 557.4976 0 yard
Began 557.5898 197 352 -0.3773148 -0.09259266
Stationary 557.6205 197 352 -0.3773148 -0.09259266
Moved 557.6511 239.2344 395.1783 -0.27955 0.01846266
Moved 557.6819 325.2825 459.8052 -0.08036459 0.1846841
Moved 557.7126 352.1394 479.2195 -0.01819581 0.2346181
Moved 557.7432 362.9989 484.6659 0.006941855 0.2486262
Moved 557.774 366.1694 486 0.01428108 0.2520575
Stationary 557.8048 366 486 0.01388888 0.2520575
