the back yard of our house
the back yard of our house
Basic
Radial

0.6 0.6
432 388.8
Began 1726.651 372 503 0.02777775 0.2957818
Stationary 1726.681 372 503 0.02777775 0.2957818
Stationary 1726.712 372 503 0.02777775 0.2957818
Stationary 1726.743 372 503 0.02777775 0.2957818
Stationary 1726.774 372 503 0.02777775 0.2957818
Stationary 1726.804 372 503 0.02777775 0.2957818
Stationary 1726.835 372 503 0.02777775 0.2957818
Stationary 1726.866 372 503 0.02777775 0.2957818
Stationary 1726.896 372 503 0.02777775 0.2957818
Stationary 1726.927 372 503 0.02777775 0.2957818
Stationary 1726.958 372 503 0.02777775 0.2957818
Stationary 1726.989 372 503 0.02777775 0.2957818
Stationary 1727.019 372 503 0.02777775 0.2957818
Stationary 1727.05 372 503 0.02777775 0.2957818
Stationary 1727.081 372 503 0.02777775 0.2957818
Stationary 1727.111 372 503 0.02777775 0.2957818
Stationary 1727.142 372 503 0.02777775 0.2957818
Stationary 1727.173 372 503 0.02777775 0.2957818
Moved 1727.204 372 483.7357 0.02777775 0.2462336
Moved 1727.234 390.5613 453.2282 0.07074376 0.167768
Moved 1727.265 407.6624 426.4727 0.1103295 0.09895235
Moved 1727.296 415.6364 413.7271 0.1287881 0.06617048
Moved 1727.326 419.268 408.4641 0.1371944 0.05263383
Moved 1727.357 422.2225 404.5549 0.1440336 0.04257951
Moved 1727.388 423 402.9063 0.1458333 0.03833924
Moved 1727.419 424.9637 401.0363 0.1503789 0.0335295
Moved 1727.449 425 399.9769 0.150463 0.03080478
Moved 1727.48 426 398.5 0.1527777 0.02700609
Moved 1727.511 426 397.5 0.1527777 0.02443408
Stationary 1727.542 426 397.5 0.1527777 0.02443408
Moved 1727.572 426 396.827 0.1527777 0.02270306
Stationary 1727.603 426 397 0.1527777 0.02314815
Stationary 1727.634 426 397 0.1527777 0.02314815
Moved 1727.664 414.1859 406.8141 0.1254302 0.04839022
Moved 1727.695 405.6312 412.5792 0.1056279 0.06321789
Moved 1727.726 394.387 418.9598 0.07959952 0.07962898
Moved 1727.757 384 425 0.0555556 0.09516452
Moved 1727.787 376.8195 430.1805 0.03893405 0.1084888
Moved 1727.818 368.1091 435.8909 0.01877099 0.1231762
Moved 1727.849 347.1341 454.0279 -0.02978211 0.1698248
Moved 1727.879 336.1482 462.8517 -0.05521242 0.1925199
Moved 1727.91 326.2538 470.4974 -0.07811611 0.2121847
Moved 1727.941 315.5174 479.362 -0.1029691 0.2349845
Moved 1727.972 297.0444 496.963 -0.1457305 0.2802546
Moved 1728.002 287.0012 505.4991 -0.1689788 0.3022097
Moved 1728.033 279.2506 512.7495 -0.18692 0.3208576
Moved 1728.064 274.7621 517.4757 -0.1973098 0.3330136
Moved 1728.094 271.1656 519.8344 -0.2056352 0.3390802
Moved 1728.125 269 522.6576 -0.2106481 0.3463414
Moved 1728.156 266.4716 525 -0.2165009 0.3523662
Moved 1728.187 264.5998 527.4002 -0.2208338 0.3585395
Moved 1728.217 263 528.9241 -0.2245371 0.3624591
Moved 1728.248 261.6431 530.3569 -0.227678 0.3661441
Moved 1728.279 259.5 531 -0.2326389 0.3677982
Moved 1728.309 258.5 532 -0.2349537 0.3703703
Moved 1728.34 257.8854 533 -0.2363764 0.3729423
Stationary 1728.371 258 533 -0.2361111 0.3729423
Stationary 1728.402 258 533 -0.2361111 0.3729423
Moved 1728.432 257 534.2949 -0.2384259 0.3762727
Ended 1728.463 257 534 -0.2384259 0.3755144
Candidates 1728.586 13 the there they he hr threw other jr where she figure tiger higher
Began 1729.477 368 425 0.01851857 0.09516452
Stationary 1729.507 368 425 0.01851857 0.09516452
Stationary 1729.538 368 425 0.01851857 0.09516452
Moved 1729.569 386.3219 425 0.06093035 0.09516452
Moved 1729.599 409.5258 425 0.114643 0.09516452
Moved 1729.63 437.6685 425 0.1797881 0.09516452
Moved 1729.661 452.6439 417 0.2144535 0.0745884
Moved 1729.692 459.522 416 0.230375 0.07201634
Moved 1729.722 464.0948 415 0.2409602 0.06944436
Moved 1729.753 466 415 0.2453704 0.06944436
Moved 1729.784 468.5 415 0.2511574 0.06944436
Moved 1729.815 469.3657 413.6343 0.2531613 0.06593186
Moved 1729.845 470.0743 414 0.2548017 0.06687239
Ended 1729.876 472.1298 412.8702 0.2595598 0.06396647
Accept 1729.938 0 the
Began 1730.46 382 295 0.05092591 -0.2391976
Stationary 1730.49 382 295 0.05092591 -0.2391976
Stationary 1730.521 382 295 0.05092591 -0.2391976
Stationary 1730.552 382 295 0.05092591 -0.2391976
Stationary 1730.583 382 295 0.05092591 -0.2391976
Stationary 1730.612 382 295 0.05092591 -0.2391976
Stationary 1730.644 382 295 0.05092591 -0.2391976
Stationary 1730.675 382 295 0.05092591 -0.2391976
Stationary 1730.705 382 295 0.05092591 -0.2391976
Stationary 1730.736 382 295 0.05092591 -0.2391976
Stationary 1730.767 382 295 0.05092591 -0.2391976
Stationary 1730.797 382 295 0.05092591 -0.2391976
Stationary 1730.828 382 295 0.05092591 -0.2391976
Stationary 1730.859 382 295 0.05092591 -0.2391976
Stationary 1730.89 382 295 0.05092591 -0.2391976
Stationary 1730.92 382 295 0.05092591 -0.2391976
Stationary 1730.951 382 295 0.05092591 -0.2391976
Moved 1730.982 369.078 320.3051 0.02101392 -0.1741125
Moved 1731.013 356.5081 347.4865 -0.008083086 -0.1042014
Moved 1731.043 336.6483 375.9733 -0.05405476 -0.03093288
Moved 1731.074 313.5184 400.979 -0.1075964 0.03338213
Moved 1731.105 282.8019 415.9082 -0.1786993 0.07178032
Moved 1731.135 255.6645 423.8007 -0.2415173 0.0920798
Moved 1731.166 233.3411 427.8084 -0.293192 0.1023878
Moved 1731.197 220.2681 430 -0.3234534 0.1080246
Moved 1731.228 211.5046 431 -0.3437393 0.1105966
Moved 1731.258 199.7299 431 -0.3709956 0.1105966
Moved 1731.289 193.0785 431 -0.3863923 0.1105966
Moved 1731.32 189.1637 431 -0.3954545 0.1105966
Moved 1731.35 188 431 -0.3981482 0.1105966
Moved 1731.381 187 431 -0.4004629 0.1105966
Moved 1731.412 185.5 431 -0.4039352 0.1105966
Moved 1731.443 186 431 -0.4027778 0.1105966
Stationary 1731.473 186 431 -0.4027778 0.1105966
Moved 1731.504 210.0582 410.7063 -0.3470874 0.05840085
Moved 1731.535 250.781 381.4794 -0.2528218 -0.01677117
Moved 1731.566 290.5498 351.7819 -0.1607642 -0.09315349
Moved 1731.596 315.5639 328.7841 -0.1028614 -0.1523043
Moved 1731.627 334.6528 303.7554 -0.05867402 -0.2166785
Moved 1731.658 346.6143 287.9822 -0.03098552 -0.2572475
Moved 1731.688 352.9563 281.0437 -0.01630485 -0.2750933
Moved 1731.719 355.8495 277.1506 -0.009607722 -0.2851066
Moved 1731.75 357.7209 274.2791 -0.005275707 -0.2924921
Moved 1731.781 359 272.8038 -0.002314796 -0.2962865
Moved 1731.811 360.5 272 0.001157423 -0.2983539
Moved 1731.842 361 271 0.002314846 -0.300926
Moved 1731.873 361 270 0.002314846 -0.303498
Moved 1731.903 362 270 0.004629592 -0.303498
Stationary 1731.934 362 270 0.004629592 -0.303498
Moved 1731.965 362 278.9651 0.004629592 -0.2804395
Moved 1731.995 369.9875 305.9626 0.02311935 -0.2110015
Moved 1732.026 389.7496 342.4279 0.06886472 -0.1172124
Moved 1732.057 411.8524 373.6674 0.1200288 -0.03686371
Moved 1732.088 426.375 390.65 0.1536459 0.006815827
Moved 1732.118 440.0152 401.2122 0.1852204 0.03398181
Moved 1732.149 455.199 412.0995 0.2203681 0.06198424
Moved 1732.18 458.0911 414.5455 0.2270626 0.06827543
Moved 1732.211 461.413 417.413 0.2347522 0.07565051
Moved 1732.241 464 418 0.2407408 0.07716041
Moved 1732.272 466 419.8535 0.2453704 0.08192769
Moved 1732.303 468.5 420 0.2511574 0.08230445
Moved 1732.333 469.1932 421 0.252762 0.08487643
Stationary 1732.364 469.1932 421 0.252762 0.08487643
