are you sure you want this
are you sure you want this
FixStart
List

0.6 0.6
432 388.8
Moved 865.0427 467 516.9421 0.2476852 0.3316412
Moved 865.0734 467 535.8356 0.2476852 0.3802354
Moved 865.1041 458.7486 554.0115 0.2285846 0.4269841
Moved 865.1349 457.6489 565.1064 0.2260392 0.4555205
Moved 865.1655 457 577.8091 0.2245371 0.488192
Moved 865.1963 457 587.6865 0.2245371 0.513597
Moved 865.2269 457 597.7487 0.2245371 0.5394771
Moved 865.2577 457 605.2111 0.2245371 0.5586703
Moved 865.2885 465.047 610.2991 0.2431643 0.571757
Moved 865.3191 465.5 613.5 0.244213 0.5799896
Moved 865.3498 466 615.9654 0.2453704 0.5863307
Moved 865.3806 468.071 617.071 0.2501644 0.5891743
Moved 865.4113 475.5 618.5 0.2673611 0.5928496
Moved 865.442 492.3599 618 0.3063886 0.5915637
Moved 865.4727 512.1768 606.0671 0.3522609 0.560872
Moved 865.5034 530.5 601 0.3946759 0.5478393
Moved 865.5341 551.4429 595.346 0.443155 0.5332972
Moved 865.5648 567.4151 590.5283 0.4801275 0.5209061
Moved 865.5955 581.2097 587.358 0.5120595 0.512752
Moved 865.6262 592.2064 584.9484 0.5375147 0.5065545
Moved 865.657 597.5567 583.8145 0.5498997 0.503638
Moved 865.6877 603 582.5 0.5624999 0.5002571
Moved 865.7184 610.0113 582 0.5787297 0.4989711
Moved 865.7491 614.8307 579.5846 0.589886 0.4927586
Moved 865.7798 616.4054 580 0.593531 0.4938271
Moved 865.8105 618.9309 578.0691 0.599377 0.4888607
Moved 865.8413 621.3404 576.6596 0.6049547 0.4852356
Stationary 865.8719 621 577 0.6041667 0.4861111
Moved 865.9027 621 576.0771 0.6041667 0.4837375
Moved 865.9333 589.192 576 0.530537 0.483539
Moved 865.9641 566.1492 575.2863 0.4771972 0.4817034
Moved 865.9948 542.8248 575 0.4232056 0.480967
Moved 866.0256 523.5 575 0.3784722 0.480967
Moved 866.0563 508.7211 575 0.3442619 0.480967
Moved 866.087 498.8322 575 0.3213708 0.480967
Moved 866.1177 492.0412 575 0.3056508 0.480967
Moved 866.1484 487.2303 575 0.2945146 0.480967
Moved 866.1791 485.0162 575 0.2893894 0.480967
Moved 866.2098 483.8036 575 0.2865823 0.480967
Moved 866.2405 482.5 575 0.2835648 0.480967
Ended 866.2712 483 575 0.2847222 0.480967
Candidates 866.3634 13 you toy tour root your report roy terror fruit europe territory route kept
Began 866.9777 485 480 0.2893518 0.2366254
Stationary 867.0084 485 480 0.2893518 0.2366254
Stationary 867.0391 485 480 0.2893518 0.2366254
Stationary 867.0698 485 480 0.2893518 0.2366254
Stationary 867.1005 485 480 0.2893518 0.2366254
Stationary 867.1313 485 480 0.2893518 0.2366254
Stationary 867.1619 485 480 0.2893518 0.2366254
Stationary 867.1926 485 480 0.2893518 0.2366254
Stationary 867.2234 485 480 0.2893518 0.2366254
Stationary 867.2542 485 480 0.2893518 0.2366254
Stationary 867.2849 485 480 0.2893518 0.2366254
Moved 867.3156 475.5619 480 0.2675043 0.2366254
Stationary 867.3463 475.5619 480 0.2675043 0.2366254
Moved 867.377 470.6519 480 0.2561387 0.2366254
Moved 867.4077 460.046 480 0.231588 0.2366254
Moved 867.4384 449.7947 480 0.2078581 0.2366254
Moved 867.4691 426.5387 480 0.1540249 0.2366254
Moved 867.4998 409.4602 480 0.1144912 0.2366254
Moved 867.5305 399 480 0.09027779 0.2366254
Moved 867.5613 377.8336 480 0.04128148 0.2366254
Moved 867.592 360.6674 480 0.001545052 0.2366254
Moved 867.6227 352.1652 480 -0.01813605 0.2366254
Moved 867.6534 344.507 480 -0.03586351 0.2366254
Moved 867.6841 335.1544 480 -0.05751307 0.2366254
Moved 867.7148 330.3104 480 -0.06872585 0.2366254
