taking the train is usually faster
taking the train is usually faster
Basic
List

0.6 0.6
432 388.8
Began 2304.349 367 521 0.01620372 0.3420781
Stationary 2304.38 367 521 0.01620372 0.3420781
Stationary 2304.41 367 521 0.01620372 0.3420781
Moved 2304.441 351.2885 511.0049 -0.02016554 0.3163705
Moved 2304.472 338.679 507.3395 -0.04935414 0.3069432
Moved 2304.503 322.7555 499.0533 -0.08621419 0.2856308
Moved 2304.533 305.5037 488.3358 -0.1261489 0.2580652
Moved 2304.564 287.7419 477.1013 -0.1672641 0.22917
Moved 2304.595 272.3716 466.5811 -0.2028435 0.2021116
Moved 2304.626 256.8267 454.1889 -0.2388272 0.1702389
Moved 2304.656 243.3897 443.5118 -0.2699312 0.1427771
Moved 2304.687 231.5453 432.5453 -0.2973487 0.1145713
Moved 2304.718 216.84 417.84 -0.3313888 0.076749
Moved 2304.749 204.4969 404.4969 -0.359961 0.04243018
Moved 2304.779 191.4504 388.6755 -0.3901612 0.001737414
Moved 2304.81 179.7189 375.4627 -0.4173172 -0.03224612
Moved 2304.841 167.6559 358.5699 -0.4452409 -0.0756949
Moved 2304.872 155.7258 342.0161 -0.4728569 -0.1182714
Moved 2304.902 147.1377 330.1377 -0.4927368 -0.1488228
Moved 2304.933 140.9436 319.8872 -0.507075 -0.1751873
Moved 2304.964 133.619 308.0316 -0.5240301 -0.2056801
Moved 2304.994 127.8918 299.3376 -0.5372876 -0.228041
Moved 2305.025 124.6988 292.0965 -0.5446787 -0.2466655
Moved 2305.056 122.2553 289.2552 -0.550335 -0.2539731
Moved 2305.087 120.5189 286.5189 -0.5543545 -0.2610112
Moved 2305.117 121 286 -0.5532407 -0.2623458
Moved 2305.148 121 284.5 -0.5532407 -0.2662037
Moved 2305.179 121 285 -0.5532407 -0.2649178
Stationary 2305.21 121 285 -0.5532407 -0.2649178
Stationary 2305.24 121 285 -0.5532407 -0.2649178
Stationary 2305.271 121 285 -0.5532407 -0.2649178
Moved 2305.302 128.7139 285 -0.5353846 -0.2649178
Moved 2305.333 131.9262 285 -0.5279487 -0.2649178
Moved 2305.363 136.4632 285 -0.5174463 -0.2649178
Moved 2305.394 141.3309 293.1582 -0.5061784 -0.2439347
Moved 2305.425 146.8588 295.9294 -0.4933823 -0.2368072
Moved 2305.456 154.0863 301.3909 -0.4766521 -0.2227602
Moved 2305.486 163.8557 309.3918 -0.4540377 -0.2021817
Moved 2305.517 172.473 315.6047 -0.4340903 -0.1862019
Moved 2305.548 188.79 330.1583 -0.3963195 -0.1487698
Moved 2305.579 212.9293 349.1434 -0.3404414 -0.09993973
Moved 2305.609 242.0503 365.9601 -0.2730317 -0.05668687
Moved 2305.64 280.828 384.0108 -0.1832684 -0.01026032
Moved 2305.671 323.1666 399.8452 -0.08526251 0.03046601
Moved 2305.701 368.3138 413.7307 0.01924505 0.0661797
Moved 2305.732 404.2298 421.1536 0.1023839 0.08527163
Moved 2305.763 441.9184 426.3014 0.189626 0.09851169
Moved 2305.794 472.6037 430.0604 0.2606568 0.1081799
Moved 2305.824 496.4267 434.8252 0.3158025 0.1204351
Moved 2305.855 522.6308 438.6052 0.3764601 0.1301572
Moved 2305.886 543.473 443.0676 0.424706 0.1416346
Moved 2305.917 556.3096 446 0.4544204 0.1491768
Moved 2305.948 565.5 448.5 0.4756944 0.1556069
Moved 2305.978 571.0507 450 0.4885432 0.1594649
Moved 2306.009 574.5627 451.7814 0.496673 0.1640467
Moved 2306.04 576.5413 452 0.5012529 0.164609
Moved 2306.07 578.5 452 0.505787 0.164609
Moved 2306.101 579.1367 452 0.507261 0.164609
Moved 2306.132 580.0273 452 0.5093226 0.164609
Moved 2306.163 582.1155 452 0.5141562 0.164609
Moved 2306.193 584.0535 452 0.5186425 0.164609
Stationary 2306.224 584.0535 452 0.5186425 0.164609
Moved 2306.255 585 441.5 0.5208333 0.1376028
Moved 2306.285 585 443.0405 0.5208333 0.1415651
Moved 2306.316 585 441.5 0.5208333 0.1376028
Moved 2306.347 585 439.9304 0.5208333 0.1335658
Moved 2306.378 585 439 0.5208333 0.1311728
Moved 2306.408 576.5 438 0.5011575 0.1286007
Moved 2306.439 572.7251 437 0.4924192 0.1260288
Moved 2306.47 564.387 436 0.4731179 0.1234567
Moved 2306.501 553.3254 436 0.4475125 0.1234567
Moved 2306.531 543.6827 436 0.4251915 0.1234567
Moved 2306.562 524.9238 449.6041 0.3817681 0.1584466
Moved 2306.593 510.2427 456.8787 0.3477841 0.177157
Moved 2306.624 494.0041 466.1976 0.3101946 0.2011254
Moved 2306.654 481.9789 474.4127 0.2823586 0.2222547
Moved 2306.685 471.7131 481.1434 0.2585951 0.2395663
Moved 2306.716 460.6546 485.3364 0.2329968 0.2503507
Moved 2306.747 453.6928 487.1024 0.2168814 0.254893
Moved 2306.777 448.8957 487 0.2057771 0.2546296
Moved 2306.808 444.3611 487 0.1952803 0.2546296
Moved 2306.839 437.8352 470.5056 0.1801741 0.2122056
Moved 2306.87 430.5 452 0.1631944 0.164609
Moved 2306.9 425.4497 410.8727 0.1515039 0.05882887
Moved 2306.931 426 366.4114 0.1527777 -0.05552645
Moved 2306.962 431.6187 327.1572 0.1657841 -0.1564887
Moved 2306.992 437.4334 296.3998 0.179244 -0.2355973
Moved 2307.023 443.0334 258.6995 0.1922069 -0.3325632
Moved 2307.054 446.606 233.7729 0.2004768 -0.3966745
Moved 2307.085 449.564 211.0518 0.2073241 -0.4551138
Moved 2307.115 450 194.0088 0.2083333 -0.4989487
Moved 2307.146 451 180.9243 0.2106482 -0.5326022
Moved 2307.177 451 171.4043 0.2106482 -0.5570877
Moved 2307.208 451 164.1472 0.2106482 -0.575753
Moved 2307.239 451 158.5957 0.2106482 -0.5900316
Moved 2307.269 451 154.5266 0.2106482 -0.6004975
Moved 2307.3 441.5417 151.7709 0.1887539 -0.6075853
Moved 2307.331 429.4829 152 0.1608399 -0.6069959
Moved 2307.361 404.49 174.0713 0.102986 -0.5502282
Moved 2307.392 382.3885 199.0144 0.05182524 -0.4860741
Moved 2307.423 364.2116 224.6826 0.009749034 -0.4200551
Moved 2307.454 350.2357 246.6464 -0.02260253 -0.363564
