the bathroom is good for reading
the bathroom is good for reading
Basic
List

0.6 0.6
432 388.8
Moved 3028.283 403.2353 335.9044 0.1000818 -0.1339907
Moved 3028.314 392.6774 336 0.07564217 -0.1337449
Moved 3028.344 378.3614 352.0322 0.04250328 -0.09250986
Moved 3028.375 364.1734 365.4612 0.009660621 -0.05797013
Moved 3028.406 348.1541 384.6536 -0.02742102 -0.008607165
Moved 3028.437 335.7249 400.8438 -0.05619228 0.03303446
Moved 3028.467 322.6676 417.9986 -0.08641759 0.07715676
Moved 3028.498 313.7822 430.6312 -0.1069857 0.109648
Moved 3028.529 303.0252 444.9622 -0.131886 0.1465075
Moved 3028.56 294.2445 454.7555 -0.1522119 0.1716961
Moved 3028.59 286.9828 462.0172 -0.1690213 0.1903734
Moved 3028.621 281.2494 466.7506 -0.182293 0.2025478
Moved 3028.652 277.5047 472.4953 -0.1909614 0.2173233
Moved 3028.682 277 477.0157 -0.1921296 0.2289497
Moved 3028.713 277 480.7722 -0.1921296 0.2386115
Moved 3028.744 277 485.425 -0.1921296 0.2505786
Moved 3028.775 277 488.9564 -0.1921296 0.2596614
Moved 3028.805 286.4874 492.7437 -0.1701681 0.2694025
Moved 3028.836 294.5 498 -0.1516204 0.2829217
Moved 3028.867 311.4064 502.8304 -0.1124852 0.2953456
Moved 3028.898 339.0687 506.6724 -0.04845212 0.3052272
Moved 3028.928 372.1502 508 0.02812544 0.3086419
Moved 3028.959 400.8477 508 0.09455502 0.3086419
Moved 3028.99 436.6114 508 0.1773412 0.3086419
Moved 3029.021 466.7467 498.2089 0.2470988 0.2834589
Moved 3029.051 494.5513 492.6898 0.3114614 0.2692637
Moved 3029.082 512.9813 486.8625 0.3541234 0.2542759
Moved 3029.113 529.9093 481.3636 0.3933086 0.2401326
Moved 3029.144 541.3082 477.9229 0.419695 0.2312831
Moved 3029.174 547.687 475.1566 0.4344605 0.224168
Moved 3029.205 551.6241 472.6879 0.4435744 0.2178186
Moved 3029.236 555.137 470.9315 0.4517059 0.2133011
Moved 3029.266 556.8335 468.1665 0.4556331 0.2061895
Moved 3029.297 558.5 463 0.4594907 0.1929011
Moved 3029.328 558 453.8262 0.4583333 0.169306
Moved 3029.359 551.715 437.9294 0.4437848 0.1284191
Moved 3029.389 534 407.5 0.4027778 0.05015428
Moved 3029.42 519.2813 384.422 0.3687068 -0.009202722
Moved 3029.451 496.8802 347.8962 0.3168522 -0.1031476
Moved 3029.482 471.4447 304.7115 0.2579738 -0.2142193
Moved 3029.512 457.1245 273.8112 0.2248251 -0.2936957
Moved 3029.543 449.3116 257.6233 0.2067399 -0.3353311
Moved 3029.574 440.691 233.9456 0.1867847 -0.3962306
Moved 3029.605 432.2606 212.5211 0.1672698 -0.4513346
Moved 3029.635 428.0672 205.1344 0.157563 -0.4703334
Moved 3029.666 424.6569 198.9706 0.1496686 -0.4861869
Moved 3029.697 422.9104 196.9104 0.145626 -0.4914857
Moved 3029.728 422 195.1611 0.1435185 -0.4959847
Moved 3029.758 420.7099 193.7098 0.140532 -0.4997176
Moved 3029.789 421 192.5 0.1412037 -0.5028292
Moved 3029.82 419.8616 191.8616 0.1385685 -0.5044714
Moved 3029.851 420 190.9479 0.1388889 -0.5068214
Ended 3029.881 419 191 0.1365741 -0.5066873
Accept 3030.004 0 the
Candidates 3030.004 13 bathroom nation bargain begun variation bedroom madison main maturation version destruction criterion mention
Began 3030.742 478 490 0.2731481 0.2623456
Stationary 3030.773 478 490 0.2731481 0.2623456
Stationary 3030.803 478 490 0.2731481 0.2623456
Moved 3030.834 467.004 490 0.2476945 0.2623456
Moved 3030.865 453.0489 490 0.215391 0.2623456
Moved 3030.896 435.708 490 0.1752501 0.2623456
