electric cars need big fuel cells
electric cars need big fuel cells
FixStart
List

0.6 0.6
432 388.8
Began 278.8886 331 348 -0.06712963 -0.1028807
Stationary 278.9194 331 348 -0.06712963 -0.1028807
Moved 278.9501 290.1677 379.0435 -0.1616489 -0.0230363
Moved 278.9808 247.5 425 -0.2604167 0.09516452
Moved 279.0116 229.4459 449.2866 -0.3022086 0.15763
Moved 279.0423 226 460.8802 -0.3101852 0.187449
Moved 279.073 226 467.6909 -0.3101852 0.2049663
Moved 279.1038 293.9689 458.3013 -0.1528497 0.1808161
Moved 279.1344 370.4342 427.439 0.02415319 0.1014378
Moved 279.1653 401.6947 403.6442 0.09651552 0.04023713
Moved 279.196 414.6521 387.6958 0.1265095 -0.0007824446
Moved 279.2267 417 368 0.1319444 -0.05144041
Moved 279.2575 397.8237 349.902 0.08755485 -0.09798858
Moved 279.2882 359.1517 353.9241 -0.001963576 -0.08764376
Moved 279.319 315.1991 380.5339 -0.1037057 -0.01920292
Moved 279.3497 286.499 418.8092 -0.1701412 0.0792417
Moved 279.3804 273.8582 441.2837 -0.1994024 0.1370464
Moved 279.4112 270.7046 449.8863 -0.2067024 0.1591725
Moved 279.4419 271 452 -0.2060186 0.164609
Moved 279.4727 280.4401 437.1656 -0.1841665 0.1264547
Moved 279.5034 297.6717 362.1304 -0.1442785 -0.06653695
Moved 279.5341 297 276.426 -0.1458333 -0.2869702
Moved 279.5648 297 238.5612 -0.1458333 -0.3843591
Moved 279.5956 286.9505 217.8267 -0.169096 -0.4376887
Moved 279.6264 279.7484 209.499 -0.1857675 -0.4591075
Moved 279.6571 257.2383 220.8093 -0.2378742 -0.4300172
Moved 279.6878 225.698 284.7199 -0.3108842 -0.2656381
Moved 279.7186 222 338.6449 -0.3194444 -0.1269421
Moved 279.7493 240.9576 388.7543 -0.275561 0.001939962
Moved 279.7801 265.0723 431.1084 -0.2197401 0.1108754
Moved 279.8108 280 450.5 -0.1851852 0.1607509
Moved 279.8416 292.61 465.6099 -0.1559955 0.1996139
Moved 279.8723 309.062 476.531 -0.117912 0.2277031
Moved 279.903 318.6574 480.5525 -0.09570052 0.2380464
Moved 279.9337 323.896 482 -0.08357416 0.2417695
Moved 279.9645 326.5 483 -0.07754628 0.2443414
Moved 279.9952 327 483 -0.07638887 0.2443414
Moved 280.026 327 484.0162 -0.07638887 0.2469552
Moved 280.0567 314.5832 485.3796 -0.1051314 0.250462
Moved 280.0875 291.6019 487 -0.158329 0.2546296
Moved 280.1182 279.2989 487 -0.186808 0.2546296
Moved 280.1489 273.7054 487 -0.199756 0.2546296
Moved 280.1797 273 488.0443 -0.2013889 0.2573156
Moved 280.2104 290.3565 492.0186 -0.1612117 0.2675373
Moved 280.2411 364.071 505.3108 0.009423593 0.3017252
Moved 280.2719 381.2775 507.1898 0.0492535 0.3065581
Moved 280.3026 406.9141 508 0.1085975 0.3086419
Moved 280.3334 419.8474 508 0.1385356 0.3086419
Moved 280.3641 422 487.9886 0.1435185 0.2571724
Moved 280.3948 397 445.5 0.0856481 0.1478908
Moved 280.4256 309.9243 333.2556 -0.115916 -0.1408035
Moved 280.4563 285.2626 297.8239 -0.1730032 -0.2319346
Moved 280.4871 265.489 268.1484 -0.2187754 -0.3082604
Moved 280.5178 252.1288 246.2062 -0.2497017 -0.3646961
Moved 280.5486 241.9019 228.5032 -0.2733752 -0.4102285
Moved 280.5792 236.1581 217.7372 -0.2866711 -0.4379187
Ended 280.61 236 216 -0.287037 -0.4423869
Candidates 280.6715 13 electric generic diabetic genetic electronic static toxic atlantic eukaryotic systematic plastic democratic music
Began 281.1326 337 380 -0.05324075 -0.02057613
Moved 281.1634 326.1694 363.7542 -0.07831151 -0.06236072
Moved 281.194 298.2066 306.4131 -0.1430403 -0.2098427
Moved 281.2249 281.0038 273.2084 -0.1828616 -0.295246
Moved 281.2555 270.1873 254.5779 -0.2078996 -0.3431639
Moved 281.2863 262.2153 244.2153 -0.2263535 -0.3698166
Moved 281.317 253.4086 242 -0.2467393 -0.3755144
Moved 281.3477 228.8385 269.2965 -0.3036147 -0.3053074
Moved 281.3785 202.5814 318.579 -0.3643949 -0.1785519
Moved 281.4092 188.1403 350.7194 -0.3978235 -0.09588633
Moved 281.44 179.6257 378.2458 -0.4175331 -0.02508791
Moved 281.4707 179 397.8727 -0.4189815 0.02539266
Moved 281.5015 200.9433 434.2514 -0.3681868 0.1189593
Moved 281.5322 247.7424 479.6929 -0.2598556 0.2358355
Moved 281.5629 284.3182 506.0496 -0.1751893 0.3036255
Moved 281.5937 313.1953 523.6973 -0.1083443 0.3490155
Moved 281.6245 326.5732 530.7155 -0.07737696 0.3670664
Moved 281.6552 330 531 -0.06944443 0.3677982
Stationary 281.6859 330 531 -0.06944443 0.3677982
Moved 281.7167 277.3176 462.1836 -0.1913946 0.1908014
Moved 281.7474 226.2918 395.0078 -0.3095097 0.01802397
Moved 281.7781 214.3412 382.1765 -0.3371732 -0.01497834
Moved 281.8089 206.2366 373.3549 -0.3559338 -0.03766762
Moved 281.8396 201.4183 368.4183 -0.3670872 -0.05036459
Moved 281.8703 198.991 366 -0.3727061 -0.05658444
Ended 281.9011 199 365 -0.3726852 -0.05915646
Accept 281.9933 0 electric
Candidates 281.9933 13 cars cards card cats careers cares cases arts cared data carried days assets
Began 282.3007 303 393 -0.1319445 0.01285996
Stationary 282.3315 303 393 -0.1319445 0.01285996
Moved 282.3622 332.66 351.1956 -0.06328702 -0.09466171
Moved 282.3929 349.758 314.4291 -0.02370829 -0.1892255
Moved 282.4236 354.7289 295.6269 -0.01220172 -0.2375851
Moved 282.4544 356 283.1933 -0.009259283 -0.2695646
Moved 282.4852 356 281.5 -0.009259283 -0.2739198
Moved 282.5159 322.5179 302.5834 -0.08676424 -0.219693
Moved 282.5466 284.3857 347.8447 -0.175033 -0.1032801
Moved 282.5773 259.7305 391.539 -0.2321053 0.009102331
Moved 282.6081 246.2548 426.7374 -0.263299 0.09963325
Moved 282.6389 236.5807 464.1504 -0.2856929 0.19586
Moved 282.6696 227.4451 491.813 -0.30684 0.2670086
Moved 282.7003 220.8619 511.2762 -0.3220789 0.3170685
Moved 282.731 216.7101 519.8696 -0.3316895 0.3391707
Moved 282.7618 214.2153 523.7847 -0.3374645 0.3492403
Moved 282.7925 211.5567 526.4434 -0.3436188 0.3560785
Moved 282.8233 209.9191 526 -0.3474095 0.3549381
Moved 282.8541 207 499.3291 -0.3541667 0.2863402
Moved 282.8848 207 461.7342 -0.3541667 0.1896455
Moved 282.9155 217.0284 424.872 -0.3309527 0.09483533
Moved 282.9463 221.4597 405.0806 -0.320695 0.04393142
Moved 282.977 224.4456 395.6631 -0.3137832 0.01970951
Ended 283.0077 228 392 -0.3055556 0.01028803
Accept 283.0999 0 cars
Candidates 283.0999 13 needs bed news need beds beef breed needed bees beta bra brass meets
Began 283.4688 264 336 -0.2222222 -0.1337449
Stationary 283.4996 264 336 -0.2222222 -0.1337449
Stationary 283.5303 264 336 -0.2222222 -0.1337449
Stationary 283.561 264 336 -0.2222222 -0.1337449
Stationary 283.5918 264 336 -0.2222222 -0.1337449
Stationary 283.6225 264 336 -0.2222222 -0.1337449
Stationary 283.6533 264 336 -0.2222222 -0.1337449
Stationary 283.684 264 336 -0.2222222 -0.1337449
Stationary 283.7147 264 336 -0.2222222 -0.1337449
Stationary 283.7455 264 336 -0.2222222 -0.1337449
Stationary 283.7762 264 336 -0.2222222 -0.1337449
Moved 283.8069 248.1714 393.4577 -0.2588626 0.0140373
Moved 283.8376 244.146 440.8104 -0.2681806 0.1358292
Moved 283.8684 243 469.2129 -0.2708333 0.2088808
Moved 283.8991 242 491.0868 -0.2731481 0.2651409
Moved 283.9299 242 508.4064 -0.2731481 0.3096873
Moved 283.9606 242 522.1484 -0.2731481 0.3450319
Moved 283.9914 250.0521 531.4509 -0.2545091 0.3689581
Moved 284.0221 255.6057 541.4743 -0.2416534 0.3947383
