he is just like everyone else
he is just like everyone else
FixStart
Radial

0.6 0.6
432 388.8
Began 3509.28 417 533 0.1319444 0.3729423
Stationary 3509.311 417 533 0.1319444 0.3729423
Stationary 3509.341 417 533 0.1319444 0.3729423
Stationary 3509.372 417 533 0.1319444 0.3729423
Stationary 3509.403 417 533 0.1319444 0.3729423
Moved 3509.433 429.2807 533 0.160372 0.3729423
Moved 3509.464 445.2778 544.7593 0.1974023 0.4031874
Moved 3509.495 459.2495 548.2499 0.2297441 0.4121653
Moved 3509.526 467.6452 549.8226 0.2491788 0.4162104
Moved 3509.556 474.2605 551 0.2644919 0.4192385
Moved 3509.587 478.5 551 0.2743055 0.4192385
Moved 3509.618 481.379 553.379 0.2809699 0.4253575
Moved 3509.648 483.9264 554 0.2868666 0.4269547
Moved 3509.679 485 555.8023 0.2893518 0.4315902
Moved 3509.71 485 559.3419 0.2893518 0.4406941
Moved 3509.74 485 565 0.2893518 0.4552468
Moved 3509.771 464.6409 576.2992 0.2422243 0.4843085
Moved 3509.802 441.4237 597.5763 0.1884809 0.5390336
Moved 3509.833 417.1451 623.6641 0.1322803 0.6061317
Moved 3509.864 402.566 637.434 0.09853243 0.6415482
Moved 3509.894 387.7572 649.9943 0.06425281 0.6738535
Moved 3509.925 376.4935 664.6331 0.03817946 0.7115046
Moved 3509.956 369.0089 672.9867 0.02085388 0.7329903
Moved 3509.986 361.9345 679.0655 0.004478096 0.748625
Moved 3510.017 354.1877 687.2184 -0.01345431 0.7695946
Moved 3510.048 348.717 690.283 -0.02611801 0.7774766
Moved 3510.079 343.3199 693.84 -0.03861124 0.7866254
Moved 3510.109 340.3472 695 -0.04549255 0.7896089
Moved 3510.14 338 696.5259 -0.05092591 0.7935335
Moved 3510.171 335.6034 698.3966 -0.05647356 0.798345
Moved 3510.201 335 699.5 -0.05787035 0.8011829
Moved 3510.232 333.8102 699 -0.06062443 0.7998971
Stationary 3510.263 334 699 -0.06018519 0.7998971
Ended 3510.293 334 699 -0.06018519 0.7998971
Candidates 3510.417 13 he hr t jr key re here her ht jet r y let
Began 3510.816 261 648 -0.2291666 0.6687242
Stationary 3510.846 261 648 -0.2291666 0.6687242
Stationary 3510.877 261 648 -0.2291666 0.6687242
Moved 3510.908 308.6395 648 -0.11889 0.6687242
Moved 3510.939 343.0907 648 -0.03914198 0.6687242
Moved 3510.969 362.1103 636.978 0.004884898 0.6403753
Moved 3511 373.6853 634 0.03167897 0.632716
Moved 3511.031 380 631.5 0.04629632 0.6262859
Moved 3511.062 390.3691 628.6577 0.07029881 0.6189755
Ended 3511.092 395 626 0.08101851 0.6121398
Accept 3511.154 0 he
Began 3511.277 356 552 -0.009259283 0.4218106
Stationary 3511.307 356 552 -0.009259283 0.4218106
Stationary 3511.338 356 552 -0.009259283 0.4218106
Moved 3511.369 373.1477 570.1182 0.03043453 0.4684109
Moved 3511.399 390.9155 584.3562 0.07156372 0.5050313
Moved 3511.43 410.0084 604.4382 0.1157602 0.5566825
Moved 3511.461 423.2312 619.2312 0.1463685 0.5947303
Moved 3511.492 432.5657 628.421 0.1679762 0.6183665
Moved 3511.522 440.3562 636.3562 0.1860098 0.6387761
Moved 3511.553 446.1024 642.1024 0.1993112 0.6535555
Moved 3511.584 454.2733 648.8488 0.2182251 0.6709073
Moved 3511.615 460.916 656.916 0.2336018 0.6916564
Moved 3511.645 466.6759 662.5138 0.2469349 0.706054
Moved 3511.676 470.4175 666.4175 0.255596 0.7160941
Moved 3511.707 473.5 669.5 0.2627315 0.7240224
Moved 3511.737 474 671 0.2638889 0.7278805
Moved 3511.768 475 672 0.2662037 0.7304525
Stationary 3511.799 475 672 0.2662037 0.7304525
Stationary 3511.83 475 672 0.2662037 0.7304525
Moved 3511.86 436.5511 660.4133 0.1772015 0.7006515
Moved 3511.891 405.4202 650.3681 0.1051394 0.6748151
