I want to hold your hand
I want to hold your hand
FixStart
Radial

0.6 0.6
432 388.8
Began 1171.51 372 448 0.02777775 0.1543209
Moved 1171.541 386.8302 465.3773 0.06210685 0.1990157
Moved 1171.571 409.0005 491.1006 0.1134272 0.2651763
Moved 1171.602 430.2457 517.2129 0.1626058 0.3323376
Moved 1171.633 446.2964 540.0326 0.1997603 0.3910303
Moved 1171.664 463.6844 565.4212 0.2400101 0.4563302
Moved 1171.694 468.0634 572.1058 0.2501469 0.4735231
Moved 1171.725 476.7263 583.7263 0.2701998 0.5034112
Moved 1171.756 481.6107 589.4161 0.2815063 0.5180454
Moved 1171.786 486.7229 595.7229 0.2933401 0.5342666
Moved 1171.817 489.9134 599.8268 0.3007255 0.544822
Moved 1171.848 492.4742 602.4742 0.3066532 0.551631
Moved 1171.879 494.7399 604.7399 0.3118978 0.5574584
Moved 1171.909 497.2995 607.2996 0.317823 0.564042
Moved 1171.94 498.853 608 0.321419 0.5658435
Ended 1171.971 503.5525 609.1381 0.3322974 0.5687708
Candidates 1172.063 13 I go o ii iii ip gi you up iu hi u p
Began 1172.585 359 524 -0.002314796 0.3497942
Moved 1172.616 390.3354 530.8012 0.07022073 0.367287
Moved 1172.647 458.6544 553.2181 0.2283666 0.4249437
Moved 1172.678 494.7849 563.6354 0.312002 0.4517372
Moved 1172.708 510.8224 565 0.3491259 0.4552468
Moved 1172.739 517 565 0.3634259 0.4552468
Ended 1172.77 517 565 0.3634259 0.4552468
Accept 1172.831 0 I
Began 1173.139 327 499 -0.07638887 0.2854938
Stationary 1173.169 327 499 -0.07638887 0.2854938
Moved 1173.2 315.6485 512.91 -0.1026654 0.3212706
Moved 1173.231 299.1328 534.2388 -0.1408963 0.3761286
Moved 1173.261 279 552 -0.1875 0.4218106
Moved 1173.292 257.4838 567.7312 -0.237306 0.4622715
Moved 1173.323 239.5 578 -0.2789352 0.488683
Moved 1173.354 223.7314 587.1791 -0.3154366 0.5122917
Moved 1173.384 212.5 596 -0.3414352 0.5349793
Moved 1173.415 206.299 603.5515 -0.3557892 0.5544018
Moved 1173.446 201.2092 612.1862 -0.3675712 0.5766104
Moved 1173.477 198.0478 621.8568 -0.3748894 0.6014833
Moved 1173.507 194.5008 630.4976 -0.3831 0.6237078
Moved 1173.538 192.2721 634.4557 -0.388259 0.6338881
Moved 1173.569 189.7158 638.2842 -0.3941763 0.6437349
Moved 1173.599 187.1602 639.8398 -0.4000922 0.647736
Moved 1173.63 185.6298 640 -0.4036348 0.6481481
Moved 1173.661 184.7189 640 -0.4057434 0.6481481
Moved 1173.692 181.803 624.6207 -0.4124931 0.6085923
Moved 1173.722 177.2666 590.798 -0.4229941 0.5215996
Moved 1173.753 175 545.6558 -0.4282407 0.4054933
Moved 1173.784 175 484.5 -0.4282407 0.2481995
Moved 1173.815 183.545 436.7737 -0.4084606 0.1254466
Moved 1173.845 187.2374 405.5753 -0.3999134 0.04520397
Moved 1173.876 191.3311 383.8412 -0.3904373 -0.01069662
Moved 1173.907 193.4427 371.7867 -0.3855494 -0.04170084
Moved 1173.938 195 366.0316 -0.3819444 -0.0565032
Moved 1173.968 197.5283 363.4717 -0.3760919 -0.06308724
Moved 1173.999 201.1527 360.9236 -0.3677021 -0.06964083
Moved 1174.03 209.279 358.6802 -0.3488911 -0.07541099
Moved 1174.06 230.8072 357 -0.2990574 -0.07973259
Moved 1174.091 254.7988 357 -0.2435213 -0.07973259
Moved 1174.122 279.5097 355 -0.1863201 -0.08487654
Moved 1174.153 303.0967 353.8253 -0.1317205 -0.087898
Moved 1174.183 331.6763 354 -0.06556407 -0.08744855
Moved 1174.214 355.4419 352.7287 -0.01055111 -0.09071844
Moved 1174.245 375.5849 348.3538 0.03607621 -0.1019708
Moved 1174.276 391.6526 342.7552 0.07327001 -0.1163703
Moved 1174.306 407.8252 335.0874 0.1107066 -0.1360922
