the punishment should fit the crime
the punishment should fit the crime
FixStart
Radial

0.6 0.6
432 388.8
Began 2641.572 265 270 -0.2199074 -0.303498
Stationary 2641.603 265 270 -0.2199074 -0.303498
Stationary 2641.634 265 270 -0.2199074 -0.303498
Stationary 2641.664 265 270 -0.2199074 -0.303498
Moved 2641.695 265 287.8247 -0.2199074 -0.2576525
Moved 2641.726 265 302.3371 -0.2199074 -0.2203264
Moved 2641.757 255.591 318.8179 -0.2416874 -0.1779375
Moved 2641.787 249 334.5 -0.2569445 -0.1376029
Moved 2641.818 245.8705 347.6477 -0.2641887 -0.1037868
Moved 2641.849 244 358.9752 -0.2685185 -0.07465228
Moved 2641.879 244 369.5933 -0.2685185 -0.04734235
Moved 2641.91 244 376.8435 -0.2685185 -0.02869476
Moved 2641.941 244 384.7415 -0.2685185 -0.008380913
Moved 2641.972 253.2263 388.1132 -0.2471613 0.000291008
Moved 2642.002 264.9411 391.9882 -0.2200436 0.01025769
Moved 2642.033 285.8977 392 -0.1715331 0.01028803
Moved 2642.064 308.4815 376.824 -0.1192557 -0.02874484
Moved 2642.094 324.7823 359.9207 -0.08152255 -0.07222038
Moved 2642.125 334.5293 343.7061 -0.05896002 -0.1139246
Moved 2642.156 341.4183 323.6176 -0.04301319 -0.1655928
Moved 2642.187 344.5929 302.85 -0.03566469 -0.2190073
Moved 2642.217 345 286.2093 -0.03472224 -0.2618074
Moved 2642.248 345 275.2123 -0.03472224 -0.2900918
Moved 2642.279 345 265.6543 -0.03472224 -0.3146752
Moved 2642.31 332.8678 256.5786 -0.06280596 -0.3380181
Moved 2642.34 324.5 251.5 -0.08217593 -0.3510802
Moved 2642.371 309.3543 250 -0.1172353 -0.3549383
Moved 2642.402 290.9571 250 -0.1598216 -0.3549383
Moved 2642.432 272.7145 261.7618 -0.2020497 -0.3246866
Moved 2642.463 254.9431 271.1754 -0.2431872 -0.300475
Moved 2642.494 237.3498 288.6502 -0.2839126 -0.2555293
Moved 2642.525 226.5708 301.7153 -0.3088638 -0.2219257
Moved 2642.555 218.9705 314.0591 -0.3264572 -0.1901773
Moved 2642.586 213.243 325.9284 -0.3397154 -0.1596491
Moved 2642.617 208.0868 338.8265 -0.351651 -0.1264751
Moved 2642.647 205.6672 350.3314 -0.3572519 -0.09688444
Moved 2642.678 203.1023 359.5909 -0.3631892 -0.0730688
Moved 2642.709 200.2669 376.132 -0.3697526 -0.03052472
Moved 2642.739 197.3967 388.8099 -0.3763966 0.002083052
Moved 2642.771 194.5315 399.8741 -0.383029 0.03054046
Moved 2642.801 192.0192 404.9615 -0.3888444 0.0436253
Moved 2642.832 190.1534 410.6931 -0.3931634 0.05836702
