a very traditional way to dress
a very traditional way to dress
FixStart
List

0.6 0.6
432 388.8
Began 1580.967 448 424 0.2037037 0.09259254
Stationary 1580.998 448 424 0.2037037 0.09259254
Moved 1581.029 425.7681 424 0.152241 0.09259254
Moved 1581.06 389.3221 424 0.06787508 0.09259254
Moved 1581.09 342.423 439.7332 -0.04068747 0.1330586
Moved 1581.121 310.4025 446.3195 -0.1148091 0.1499986
Moved 1581.152 288.1585 449 -0.1662998 0.156893
Moved 1581.183 270.8891 449 -0.2062752 0.156893
Moved 1581.213 257.1015 449 -0.238191 0.156893
Moved 1581.244 244.3941 449 -0.2676063 0.156893
Moved 1581.275 236.7658 449 -0.2852643 0.156893
Moved 1581.306 231.3058 449 -0.2979032 0.156893
Moved 1581.336 226.7795 449 -0.3083808 0.156893
Moved 1581.367 224.0296 449 -0.3147464 0.156893
Moved 1581.398 222.6674 449 -0.3178996 0.156893
Moved 1581.428 222 449 -0.3194444 0.156893
Stationary 1581.459 222 449 -0.3194444 0.156893
Stationary 1581.49 222 449 -0.3194444 0.156893
Stationary 1581.521 222 449 -0.3194444 0.156893
Stationary 1581.551 222 449 -0.3194444 0.156893
Ended 1581.582 222 449 -0.3194444 0.156893
Candidates 1581.644 13 a as sa gas da aa ga ass aaa fda s faa fas
Began 1582.596 264 487 -0.2222222 0.2546296
Stationary 1582.627 264 487 -0.2222222 0.2546296
Moved 1582.658 264 465.2332 -0.2222222 0.1986449
Moved 1582.689 264 445.9978 -0.2222222 0.1491712
Moved 1582.719 255.2341 426.8195 -0.2425136 0.0998444
Moved 1582.75 251.7251 408.5377 -0.2506364 0.05282328
Moved 1582.781 247.6033 391.2232 -0.2601775 0.008290138
Moved 1582.812 244.1338 373.9365 -0.2682088 -0.03617149
Moved 1582.842 242 355.587 -0.2731481 -0.08336675
Moved 1582.873 241 341.3761 -0.275463 -0.1199174
Moved 1582.904 240 332.7886 -0.2777777 -0.1420047
Moved 1582.935 240 327.3114 -0.2777777 -0.1560921
Moved 1582.965 238.7847 322.5695 -0.2805909 -0.1682884
Moved 1582.996 239 320.0392 -0.2800926 -0.1747962
Moved 1583.027 238 318.2935 -0.2824074 -0.1792863
Moved 1583.057 236.8685 318 -0.2850265 -0.1800412
