what goes up must come down
what goes up must come down
Basic
List

0.6 0.6
432 388.8
Moved 1435.302 399.4749 538.1002 0.09137719 0.38606
Moved 1435.333 396.6008 549.1978 0.08472403 0.4146033
Moved 1435.363 393.7258 558.8226 0.07806896 0.4393583
Moved 1435.394 391.1934 565.6132 0.07220695 0.456824
Moved 1435.425 386.632 573.0519 0.06164829 0.4759565
Moved 1435.455 381.8837 580.1163 0.0506566 0.4941263
Moved 1435.486 377.9114 584.0443 0.04146159 0.5042291
Moved 1435.517 374.0637 588.8726 0.03255486 0.5166475
Moved 1435.548 370.1834 591.8166 0.02357274 0.5242195
Moved 1435.578 366.624 593.688 0.01533329 0.5290329
Moved 1435.609 363.7603 595 0.008704363 0.5324073
Moved 1435.64 359.7738 597.1131 -0.0005236267 0.5378423
Moved 1435.67 356.0316 598 -0.009186168 0.5401233
Moved 1435.701 349.5 599.5 -0.02430553 0.5439814
Moved 1435.732 343.2565 599 -0.03875817 0.5426954
Moved 1435.763 336.2235 599 -0.05503824 0.5426954
Moved 1435.793 329.7358 599 -0.07005602 0.5426954
Moved 1435.824 322.8883 599 -0.08590663 0.5426954
Moved 1435.855 317.8415 599 -0.09758914 0.5426954
Moved 1435.885 314.5482 599 -0.1052126 0.5426954
Expand 1435.885
Moved 1435.916 312.5 599 -0.1099537 0.5426954
Moved 1435.947 311.8205 599 -0.1115266 0.5426954
Moved 1435.978 310 593.8417 -0.1157407 0.5294282
Moved 1436.008 308.6942 592 -0.1187634 0.5246913
Stationary 1436.039 308.6942 592 -0.1187634 0.5246913
Moved 1436.07 307.8608 592 -0.1206927 0.5246913
Stationary 1436.1 307.8608 592 -0.1206927 0.5246913
Stationary 1436.131 308 592 -0.1203704 0.5246913
Ended 1436.162 320 592 -0.09259259 0.5246913
Accept 1436.223 1 goes
Began 1437.544 432 514 0.1666667 0.324074
Stationary 1437.575 432 514 0.1666667 0.324074
Stationary 1437.605 432 514 0.1666667 0.324074
Stationary 1437.636 432 514 0.1666667 0.324074
Moved 1437.667 449.1566 514 0.2063811 0.324074
Moved 1437.697 470.0039 514 0.2546387 0.324074
Moved 1437.728 492.2677 521.6097 0.3061752 0.3436462
Moved 1437.759 509.2307 524.1758 0.3454414 0.3502463
Moved 1437.79 530.4782 528.1196 0.3946255 0.3603898
Moved 1437.82 546.6035 530.9207 0.4319526 0.3675943
Moved 1437.851 558 533.5 0.4583333 0.3742283
Moved 1437.882 568.0233 535.3411 0.4815355 0.3789637
Moved 1437.912 572.2117 536 0.4912307 0.3806583
Moved 1437.943 576.0781 536 0.5001808 0.3806583
Moved 1437.974 578.5804 537 0.5059733 0.3832304
Moved 1438.005 580 537 0.5092593 0.3832304
Ended 1438.035 582 537 0.513889 0.3832304
Candidates 1438.097 13 up ip o iop i pop top to yup p po tip pip
Began 1439.417 482 267 0.2824074 -0.311214
Stationary 1439.448 482 267 0.2824074 -0.311214
Stationary 1439.479 482 267 0.2824074 -0.311214
Stationary 1439.509 482 267 0.2824074 -0.311214
Stationary 1439.54 482 267 0.2824074 -0.311214
Moved 1439.571 468.4333 284.278 0.2510029 -0.2667749
Moved 1439.602 462.1524 297.6951 0.2364639 -0.2322657
Moved 1439.632 451.2585 319.9774 0.2112465 -0.1749553
Moved 1439.663 438.3521 349.2959 0.1813705 -0.09954766
Moved 1439.694 426.0261 375.9348 0.1528381 -0.03103186
Moved 1439.724 419.2874 392.4252 0.1372394 0.01138153
Moved 1439.755 413.1251 406.7498 0.1229747 0.04822476
Moved 1439.786 409.6855 421.887 0.1150127 0.08715786
Moved 1439.817 406.1118 434.5526 0.1067404 0.119734
Moved 1439.847 403.2674 447.6628 0.1001561 0.1534538
Moved 1439.878 401 457.7952 0.09490739 0.1795143
Moved 1439.909 400 467.4029 0.09259263 0.2042254
Moved 1439.939 399 479.8801 0.09027779 0.2363169
Moved 1439.97 398.1559 489.6882 0.08832385 0.2615437
Moved 1440.001 398 496.4443 0.08796295 0.2789205
Moved 1440.031 397 502 0.0856481 0.2932098
Moved 1440.062 397 504.1447 0.0856481 0.298726
Moved 1440.093 396 507.0195 0.08333336 0.3061199
