the bathroom is good for reading
the bathroom is good for reading
Basic
Radial

0.6 0.6
432 388.8
Began 1222.953 396 533 0.08333336 0.3729423
Stationary 1222.984 396 533 0.08333336 0.3729423
Stationary 1223.015 396 533 0.08333336 0.3729423
Stationary 1223.046 396 533 0.08333336 0.3729423
Stationary 1223.076 396 533 0.08333336 0.3729423
Stationary 1223.107 396 533 0.08333336 0.3729423
Stationary 1223.138 396 533 0.08333336 0.3729423
Stationary 1223.168 396 533 0.08333336 0.3729423
Stationary 1223.199 396 533 0.08333336 0.3729423
Stationary 1223.23 396 533 0.08333336 0.3729423
Stationary 1223.26 396 533 0.08333336 0.3729423
Stationary 1223.291 396 533 0.08333336 0.3729423
Stationary 1223.322 396 533 0.08333336 0.3729423
Stationary 1223.353 396 533 0.08333336 0.3729423
Stationary 1223.383 396 533 0.08333336 0.3729423
Stationary 1223.414 396 533 0.08333336 0.3729423
Moved 1223.445 396 512.9384 0.08333336 0.3213434
Moved 1223.476 405.5769 484.0433 0.1055021 0.247025
Moved 1223.506 414.1795 455.4614 0.1254155 0.1735118
Moved 1223.537 420.1849 437.6302 0.1393168 0.1276497
Moved 1223.568 424.9309 426.1382 0.1503029 0.09809207
Moved 1223.598 427.3428 417.9715 0.1558862 0.0770871
Moved 1223.629 429.9144 414.0856 0.1618389 0.06709255
Moved 1223.66 430.7863 409.4275 0.163857 0.05511177
Moved 1223.691 431.6501 407.3499 0.1658566 0.04976825
Moved 1223.721 432 404.8636 0.1666667 0.04337358
Moved 1223.752 432 402.942 0.1666667 0.03843103
Moved 1223.783 432 401.6266 0.1666667 0.03504777
Moved 1223.813 432 401 0.1666667 0.03343609
Moved 1223.844 432 399.9102 0.1666667 0.03063308
Stationary 1223.875 432 400 0.1666667 0.03086416
Moved 1223.906 424.8277 400 0.150064 0.03086416
Moved 1223.936 411.5157 405.5748 0.1192494 0.04520271
Moved 1223.967 391.7318 418.8676 0.07345329 0.07939181
Moved 1223.998 374.6007 433.0566 0.03379782 0.1158861
Moved 1224.028 358.9592 453.249 -0.002409319 0.1678215
Moved 1224.059 345.6083 466.3917 -0.03331413 0.2016247
Moved 1224.09 332.5786 478.4214 -0.06347537 0.2325652
Moved 1224.121 322.1047 490.3691 -0.0877206 0.2632951
Moved 1224.151 307.263 507.737 -0.1220764 0.3079655
Moved 1224.182 297.2684 518.7316 -0.145212 0.3362438
Moved 1224.213 291.4277 522.7861 -0.1587323 0.3466721
Moved 1224.244 287.3412 525.6588 -0.1681917 0.3540606
Moved 1224.274 283.854 527 -0.176264 0.3575102
Moved 1224.305 280.9359 529.0641 -0.1830187 0.3628191
Moved 1224.336 278.5 530.5 -0.1886574 0.3665122
Moved 1224.366 276.1792 531.8207 -0.1940296 0.3699093
Moved 1224.397 273.6843 533 -0.1998049 0.3729423
Moved 1224.428 271.9113 535.0887 -0.2039091 0.3783146
Moved 1224.459 271 536.0524 -0.2060186 0.3807932
Moved 1224.489 269.6266 536 -0.2091978 0.3806583
Moved 1224.52 270 537 -0.2083333 0.3832304
Ended 1224.551 270 538.3766 -0.2083333 0.3867711
