the union will go on strike
the union will go on strike
FixStart
List

0.6 0.6
432 388.8
Moved 3587.916 210.0662 467.9338 -0.3470691 0.2055911
Moved 3587.946 197.7248 477.2752 -0.375637 0.2296172
Moved 3587.977 191.9866 482.5201 -0.3889199 0.2431073
Moved 3588.008 189 488.2632 -0.3958333 0.2578784
Moved 3588.039 188 492.0287 -0.3981482 0.2675635
Moved 3588.069 188 493.41 -0.3981482 0.2711163
Moved 3588.1 188 498.5466 -0.3981482 0.2843275
Moved 3588.131 203.3993 504.5139 -0.3625016 0.2996757
Moved 3588.161 247.6461 517.9116 -0.2600784 0.3341346
Moved 3588.192 318.3406 526.1232 -0.09643385 0.355255
Moved 3588.223 340.2126 526.6516 -0.04580413 0.3566139
Moved 3588.254 361.074 527 0.002486209 0.3575102
Moved 3588.284 380.3392 527 0.04708151 0.3575102
Moved 3588.315 397.9707 527 0.0878951 0.3575102
Moved 3588.346 408.8061 517.7985 0.1129771 0.3338437
Moved 3588.376 418.0968 512.9354 0.1344834 0.3213359
Moved 3588.407 429.1986 507.4007 0.1601819 0.3071004
Moved 3588.438 442.7996 498.3202 0.1916658 0.2837453
Moved 3588.469 452.9651 490.0349 0.215197 0.2624354
Moved 3588.499 470.3158 469.1654 0.2553606 0.2087587
Moved 3588.53 490.567 444.9235 0.3022384 0.146408
Moved 3588.561 508.6898 419.4652 0.3441895 0.080929
Moved 3588.591 518.3676 404.2854 0.3665915 0.0418862
Moved 3588.622 529.7305 389.8369 0.3928946 0.004724534
Moved 3588.653 539.5831 377.2225 0.4157015 -0.0277199
Moved 3588.684 545.459 369.8114 0.4293033 -0.04678145
Moved 3588.714 552.235 360.3534 0.4449884 -0.0711076
Moved 3588.745 569.064 342.936 0.4839443 -0.1159053
Moved 3588.776 575.8819 334.1181 0.4997267 -0.1385851
Moved 3588.806 579.2716 330.7284 0.5075732 -0.1473036
Moved 3588.837 580.5 328.5 0.5104166 -0.1530351
Ended 3588.868 580.5 328.5 0.5104166 -0.1530351
Accept 3588.96 0 union
Candidates 3588.96 13 will wool still roll well feel grill tool till fell toll el full
Began 3589.851 342 425 -0.04166668 0.09516452
Stationary 3589.882 342 425 -0.04166668 0.09516452
Stationary 3589.912 342 425 -0.04166668 0.09516452
