the facts get in the way
the facts get in the way
Basic
List

0.6 0.6
432 388.8
Began 514.8174 340 483 -0.04629632 0.2443414
Stationary 514.8481 340 483 -0.04629632 0.2443414
Stationary 514.8788 340 483 -0.04629632 0.2443414
Stationary 514.9095 340 483 -0.04629632 0.2443414
Stationary 514.9403 340 483 -0.04629632 0.2443414
Moved 514.971 340 460.444 -0.04629632 0.186327
Moved 515.0017 354.3557 441.3848 -0.01306549 0.1373065
Moved 515.0324 364.6217 419.342 0.01069844 0.08061197
Moved 515.0632 371.912 405.1761 0.027574 0.04417714
Moved 515.0939 377.7951 391.4097 0.04119247 0.008769801
Moved 515.1246 385.3112 370.7549 0.05859087 -0.04435464
Moved 515.1553 392.654 353.8649 0.07558803 -0.08779596
Moved 515.1861 396.2892 345.1325 0.08400271 -0.1102559
Moved 515.2168 398 339.9537 0.08796295 -0.1235759
Moved 515.2475 399.8017 337.1983 0.09213357 -0.1306629
Moved 515.2782 400 334.5 0.09259263 -0.1376029
Moved 515.309 400 332.0039 0.09259263 -0.144023
Moved 515.3397 366.6658 338.6434 0.01543005 -0.1269461
Moved 515.3704 328.0764 363.9363 -0.07389719 -0.06189213
Moved 515.4011 297.9463 390.1397 -0.1436429 0.005503289
Moved 515.4318 274.8771 411.4825 -0.1970437 0.06039741
Moved 515.4625 259.0603 428.3276 -0.2336567 0.1037233
Moved 515.4932 244.347 442.653 -0.2677153 0.1405684
Moved 515.5239 226.238 462.7025 -0.3096342 0.192136
Ended 515.5547 222 470 -0.3194444 0.2109053
Candidates 515.6775 13 the that under what there ended tennessee rubber hs these tube over f
Began 516.937 321 375 -0.09027779 -0.03343629
Stationary 516.9677 321 375 -0.09027779 -0.03343629
Stationary 516.9984 321 375 -0.09027779 -0.03343629
Moved 517.0291 304.1081 370.4594 -0.1293794 -0.04511476
Moved 517.0598 276.1759 361.7803 -0.1940372 -0.06743757
Moved 517.0906 227.7751 352.5961 -0.3060761 -0.09105965
Moved 517.1213 184.3616 349.4468 -0.4065702 -0.09915952
Moved 517.152 153.9194 346.692 -0.4770383 -0.106245
Moved 517.1827 139.9288 347 -0.509424 -0.1054527
Moved 517.2134 131.9721 346.486 -0.5278424 -0.1067747
Moved 517.2441 127.7399 346 -0.5376391 -0.1080248
Moved 517.2749 127 340.9106 -0.5393518 -0.1211147
Moved 517.3056 144.1991 311.5158 -0.4995391 -0.1967187
Moved 517.3363 166.927 276.0024 -0.4469281 -0.2880597
Moved 517.367 185.8105 240.3474 -0.4032164 -0.3797649
Moved 517.3978 198.0629 212.0771 -0.3748545 -0.4524765
Moved 517.4285 206.3866 191.2267 -0.3555865 -0.5061042
Moved 517.4592 215.6798 177.4269 -0.3340745 -0.5415975
Moved 517.4899 222.978 169.022 -0.3171805 -0.5632151
Moved 517.5206 230.4391 165.8903 -0.2999095 -0.5712699
Moved 517.5513 250.7281 183.4456 -0.2529441 -0.5261174
Moved 517.582 273.3152 219.3975 -0.2006592 -0.4336485
