what goes up must come down
what goes up must come down
Basic
Radial

0.6 0.6
432 388.8
Began 1434.227 238 475 -0.2824074 0.2237653
Stationary 1434.257 238 475 -0.2824074 0.2237653
Stationary 1434.288 238 475 -0.2824074 0.2237653
Moved 1434.319 272.7176 450.2054 -0.2020427 0.1599932
Moved 1434.349 301.854 428.4005 -0.1345972 0.1039106
Moved 1434.38 320.1708 407.8292 -0.09219721 0.05100101
Moved 1434.411 336.6803 391.2557 -0.05398069 0.008373692
Moved 1434.442 352.5 378.5 -0.0173611 -0.02443423
Moved 1434.472 366.5718 364.5236 0.0152125 -0.06038187
Moved 1434.503 382.3238 352.4057 0.05167554 -0.0915492
Moved 1434.534 392.8801 343.7466 0.07611135 -0.1138206
Moved 1434.565 400.2159 338.856 0.09309242 -0.1263992
Moved 1434.595 406.5384 336.1539 0.1077277 -0.1333491
Moved 1434.626 410.6154 334.3846 0.1171653 -0.1378998
Moved 1434.657 413.3785 334 0.1235613 -0.1388889
Moved 1434.688 414.3091 332.6909 0.1257156 -0.1422561
Moved 1434.718 415 333 0.1273148 -0.141461
Stationary 1434.749 415 333 0.1273148 -0.141461
Moved 1434.78 399.383 343.8815 0.09116431 -0.1134737
Moved 1434.81 374.2822 353.9059 0.03306061 -0.08769047
Moved 1434.841 342.6872 363.4626 -0.04007593 -0.06311071
Moved 1434.872 309.2073 369.9539 -0.1175757 -0.04641489
Moved 1434.903 285.5 374.5 -0.1724537 -0.03472222
Moved 1434.933 260.4733 376 -0.230386 -0.03086435
Moved 1434.964 239.3841 378 -0.2792034 -0.02572024
Moved 1434.995 221.1248 379 -0.3214704 -0.02314815
Moved 1435.026 208.5908 380 -0.3504843 -0.02057613
Moved 1435.056 198.399 380 -0.3740765 -0.02057613
Moved 1435.087 191.3723 381 -0.390342 -0.01800419
Moved 1435.118 187.62 382 -0.3990277 -0.01543218
Moved 1435.148 185.1565 383 -0.4047303 -0.01286016
Moved 1435.179 185 384.5974 -0.4050926 -0.00875159
Moved 1435.21 185 388.694 -0.4050926 0.001785019
Moved 1435.241 199.6853 402.5711 -0.3710988 0.03747708
Moved 1435.271 233.102 425.9415 -0.2937453 0.09758599
Moved 1435.302 281.492 458.6614 -0.1817314 0.1817422
Moved 1435.333 315.6691 481.4633 -0.1026177 0.2403889
Moved 1435.364 337.7403 497.9626 -0.05152708 0.2828256
Moved 1435.394 354.0552 509.8441 -0.01376117 0.313385
Moved 1435.425 367.9037 518.9037 0.01829565 0.3366864
Moved 1435.456 377.1897 524.7299 0.03979087 0.3516713
Moved 1435.486 382.2698 528.1349 0.05155056 0.3604293
