where did you get that tie
where did you get that tie
Basic
Radial

0.6 0.6
432 388.8
Began 1977.798 247 513 -0.2615741 0.321502
Stationary 1977.829 247 513 -0.2615741 0.321502
Moved 1977.859 269.6442 482.3953 -0.2091569 0.242786
Moved 1977.89 313.1177 444.2041 -0.1085238 0.1445578
Moved 1977.921 374.4949 396.754 0.03355305 0.02251531
Moved 1977.952 410.5898 363.1708 0.1171061 -0.06386101
Moved 1977.982 432.7168 342.2832 0.1683259 -0.1175844
Moved 1978.013 449.9573 328.4591 0.2082344 -0.1531402
Moved 1978.044 463.3118 318.6129 0.2391477 -0.1784648
Moved 1978.074 466 314.6717 0.2453704 -0.1886016
Moved 1978.105 466 314 0.2453704 -0.1903292
Moved 1978.136 438.8327 314 0.1824832 -0.1903292
Moved 1978.167 385.1668 343.1458 0.05825659 -0.1153659
Moved 1978.197 331.5168 377.6383 -0.06593342 -0.02665045
Moved 1978.228 298.5336 401.0798 -0.1422834 0.03364151
Moved 1978.259 276.0713 416.3304 -0.1942795 0.07286633
Moved 1978.29 261.6204 427.6497 -0.2277306 0.1019795
Moved 1978.32 252.7969 436.8047 -0.2481554 0.1255264
Moved 1978.351 248.8693 443.392 -0.2572469 0.1424691
Moved 1978.382 248 453.1009 -0.2592593 0.1674405
Moved 1978.412 248 462.6993 -0.2592593 0.1921277
Moved 1978.443 261.8333 474.0667 -0.2272376 0.2213648
Moved 1978.474 279.6917 486.7944 -0.1858989 0.2541009
Moved 1978.505 309.0573 499.8572 -0.1179229 0.2876986
Moved 1978.535 331.3448 508.1293 -0.06633138 0.3089746
Moved 1978.566 346.6505 512.6627 -0.03090153 0.3206343
Moved 1978.597 358.6519 516.413 -0.003120552 0.3302802
Moved 1978.628 364.2805 518.2806 0.009908677 0.3350837
Moved 1978.658 367 520.5 0.01620372 0.3407921
Stationary 1978.689 367 520.5 0.01620372 0.3407921
Moved 1978.72 367 520 0.01620372 0.3395061
Moved 1978.75 341.5108 520 -0.04279906 0.3395061
Ended 1978.781 332 507 -0.06481484 0.3060699
Candidates 1978.873 13 what the enter entry emmett energy they ebay every that where summary sunday
Began 1979.826 378 469 0.04166663 0.2083333
Ended 1979.857 378 469 0.04166663 0.2083333
NextCandidatePanel 1979.917
Began 1980.594 391 464 0.07175922 0.1954732
Stationary 1980.625 391 464 0.07175922 0.1954732
Ended 1980.656 391 464 0.07175922 0.1954732
NextCandidatePanel 1980.717
Began 1981.516 414 410 0.125 0.05658428
Stationary 1981.547 414 410 0.125 0.05658428
Stationary 1981.578 414 410 0.125 0.05658428
Moved 1981.608 377.0671 449.5771 0.03950725 0.1583773
Moved 1981.639 361.5013 479.2972 0.00347515 0.234818
Moved 1981.67 351.2203 498.2996 -0.02032344 0.2836922
Moved 1981.7 348.8735 506.253 -0.02575576 0.3041485
Moved 1981.731 348 508.9952 -0.0277778 0.3112015
Ended 1981.762 346.9174 510.0826 -0.03028388 0.3139984
Accept 1981.823 10 where
Began 1982.223 252 388 -0.25 -3.924585E-08
Stationary 1982.254 252 388 -0.25 -3.924585E-08
Moved 1982.284 263.5557 400.9631 -0.2232508 0.03334112
Moved 1982.315 296.9358 427.5486 -0.1459821 0.1017197
Moved 1982.346 374.5308 483.0205 0.03363599 0.2443943
Moved 1982.376 422.7607 515.622 0.1452795 0.3282458
Moved 1982.407 456.2726 536.1818 0.2228533 0.3811258
Moved 1982.438 478.5 550 0.2743055 0.4166666
Moved 1982.469 487.345 554.23 0.29478 0.4275461
Moved 1982.499 491.9808 555.9808 0.3055111 0.4320492
Moved 1982.53 493.4097 556 0.3088187 0.4320986
Moved 1982.561 493 557 0.3078704 0.4346707
Moved 1982.592 450.6313 539.0583 0.2097946 0.3885244
Moved 1982.622 396.8874 505.6657 0.08538742 0.3026381
Moved 1982.653 349.3722 472.2846 -0.02460142 0.2167813
Moved 1982.684 318.0034 446.6389 -0.09721433 0.1508201
Moved 1982.714 289.6671 424.0837 -0.1628076 0.09280773
Moved 1982.745 270.2554 405.2554 -0.2077421 0.04438098
Moved 1982.776 254.916 390.7851 -0.24325 0.00716331
Ended 1982.807 250.5 387 -0.2534722 -0.002572055
Candidates 1982.899 13 did suits does asia sites supports sports aids sits stores this aid supported
Began 1983.575 319 414 -0.09490739 0.06687239
Stationary 1983.606 319 414 -0.09490739 0.06687239
Moved 1983.636 341.3466 414 -0.04317924 0.06687239
Moved 1983.667 372.9165 414 0.02989928 0.06687239
Moved 1983.698 400.5869 414 0.09395123 0.06687239
Moved 1983.729 421.7378 421 0.1429117 0.08487643
Moved 1983.759 430.6434 422 0.1635264 0.08744851
Ended 1983.79 433.5077 422 0.1701567 0.08744851
Accept 1983.882 0 did
Began 1984.097 349 554 -0.02546296 0.4269547
Stationary 1984.128 349 554 -0.02546296 0.4269547
Moved 1984.159 373.4602 554 0.03115783 0.4269547
Moved 1984.189 407.3716 554 0.1096564 0.4269547
Moved 1984.22 461.6176 554 0.2352259 0.4269547
Moved 1984.251 504.4915 545.0726 0.3344711 0.4039933
Moved 1984.282 534.9052 540.1564 0.404873 0.3913487
Moved 1984.313 552.8482 537.5931 0.4464079 0.384756
Moved 1984.343 561.567 536 0.4665903 0.3806583
Moved 1984.374 565.1404 535 0.4748619 0.3780863
Stationary 1984.405 565.1404 535 0.4748619 0.3780863
Moved 1984.435 558.1366 535 0.4586495 0.3780863
Moved 1984.466 523.225 546.7958 0.3778357 0.4084255
Moved 1984.497 491.0352 548 0.3033224 0.4115225
Moved 1984.527 460.0498 548 0.2315967 0.4115225
Moved 1984.558 428.6185 542.8948 0.1588392 0.3983919
Moved 1984.589 405.4482 535.9852 0.1052043 0.3806204
Moved 1984.62 390.4565 531.2283 0.07050107 0.3683854
Ended 1984.65 385.1091 530.6218 0.05812287 0.3668256
Candidates 1984.743 13 you toy i root your tour roy report to u output error utility
Began 1985.419 340 415 -0.04629632 0.06944436
Stationary 1985.449 340 415 -0.04629632 0.06944436
Moved 1985.48 367.4137 415 0.01716127 0.06944436
Moved 1985.511 401.6491 415 0.09641001 0.06944436
Moved 1985.542 426.9147 408.0663 0.1548952 0.05161085
Moved 1985.572 445.2892 403.2844 0.1974286 0.03931163
Moved 1985.603 458.173 400.2756 0.2272525 0.03157309
Moved 1985.634 466.5 400 0.2465278 0.03086416
Ended 1985.665 471.5011 399 0.2581045 0.02829214
Accept 1985.726 0 you
Began 1986.371 354 368 -0.01388888 -0.05144041
Moved 1986.402 348.5943 371.784 -0.02640218 -0.04170798
Moved 1986.433 327.5421 389.4579 -0.07513393 0.003749667
Moved 1986.464 302.4394 407.6958 -0.1332422 0.05065788
Moved 1986.494 273.5988 429.9341 -0.2000029 0.1078553
Moved 1986.525 250.5406 450.4594 -0.2533782 0.1606464
Moved 1986.556 233.5 462.5 -0.2928241 0.1916151
Moved 1986.586 223.8432 467.0523 -0.3151779 0.2033238
Moved 1986.617 216.1555 470.9222 -0.3329734 0.2132773
Moved 1986.648 211.4252 472.7874 -0.3439231 0.2180744
Moved 1986.679 208.5 473 -0.3506944 0.2186213
Moved 1986.709 208 476.2062 -0.3518518 0.2268678
Moved 1986.74 208 481.148 -0.3518518 0.2395781
Moved 1986.771 235.3241 494.6313 -0.2886015 0.2742575
Moved 1986.802 260.3862 504.3545 -0.2305876 0.2992655
Moved 1986.832 292.8875 513.6417 -0.1553529 0.3231523
Moved 1986.863 310.9706 517.1942 -0.1134939 0.3322894
Moved 1986.894 324.3219 521.0644 -0.08258824 0.3422437
Moved 1986.924 342.1262 526.2816 -0.04137446 0.3556623
Ended 1986.955 345 527 -0.03472224 0.3575102
Candidates 1987.047 13 get feet are set ferry harry see fee fewer very gary deer art
Began 1987.724 300 448 -0.1388889 0.1543209
Stationary 1987.754 300 448 -0.1388889 0.1543209
Moved 1987.785 311.3703 448 -0.1125687 0.1543209
Moved 1987.816 333.727 448 -0.0608171 0.1543209
Moved 1987.846 355.0866 448 -0.01137361 0.1543209
Moved 1987.877 372.7345 448 0.02947797 0.1543209
Moved 1987.908 383.0597 448 0.05337894 0.1543209
Moved 1987.939 388.7848 448 0.06663144 0.1543209
Ended 1987.969 391 448 0.07175922 0.1543209
Accept 1988.031 0 get
Began 1988.215 333 503 -0.06249999 0.2957818
Stationary 1988.246 333 503 -0.06249999 0.2957818
Stationary 1988.277 333 503 -0.06249999 0.2957818
Stationary 1988.307 333 503 -0.06249999 0.2957818
Stationary 1988.338 333 503 -0.06249999 0.2957818
Moved 1988.369 352 488.5 -0.01851852 0.2584876
Moved 1988.4 375.2534 460.9332 0.0353088 0.1875854
Moved 1988.43 391.8542 434.8214 0.07373651 0.1204253
Moved 1988.461 402.3627 410.6996 0.09806176 0.05838363
Moved 1988.492 411.8821 390.2358 0.1200974 0.005750538
Moved 1988.522 418.8058 377.3885 0.1361244 -0.02729298
Moved 1988.553 419.9796 371.0409 0.1388416 -0.04361926
Moved 1988.584 420 366.5 0.1388889 -0.05529835
Moved 1988.615 420 367 0.1388889 -0.05401234
Moved 1988.645 388.3842 386.0388 0.06570408 -0.005044269
Moved 1988.676 357.2943 402.7462 -0.006263107 0.03792743
