why do you ask silly questions
why do you ask silly questions
Basic
Radial

0.6 0.6
432 388.8
Moved 1627.897 436.4815 483.2169 0.1770405 0.2448994
Moved 1627.928 455.7414 482 0.2216235 0.2417695
Moved 1627.959 474.2093 482 0.2643734 0.2417695
Moved 1627.99 487.4525 482 0.295029 0.2417695
Moved 1628.02 500.1453 482 0.3244105 0.2417695
Moved 1628.051 513.7155 490.1431 0.3558229 0.2627137
Moved 1628.082 526.0513 493.3504 0.384378 0.2709629
Moved 1628.112 540.9466 497.3244 0.4188578 0.2811841
Moved 1628.143 551.3331 502.1666 0.4429008 0.2936381
Moved 1628.174 561.3773 505.8443 0.4661511 0.3030974
Moved 1628.205 569.6634 508.2211 0.4853319 0.3092106
Moved 1628.235 580.1753 512.0584 0.509665 0.3190802
Moved 1628.266 587.6391 515.8195 0.5269423 0.3287538
Moved 1628.297 591.5815 519.5815 0.5360683 0.3384297
Moved 1628.328 593 524.0057 0.5393519 0.3498089
Moved 1628.358 587.6581 531.2894 0.5269864 0.3685425
Moved 1628.389 566 542 0.4768519 0.3960905
Moved 1628.42 538.8268 547.577 0.413951 0.4104345
Moved 1628.45 500.542 549 0.3253286 0.4140946
Moved 1628.481 461.6588 549 0.2353212 0.4140946
Moved 1628.512 433.5127 540.0654 0.1701682 0.3911147
Moved 1628.543 417.4504 538.2072 0.1329871 0.3863353
Ended 1628.573 409.5074 538 0.1146005 0.3858024
Candidates 1628.696 13 you i toy got hot joy o to for your not root utility
Began 1629.679 369 373 0.02083332 -0.03858032
Moved 1629.71 382.0571 373 0.05105803 -0.03858032
Moved 1629.741 482.9767 348.9515 0.2846683 -0.1004334
Moved 1629.772 556.8963 323.6159 0.4557784 -0.1655969
Ended 1629.802 568.4789 318.8004 0.4825901 -0.1779825
Accept 1629.864 0 you
Began 1630.601 123 422 -0.548611 0.08744851
Moved 1630.632 134.3786 422 -0.5222717 0.08744851
Moved 1630.663 158.5188 422 -0.4663916 0.08744851
Moved 1630.693 190.6794 422 -0.3919459 0.08744851
Moved 1630.724 226.0598 422 -0.3100467 0.08744851
Moved 1630.755 262.1744 422 -0.2264481 0.08744851
Moved 1630.785 289 422 -0.1643519 0.08744851
Moved 1630.816 314.9334 422 -0.1043209 0.08744851
Moved 1630.847 339.417 422 -0.04764587 0.08744851
Moved 1630.878 361.2941 422 0.002995531 0.08744851
Moved 1630.908 382.5773 422 0.05226225 0.08744851
Moved 1630.939 400.3309 422 0.09335856 0.08744851
Moved 1630.97 417.679 422 0.1335162 0.08744851
Moved 1631 429.6144 422 0.1611444 0.08744851
Moved 1631.031 437.8769 422 0.1802706 0.08744851
Moved 1631.062 442.5891 422 0.1911783 0.08744851
Moved 1631.093 445.1454 422 0.1970959 0.08744851
Moved 1631.123 449.7997 422 0.2078698 0.08744851
Moved 1631.154 466.8324 426.5363 0.2472972 0.09911603
Moved 1631.185 489.4497 429 0.299652 0.1054526
Moved 1631.216 515.8869 430 0.3608493 0.1080246
Moved 1631.246 533.6984 432 0.4020795 0.1131687
Moved 1631.277 543.8611 434.287 0.4256045 0.119051
Ended 1631.308 545.5345 434 0.429478 0.1183127
Candidates 1631.4 13 all ask al ago walk wall who ap so sell awful wal feel
Began 1632.291 371 367 0.025463 -0.05401234
Moved 1632.322 397.0133 389.6367 0.08567899 0.004209432
Moved 1632.352 415.5812 405.3138 0.1286602 0.04453133
Moved 1632.383 457.5 445.5 0.2256945 0.1478908
Moved 1632.414 493.1073 476.2348 0.3081186 0.2269413
Ended 1632.445 521 500 0.3726852 0.2880658
Accept 1632.537 1 ask
Began 1633.12 169 325 -0.4421296 -0.1620371
Moved 1633.151 180.8137 329.4215 -0.4147831 -0.1506649
Moved 1633.182 209.8248 353.1229 -0.3476279 -0.0897044
Moved 1633.213 245.5121 376.7089 -0.2650183 -0.02904099
Moved 1633.243 276.6629 397.1978 -0.1929099 0.02365673
Moved 1633.274 300.0804 413.6752 -0.1387028 0.06603704
Moved 1633.305 319.3144 425.6082 -0.09417956 0.09672891
Moved 1633.336 332.5483 436.2903 -0.0635455 0.1242033
Moved 1633.366 347.3839 450.3839 -0.02920399 0.1604524
Moved 1633.397 362.2678 463.4142 0.00524948 0.1939664
Moved 1633.428 376.6771 477.6771 0.03860444 0.2306509
Moved 1633.458 389.1362 492.1634 0.06744484 0.2679099
Moved 1633.489 398.5558 504.3338 0.08924961 0.2992124
Moved 1633.52 407.0852 514.6279 0.1089936 0.3256889
Moved 1633.551 412.5919 521.5919 0.1217404 0.3436005
Moved 1633.581 417.5007 527.5007 0.1331034 0.358798
Moved 1633.612 420.5 532 0.1400463 0.3703703
Moved 1633.643 423.2728 533 0.1464647 0.3729423
Moved 1633.674 424.5 534.5 0.1493056 0.3768003
Moved 1633.704 426.4691 535 0.1538637 0.3780863
Moved 1633.735 429.4255 535 0.1607072 0.3780863
Moved 1633.766 435.9413 519.1175 0.1757899 0.3372363
Moved 1633.797 440.6984 502.2064 0.1868019 0.2937405
Moved 1633.827 449.4133 468.9336 0.2069751 0.2081625
Moved 1633.858 456.8708 440.5167 0.224238 0.1350736
Moved 1633.889 464.1447 410.4214 0.2410755 0.05766809
Moved 1633.919 473.769 382.0005 0.2633543 -0.01543092
Moved 1633.95 482.6441 362.8896 0.2838984 -0.06458439
Moved 1633.981 488.9906 344.6918 0.2985894 -0.1113895
Moved 1634.011 493.8482 327.8795 0.3098339 -0.1546311
Moved 1634.042 494 322.3428 0.3101851 -0.1688715
Moved 1634.073 494 320.7946 0.3101851 -0.1728535
Moved 1634.104 483.2286 321 0.2852514 -0.1723252
Moved 1634.134 468.9572 345.8833 0.2522157 -0.1083249
Moved 1634.165 445.7333 377.9001 0.1984566 -0.02597722
Moved 1634.196 430.5159 402.3746 0.1632313 0.0369716
Moved 1634.227 415.7662 433.5144 0.1290884 0.1170637
Moved 1634.257 405.2289 453.188 0.1046965 0.1676645
Moved 1634.288 388.6525 481.4705 0.06632517 0.2404075
Moved 1634.319 378.0223 503.9553 0.04171838 0.2982389
Moved 1634.349 368.7767 524.1877 0.02031634 0.350277
Moved 1634.38 362.3712 546.0959 0.005488992 0.4066251
Ended 1634.411 361 549 0.002314846 0.4140946
Candidates 1634.503 13 adult sony daily saint assault some sunny silly style assume supply sight fully
