what goes up must come down
what goes up must come down
FixStart
List

0.6 0.6
432 388.8
Began 2970.308 481 425 0.2800926 0.09516452
Stationary 2970.338 481 425 0.2800926 0.09516452
Moved 2970.369 463.7243 425 0.2401025 0.09516452
Moved 2970.4 438.932 438.4272 0.1827129 0.1296995
Moved 2970.43 419.1835 446.9213 0.1369989 0.1515465
Moved 2970.461 376.103 470.7382 0.03727545 0.212804
Moved 2970.492 356.6374 483.259 -0.00778382 0.2450077
Moved 2970.523 341.9198 494.2642 -0.0418523 0.273313
Moved 2970.553 334.1331 501.8669 -0.05987713 0.2928674
Moved 2970.584 329.9132 505.0434 -0.06964529 0.3010375
Moved 2970.615 328.1843 506.8157 -0.07364755 0.3055959
Moved 2970.646 327 508 -0.07638887 0.3086419
Moved 2970.676 326 509.5 -0.07870371 0.3124999
Moved 2970.707 326 510.1983 -0.07870371 0.3142959
Moved 2970.738 331.4409 513.5441 -0.06610915 0.3229014
Moved 2970.769 358.6885 517.9521 -0.003035913 0.3342388
Moved 2970.799 403.8413 519 0.1014846 0.3369341
Moved 2970.83 443.235 508.6019 0.1926735 0.3101901
Moved 2970.861 487.2155 490.5159 0.2944803 0.2636726
Moved 2970.891 510.4119 481.2941 0.3481757 0.2399537
Moved 2970.922 529.5976 471.7012 0.392587 0.2152807
Moved 2970.953 548.3872 459.0092 0.4360815 0.1826367
Moved 2970.983 560.8336 450.1248 0.4648926 0.159786
Moved 2971.014 568.1293 445.2471 0.4817808 0.1472404
Moved 2971.045 573.2463 440.8769 0.4936256 0.1360002
Moved 2971.076 575.876 438 0.4997131 0.1286007
Moved 2971.106 578.5 435.5 0.505787 0.1221707
Moved 2971.137 579.5 433.5 0.5081019 0.1170266
Moved 2971.168 579 430.3416 0.5069445 0.1089032
Moved 2971.198 547.4007 423.8001 0.4337979 0.09207843
Moved 2971.229 517.6159 420.968 0.3648516 0.08479425
Moved 2971.26 460.4873 417.6411 0.2326096 0.07623723
Moved 2971.291 444.7937 416.4358 0.1962817 0.07313724
Moved 2971.322 413.4622 412.3568 0.123755 0.06264588
Moved 2971.352 386.3988 407.8497 0.06110827 0.05105356
Moved 2971.383 357.6365 400.5372 -0.005471111 0.03224589
Moved 2971.414 338.4323 395.5521 -0.04992519 0.01942399
Moved 2971.444 322.15 392.05 -0.08761585 0.01041656
Moved 2971.475 310.8867 389.5773 -0.1136881 0.004056844
Moved 2971.506 302.5423 387.8474 -0.133004 -0.0003924978
Moved 2971.536 295.1672 388 -0.1500759 -3.924585E-08
Moved 2971.567 290 388 -0.162037 -3.924585E-08
Moved 2971.598 286.928 388 -0.1691481 -3.924585E-08
Moved 2971.629 285.1677 388 -0.1732229 -3.924585E-08
Moved 2971.659 285 392.675 -0.1736111 0.01202403
Moved 2971.69 285 408.314 -0.1736111 0.05224781
Moved 2971.721 309.1768 441.6298 -0.1176463 0.1379367
Moved 2971.751 334.2662 474.6068 -0.05956888 0.2227539
Moved 2971.782 356.3878 502.7289 -0.008361687 0.2950845
Moved 2971.813 377.2921 526.0786 0.04002799 0.3551404
Moved 2971.844 393.2043 544.7554 0.07686188 0.4031774
Moved 2971.875 404.2437 558.5546 0.102416 0.4386692
Moved 2971.905 412.1676 569.2514 0.1207583 0.4661815
Moved 2971.936 418.4755 577.4755 0.13536 0.487334
Moved 2971.967 425.5011 585.7516 0.1516229 0.5086202
Moved 2971.997 430.0201 591.0403 0.1620837 0.5222228
Moved 2972.028 433.5 593.5 0.1701389 0.5285493
Moved 2972.059 434.2471 594 0.1718682 0.5298353
Ended 2972.089 434.2471 594 0.1718682 0.5298353
Candidates 2972.212 13 what that share delay welfare sugar salary summary size relate sunday the ebay
Began 2973.748 390 414 0.06944448 0.06687239
Stationary 2973.779 390 414 0.06944448 0.06687239
Moved 2973.81 437.2531 458.8362 0.1788266 0.1821919
Moved 2973.841 477.2101 497.21 0.2713195 0.2808898
Moved 2973.871 501.8221 520.8221 0.3282917 0.3416205
Moved 2973.902 526.3297 545.3297 0.3850225 0.4046545
Moved 2973.933 545.7747 562.6456 0.4300339 0.4491912
Moved 2973.963 555.0801 571.3867 0.4515742 0.4716736
Moved 2973.994 560.7208 576.7208 0.4646315 0.4853929
Moved 2974.025 562 578.1232 0.4675925 0.4889998
Moved 2974.056 563 579 0.4699074 0.4912551
Stationary 2974.086 563 579 0.4699074 0.4912551
Moved 2974.117 539.0583 579 0.4144869 0.4912551
Moved 2974.148 511.5484 579 0.3508065 0.4912551
Moved 2974.178 475.3938 579 0.2671152 0.4912551
Moved 2974.209 442.124 567.8248 0.1901018 0.4625122
Moved 2974.24 406.9509 558.5853 0.1086826 0.4387481
Moved 2974.271 384.1199 552.8914 0.05583316 0.4241033
Moved 2974.301 369.4113 548.6823 0.0217854 0.4132773
Moved 2974.332 361.4708 546.2354 0.003404617 0.406984
Moved 2974.363 354.9388 545.4694 -0.01171584 0.4050137
Moved 2974.394 350.7025 545 -0.02152209 0.4038065
Moved 2974.424 348.206 545 -0.02730102 0.4038065
Moved 2974.455 346.5131 544.5131 -0.03121967 0.4025541
Moved 2974.486 344.873 544 -0.03501624 0.4012345
Moved 2974.516 341.95 537.9 -0.04178246 0.3855451
Moved 2974.547 337.0356 507.7045 -0.05315845 0.307882
Moved 2974.578 331.7467 462.2004 -0.06540114 0.1908447
Moved 2974.609 329 423.7993 -0.07175927 0.09207619
Moved 2974.639 327 385.0725 -0.07638887 -0.007529592
Moved 2974.67 326 369.181 -0.07870371 -0.04840278
Moved 2974.701 326 362.2565 -0.07870371 -0.06621262
Moved 2974.731 326 360.2457 -0.07870371 -0.07138468
Ended 2974.762 326 357.5 -0.07870371 -0.07844657
Accept 2974.854 0 what
Candidates 2974.854 13 is its goes press org god good if hits ford puts pets his
Began 2975.5 444 352 0.1944444 -0.09259266
Moved 2975.53 433.5014 360.3989 0.170142 -0.07099041
Moved 2975.561 414.9862 392.0276 0.1272828 0.01035898
Moved 2975.592 404 418 0.1018518 0.07716041
Moved 2975.622 399.9166 450.0012 0.09239942 0.1594681
Moved 2975.653 399 483.1352 0.09027779 0.2446892
Moved 2975.684 404.4802 508.4802 0.1029633 0.3098768
Moved 2975.715 418.1483 536.3461 0.1346026 0.3815484
Moved 2975.745 436.9674 563.5543 0.1781652 0.4515285
Moved 2975.776 452.3526 581.3526 0.2137791 0.497306
Moved 2975.807 472.5936 597.9452 0.2606332 0.5399824
Moved 2975.837 486.8097 606.4048 0.293541 0.5617408
Moved 2975.868 500.3409 613.1136 0.3248631 0.5789957
Moved 2975.899 515.9719 618.6573 0.3610461 0.5932543
Moved 2975.93 527.387 622.1935 0.3874698 0.6023494
Moved 2975.96 534.6087 623 0.4041868 0.6044238
Moved 2975.991 540.3061 624 0.4173751 0.6069958
Moved 2976.022 544.0718 624 0.4260921 0.6069958
Moved 2976.052 546.6161 625 0.4319817 0.6095678
Moved 2976.083 548.1243 625 0.435473 0.6095678
Stationary 2976.114 548 625 0.4351853 0.6095678
Moved 2976.145 548.7838 625 0.4369994 0.6095678
Stationary 2976.175 549 625 0.4375 0.6095678
Moved 2976.206 550.5 625 0.4409722 0.6095678
Expand 2976.206
Moved 2976.237 550 625 0.4398148 0.6095678
Stationary 2976.268 550 625 0.4398148 0.6095678
Ended 2976.298 550 625 0.4398148 0.6095678
Accept 2976.36 2 goes
Began 2977.25 440 383 0.1851852 -0.01286016
Moved 2977.281 440 396.5475 0.1851852 0.02198435
Moved 2977.312 447.1317 413.2403 0.2016939 0.06491833
Moved 2977.343 454.9667 442.8668 0.2198304 0.1411183
Moved 2977.373 461.3954 466.3179 0.2347115 0.2014348
Moved 2977.404 468.6715 485.2335 0.2515543 0.250086
Moved 2977.435 474.3167 500.6334 0.264622 0.2896949
Moved 2977.466 478.4187 510.256 0.2741173 0.3144445
Moved 2977.496 485.5966 517.5966 0.2907329 0.3333246
Moved 2977.527 500.128 529.5024 0.3243703 0.3639463
Moved 2977.558 518.7313 539.1705 0.3674334 0.388813
Moved 2977.588 552.7842 547.5568 0.4462598 0.4103827
Moved 2977.619 589.7338 551.5612 0.5317913 0.420682
Moved 2977.65 616.9429 552 0.5947753 0.4218106
Moved 2977.681 639.4279 552 0.6468238 0.4218106
Moved 2977.711 657.5044 548.4938 0.6886676 0.4127927
Moved 2977.742 671.1138 542.7216 0.7201707 0.3979463
Moved 2977.773 685.1845 538.9539 0.7527419 0.3882557
Moved 2977.803 690.6344 537.1828 0.7653574 0.3837005
Moved 2977.834 695.4883 536 0.7765933 0.3806583
Ended 2977.865 697 535 0.7800925 0.3780863
Began 2978.725 435 344 0.1736111 -0.1131688
Moved 2978.756 435 353.5143 0.1736111 -0.08869775
Moved 2978.787 441.5356 377.2039 0.1887399 -0.02776786
Moved 2978.817 454.5126 420.5378 0.2187791 0.08368778
Moved 2978.848 458.5081 433.6937 0.2280281 0.1175248
Moved 2978.879 465.7853 450.5707 0.2448735 0.1609327
Moved 2978.909 469.6891 461.7565 0.25391 0.1897028
Moved 2978.94 472.4596 467.9193 0.2603232 0.2055535
Moved 2978.971 474 471.8998 0.2638889 0.2157916
