I just cannot figure this out
I just cannot figure this out
FixStart
List

0.6 0.6
432 388.8
Began 1686.225 430 329 0.162037 -0.151749
Stationary 1686.256 430 329 0.162037 -0.151749
Stationary 1686.287 430 329 0.162037 -0.151749
Moved 1686.317 430 338.3894 0.162037 -0.1275993
Moved 1686.348 449.9954 358.3272 0.2083227 -0.0763189
Moved 1686.379 473.3861 387.2327 0.262468 -0.001973635
Moved 1686.41 496.5456 411.5456 0.3160778 0.06055961
Moved 1686.44 512.9276 430.6315 0.353999 0.1096489
Moved 1686.471 529.2089 449.577 0.3916871 0.158377
Moved 1686.502 540.5358 460.4019 0.417907 0.1862188
Moved 1686.533 548.6946 469.6946 0.4367932 0.2101199
Moved 1686.563 552.5812 474.5812 0.4457899 0.2226882
Moved 1686.594 555.1366 478.1366 0.451705 0.2318328
Moved 1686.625 557.9006 480.9006 0.4581033 0.2389419
Moved 1686.656 559.666 482 0.4621897 0.2417695
Ended 1686.686 561 483 0.4652777 0.2443414
Candidates 1686.778 13 I go ii o iii gi you ip up hi u iu p
Began 1687.701 424 365 0.1481481 -0.05915646
Stationary 1687.731 424 365 0.1481481 -0.05915646
Stationary 1687.762 424 365 0.1481481 -0.05915646
Stationary 1687.793 424 365 0.1481481 -0.05915646
Stationary 1687.823 424 365 0.1481481 -0.05915646
Moved 1687.854 440.3496 365 0.1859944 -0.05915646
Moved 1687.885 451.5859 358 0.2120044 -0.07716057
Moved 1687.916 467.235 358 0.2482291 -0.07716057
Moved 1687.946 493.3047 358 0.3085756 -0.07716057
Moved 1687.977 517.5827 369.1165 0.3647747 -0.04856871
Moved 1688.008 535.5554 373.6221 0.4063781 -0.03698019
Moved 1688.039 546.8489 375.7122 0.4325205 -0.03160445
Moved 1688.069 553.9508 378.4754 0.4489602 -0.02449742
Moved 1688.1 559.2328 382.2328 0.4611872 -0.01483321
Moved 1688.131 562 391.9924 0.4675925 0.0102684
Moved 1688.161 562 400.8817 0.4675925 0.03313178
Moved 1688.192 562 408.6406 0.4675925 0.05308795
Moved 1688.223 562 416.9442 0.4675925 0.07444479
Moved 1688.254 550 426 0.4398148 0.09773654
Moved 1688.284 547.6207 437.7585 0.4343072 0.1279798
Moved 1688.315 541.0926 450.7686 0.4191958 0.1614417
Moved 1688.346 532.8654 461.8461 0.4001514 0.1899333
Moved 1688.377 526.8165 469.2751 0.3861493 0.2090409
Moved 1688.407 517.4408 477.6694 0.3644462 0.230631
Moved 1688.438 506.7086 484.3166 0.3396032 0.2477278
Moved 1688.469 493.8905 489.8438 0.3099317 0.2619439
Moved 1688.5 479.9573 490.8632 0.2776789 0.2645658
Moved 1688.53 460.5997 491 0.2328698 0.2649176
Moved 1688.561 444.0161 491 0.1944816 0.2649176
Moved 1688.592 420.499 475.1661 0.140044 0.2241926
Moved 1688.623 402.0039 463.1456 0.09723118 0.1932757
Moved 1688.653 381.6107 446.9521 0.05002489 0.1516257
Moved 1688.684 365.3135 431.1991 0.01229982 0.1111087
Moved 1688.715 343.9561 407.2846 -0.03713856 0.04960033
Moved 1688.745 321.6028 381.2604 -0.0888823 -0.01733442
Moved 1688.776 303.4644 357.2349 -0.1308695 -0.07912844
Moved 1688.807 290.6119 339.0708 -0.1606206 -0.1258467
Moved 1688.838 278.8904 324.6685 -0.1877537 -0.1628898
Moved 1688.868 266.8926 309.8926 -0.2155264 -0.2008936
Moved 1688.899 260.4383 300.4383 -0.2304669 -0.2252101
Moved 1688.93 254.9247 294.4623 -0.2432298 -0.2405805
Moved 1688.961 253.0544 292.0544 -0.2475593 -0.2467738
Moved 1688.991 251.5 292 -0.2511574 -0.2469136
Moved 1689.022 252 292 -0.25 -0.2469136
Stationary 1689.053 252 292 -0.25 -0.2469136
Moved 1689.083 257.9207 301.9736 -0.2362947 -0.2212615
Moved 1689.114 271.1164 314.5397 -0.2057492 -0.1889412
Moved 1689.145 283.9012 330.0815 -0.1761545 -0.1489675
Moved 1689.176 301.517 351.8963 -0.1353772 -0.09285938
Moved 1689.206 322.4792 374.4791 -0.0868538 -0.03477591
Moved 1689.237 337.6629 393.7734 -0.05170624 0.01484918
Moved 1689.268 353.2547 412.1305 -0.01561413 0.06206403
Moved 1689.299 367.5898 430.1198 0.01756907 0.1083326
Moved 1689.329 385.5567 449.5568 0.0591591 0.158325
Moved 1689.36 397.4594 463.4594 0.08671164 0.1940827
Moved 1689.391 409.4878 478.4878 0.1145551 0.2327359
Moved 1689.422 420.3337 491.4005 0.1396613 0.2659476
Moved 1689.452 428.4935 501.3246 0.1585497 0.2914728
Moved 1689.483 435.1672 509.1672 0.1739982 0.3116439
Moved 1689.514 440.7034 514.7034 0.1868135 0.3258833
Moved 1689.545 442.7633 517.7633 0.1915817 0.3337533
Moved 1689.575 445.5 520.5 0.1979166 0.3407921
Moved 1689.606 446 522.2884 0.199074 0.3453919
Moved 1689.637 446.8017 522 0.2009298 0.3446501
Moved 1689.667 447 523 0.2013889 0.3472221
Ended 1689.698 447 523 0.2013889 0.3472221
Accept 1689.79 0 I
Candidates 1689.79 13 just pay past pray user lay first literary leader lady forecast last judy
Began 1690.405 529 442 0.3912036 0.1388888
Stationary 1690.436 529 442 0.3912036 0.1388888
Stationary 1690.467 529 442 0.3912036 0.1388888
Stationary 1690.497 529 442 0.3912036 0.1388888
Moved 1690.528 512.8787 432.9595 0.3538858 0.1156366
Moved 1690.559 504.5551 426.3701 0.3346182 0.09868829
Moved 1690.589 492.1112 416.1112 0.305813 0.07230244
Moved 1690.62 478.8404 402.8404 0.2750936 0.03816961
Moved 1690.651 467.5635 389.7513 0.2489896 0.004504247
Moved 1690.682 456.6555 376.4833 0.2237396 -0.02962128
Moved 1690.712 445.6699 358.6724 0.19831 -0.07543124
Moved 1690.743 435.6721 341.5684 0.175167 -0.1194229
Moved 1690.774 428.9135 327.2836 0.1595219 -0.1561636
Moved 1690.805 424.6922 315.7689 0.1497505 -0.1857798
Moved 1690.835 419.9297 302.7189 0.1387262 -0.2193445
Moved 1690.866 415.0381 290.5953 0.1274031 -0.2505266
Moved 1690.897 411.7489 282.2466 0.119789 -0.2719994
Moved 1690.928 408.9882 276.9882 0.1133986 -0.2855242
Moved 1690.958 407.1576 274 0.1091611 -0.2932099
Moved 1690.989 407 272.7748 0.1087963 -0.2963612
Moved 1691.02 404.0123 273 0.1018804 -0.295782
Moved 1691.051 397.7226 278.3139 0.0873208 -0.2821144
Moved 1691.081 388.4682 290.6647 0.0658986 -0.2503479
Moved 1691.112 367.4662 318.3784 0.01728286 -0.1790679
Moved 1691.143 350.7591 342.3613 -0.02139092 -0.1173834
Moved 1691.173 338.1501 360.775 -0.05057857 -0.07002332
Moved 1691.204 331.1409 374.7182 -0.06680349 -0.03416101
Moved 1691.235 325.6039 386.0941 -0.07962048 -0.0049022
Moved 1691.266 324 396.8155 -0.08333336 0.02267355
Moved 1691.296 323 404.4291 -0.08564815 0.04225597
Moved 1691.327 323 412.6309 -0.08564815 0.06335086
Moved 1691.358 323 419.8354 -0.08564815 0.08188122
Moved 1691.389 332.3629 426.3629 -0.06397466 0.09866997
Moved 1691.419 335.7021 433.1063 -0.05624517 0.116014
Moved 1691.45 339.7207 438.7206 -0.04694287 0.1304542
Moved 1691.481 343.1258 443.1258 -0.03906066 0.1417844
Moved 1691.511 348.7749 447.8875 -0.025984 0.1540315
Moved 1691.542 354.7739 450 -0.01209746 0.1594649
Moved 1691.573 368.4975 451 0.01967013 0.162037
Moved 1691.604 387.8365 445.0181 0.06443639 0.1466514
Moved 1691.635 412.1802 434.9099 0.1207876 0.1206529
Moved 1691.665 437.531 423.7586 0.1794699 0.09197168
Moved 1691.696 462.4479 408.9701 0.2371479 0.05393538
Moved 1691.727 483.3922 396.1732 0.2856302 0.02102149
Moved 1691.757 502.3047 385.683 0.3294091 -0.005959248
Moved 1691.788 517.9393 376.8486 0.3656002 -0.02868173
Moved 1691.819 532.1752 367.3686 0.3985536 -0.0530644
Moved 1691.85 543.2501 359.0624 0.42419 -0.07442795
Moved 1691.88 551.4302 349.7596 0.4431256 -0.0983549
Moved 1691.911 559.4952 340.5048 0.4617946 -0.1221586
Moved 1691.942 564.5084 332.2374 0.4733991 -0.1434225
Moved 1691.973 570.0087 323.9869 0.4861313 -0.1646428
Moved 1692.003 574.5867 315.1199 0.4967285 -0.1874488
Moved 1692.034 578.1619 307.6762 0.5050043 -0.2065942
Moved 1692.065 582.8456 301.2316 0.5158462 -0.2231698
Moved 1692.095 586.688 294.624 0.5247407 -0.2401645
Moved 1692.126 588.1311 291.8689 0.5280812 -0.2472509
Moved 1692.157 591.8934 286.1066 0.5367902 -0.2620715
Moved 1692.188 597.0336 277.9327 0.5486889 -0.2830949
