the back yard of our house
the back yard of our house
FixStart
List

0.6 0.6
432 388.8
Moved 2121.289 213.8299 390.2938 -0.3383567 0.005899672
Moved 2121.32 201 364.5 -0.3680556 -0.06044246
Moved 2121.351 191.8747 346.7495 -0.3891789 -0.1060972
Moved 2121.381 184.1813 326.725 -0.4069878 -0.1576003
Moved 2121.412 177.4561 309.9121 -0.4225554 -0.2008434
Moved 2121.443 174.787 299.148 -0.4287338 -0.2285288
Moved 2121.474 174 294.846 -0.4305556 -0.2395937
Stationary 2121.504 174 295 -0.4305556 -0.2391976
Moved 2121.535 208.463 317.9434 -0.35078 -0.180187
Moved 2121.566 271.3938 352.1969 -0.205107 -0.09208623
Moved 2121.596 318.1152 373.3871 -0.09695555 -0.03758473
Moved 2121.627 360.093 394.6496 0.0002151728 0.01710279
Moved 2121.658 377.8796 406.0663 0.04138787 0.0464667
Moved 2121.689 395.0624 420.6749 0.08116305 0.0840404
Moved 2121.719 408.9526 444.9052 0.1133162 0.1463609
Moved 2121.75 420.4096 465.8192 0.1398371 0.2001522
Moved 2121.781 432.1613 490.4625 0.1670401 0.2635351
Moved 2121.812 443.174 513.0728 0.1925325 0.3216891
Moved 2121.842 451.7724 531.5447 0.212436 0.3691993
Moved 2121.873 457.9305 546.3264 0.2266911 0.4072179
Moved 2121.904 459 551.0068 0.2291666 0.419256
Moved 2121.935 459 554.5 0.2291666 0.4282407
Moved 2121.965 459 555.1556 0.2291666 0.4299268
Stationary 2121.996 459 555 0.2291666 0.4295266
Moved 2122.027 447.4265 528.136 0.2023762 0.3604322
Moved 2122.057 429.8354 476.4828 0.161656 0.227579
Moved 2122.088 406.7226 413.8582 0.1081542 0.06650752
Moved 2122.119 390.3936 373.3364 0.07035553 -0.03771519
Moved 2122.15 382.0233 350.7209 0.05097985 -0.09588242
Moved 2122.18 377.8027 337.2108 0.04120995 -0.1306308
Moved 2122.211 374.1977 327.5931 0.03286501 -0.1553677
Moved 2122.241 370.3906 319.1719 0.02405236 -0.1770272
Moved 2122.272 367.5276 310.5829 0.01742512 -0.1991179
Moved 2122.303 366 305.645 0.01388888 -0.2118186
Moved 2122.334 365 301 0.01157403 -0.2237656
Ended 2122.365 363.8541 300.8541 0.008921623 -0.2241407
Accept 2122.488 0 back
Candidates 2122.488 13 yard ways treated tests treats rates rated years tears reward rewards heard essays
Began 2123.102 435 319 0.1736111 -0.1774692
Stationary 2123.133 435 319 0.1736111 -0.1774692
Stationary 2123.164 435 319 0.1736111 -0.1774692
Moved 2123.194 444.2695 332.9043 0.1950683 -0.1417071
Moved 2123.225 473.3135 380.4964 0.2622998 -0.01929938
Moved 2123.256 500.1364 423.4886 0.3243898 0.09127735
Moved 2123.287 521.5912 455.1216 0.3740538 0.1726379
Moved 2123.317 541.8627 478.2767 0.4209785 0.232193
Moved 2123.348 562.0925 496.9364 0.4678067 0.2801862
Moved 2123.379 576.104 509.078 0.5002407 0.3114145
Moved 2123.41 586.697 515.798 0.5247616 0.3286986
Moved 2123.44 590.4677 518.4677 0.5334899 0.3355649
Moved 2123.471 591.5 518 0.5358797 0.3343621
Moved 2123.502 591 518 0.5347222 0.3343621
Moved 2123.532 571.9169 502.3418 0.4905483 0.2940889
Moved 2123.563 529.8151 471.5822 0.3930906 0.2149747
Moved 2123.594 461.5 425 0.2349537 0.09516452
Moved 2123.625 402.5892 379.0977 0.09858619 -0.02289697
Moved 2123.656 370.671 351.4323 0.02470136 -0.09405285
Moved 2123.686 345.7254 329.9719 -0.03304303 -0.1492495
Moved 2123.717 328.2585 313.2585 -0.07347564 -0.1922362
Moved 2123.748 314.5324 300.5323 -0.1052491 -0.2249683
Moved 2123.778 306.8863 292.8862 -0.1229485 -0.2446342
Moved 2123.809 300.1867 287.1867 -0.1384567 -0.2592935
Moved 2123.84 296.2252 283.2252 -0.1476269 -0.2694825
Moved 2123.871 294.8741 281.8741 -0.1507543 -0.2729574
Ended 2123.901 295 282 -0.150463 -0.2726338
Accept 2124.055 0 yard
Candidates 2124.055 13 is his us pass its of good id if ups goods toys god
Began 2125.407 441 371 0.1875 -0.04372435
Moved 2125.438 413.0386 371 0.1227744 -0.04372435
Moved 2125.469 345.0759 350.5823 -0.0345466 -0.09623908
Moved 2125.499 256.8852 350 -0.2386917 -0.09773669
Moved 2125.53 204.8966 357.1542 -0.3590357 -0.07933589
Moved 2125.561 161.8377 363.3089 -0.4587089 -0.06350592
Moved 2125.592 129.1669 369.537 -0.5343359 -0.04748725
Moved 2125.622 103.5392 373.1024 -0.5936592 -0.03831691
Moved 2125.653 79.71629 377.8976 -0.648805 -0.0259835
Moved 2125.684 59.62681 382.7676 -0.6953083 -0.01345795
Moved 2125.714 44.79227 385 -0.7296476 -0.007716127
Ended 2125.745 43 385 -0.7337962 -0.007716127
Accept 2125.807 0 is
Delete 2125.807 LeftSwipe
Began 2126.421 444 338 0.1944444 -0.1286009
Stationary 2126.452 444 338 0.1944444 -0.1286009
Stationary 2126.483 444 338 0.1944444 -0.1286009
Stationary 2126.513 444 338 0.1944444 -0.1286009
Moved 2126.544 432.8546 330.2849 0.1686449 -0.1484444
Moved 2126.575 425.2291 327.4097 0.1509934 -0.1558392
Moved 2126.606 416.634 325.5447 0.1310972 -0.1606362
Moved 2126.636 409.3459 325 0.1142266 -0.1620371
Moved 2126.667 404.1518 324 0.1022033 -0.164609
