a very traditional way to dress
a very traditional way to dress
FixStart
Radial

0.6 0.6
432 388.8
Began 1763.963 457 573 0.2245371 0.4758229
Stationary 1763.994 457 573 0.2245371 0.4758229
Moved 1764.025 442.4502 573 0.190857 0.4758229
Moved 1764.055 404.3795 573 0.1027303 0.4758229
Moved 1764.086 359 573 -0.002314796 0.4758229
Moved 1764.117 315.9325 573 -0.1020081 0.4758229
Moved 1764.148 287.9526 573 -0.1667764 0.4758229
Moved 1764.178 273.5517 579.2276 -0.2001118 0.4918404
Moved 1764.209 264.6648 580 -0.2206834 0.4938271
Moved 1764.24 260.2683 581.7317 -0.2308604 0.498281
Moved 1764.271 257.7127 583 -0.2367762 0.5015431
Ended 1764.301 258 584.5 -0.2361111 0.5054011
Candidates 1764.455 13 a as add sa gas da aa ga aaa ass fda s faa
Began 1764.793 311.7508 583 -0.111688 0.5015431
Moved 1764.824 357.6266 583 -0.005494058 0.5015431
Moved 1764.854 438.3915 583 0.1814619 0.5015431
Moved 1764.885 490.7921 583 0.3027596 0.5015431
Moved 1764.916 529.3462 583 0.392005 0.5015431
Ended 1764.947 544.5 583 0.4270834 0.5015431
Accept 1765.008 0 a
Began 1765.377 344 593 -0.03703703 0.5272633
Stationary 1765.408 344 593 -0.03703703 0.5272633
Moved 1765.438 344 540.2974 -0.03703703 0.3917114
Moved 1765.469 334.7948 494.5506 -0.05834535 0.2740498
Moved 1765.5 332.1686 459.5287 -0.06442457 0.183973
Moved 1765.531 328.6118 427.3411 -0.07265796 0.1011858
Moved 1765.561 326 412.2256 -0.07870371 0.06230868
Moved 1765.592 324.5044 405.0089 -0.0821657 0.04374696
Moved 1765.623 324.2368 401.2368 -0.08278529 0.03404511
Moved 1765.653 324 400 -0.08333336 0.03086416
Moved 1765.684 323.146 400 -0.08531015 0.03086416
Moved 1765.715 320.1636 418.3455 -0.09221379 0.0780489
Moved 1765.746 314.4247 464.8901 -0.1054984 0.1977625
Moved 1765.776 308.6216 553.2433 -0.1189314 0.4250083
Moved 1765.807 302.5243 608.0679 -0.1330456 0.5660182
Moved 1765.838 298.4417 641.9078 -0.142496 0.653055
Moved 1765.869 294.8549 666.2978 -0.1507987 0.7157863
