exercise is good for the mind
exercise is good for the mind
Basic
Radial

0.6 0.6
432 388.8
Began 1751.968 285 545 -0.1736111 0.4038065
Stationary 1751.999 285 545 -0.1736111 0.4038065
Moved 1752.03 285 528.8693 -0.1736111 0.3623181
Moved 1752.06 291.7596 484.9786 -0.1579639 0.2494306
Moved 1752.091 307.6461 419.0616 -0.1211894 0.07989082
Moved 1752.122 320.0172 373.9312 -0.09255274 -0.03618523
Moved 1752.153 326.8479 346.1736 -0.07674088 -0.1075782
Moved 1752.183 330 322.2802 -0.06944443 -0.1690326
Moved 1752.214 330 308.2355 -0.06944443 -0.2051555
Moved 1752.245 330 298.2902 -0.06944443 -0.2307352
Moved 1752.275 319.8935 289.6686 -0.09283905 -0.2529099
Moved 1752.306 320.0341 285.0681 -0.09251376 -0.2647425
Moved 1752.337 316.1633 279.3265 -0.1014739 -0.2795099
Moved 1752.368 312.3026 274.6052 -0.1104107 -0.2916534
Moved 1752.398 308.7863 271.7863 -0.1185502 -0.2989036
Moved 1752.429 304.8571 268.8571 -0.1276456 -0.3064377
Moved 1752.46 300.9761 268 -0.1366294 -0.308642
Moved 1752.49 295.3409 268 -0.1496737 -0.308642
Moved 1752.521 283.852 291.8664 -0.1762685 -0.2472573
Moved 1752.552 276.4232 317.0189 -0.1934648 -0.1825647
Moved 1752.583 275 353.2363 -0.1967592 -0.08941281
Moved 1752.613 285.7743 392.3229 -0.1718187 0.01111859
Moved 1752.644 296.0683 436.3414 -0.1479901 0.1243347
Moved 1752.675 301.8092 465.6416 -0.1347008 0.1996954
Moved 1752.706 307.5542 493.2167 -0.1214023 0.2706191
Moved 1752.736 308 510.7347 -0.1203704 0.3156757
Moved 1752.767 308 522.0654 -0.1203704 0.3448184
Moved 1752.798 308 529.1344 -0.1203704 0.3629999
Moved 1752.828 308 534.8658 -0.1203704 0.3777412
Moved 1752.859 316.747 540.7976 -0.1001226 0.3929979
Moved 1752.89 340.2286 550.4686 -0.04576703 0.4178717
Moved 1752.921 366.5481 555.6935 0.01515766 0.4313104
Moved 1752.951 383.2302 558.205 0.05377353 0.4377701
Moved 1752.982 393.2759 558 0.07702758 0.4372427
Moved 1753.013 398.0117 558 0.08799016 0.4372427
Moved 1753.044 400 558 0.09259263 0.4372427
Moved 1753.074 401.5 558 0.0960648 0.4372427
Moved 1753.105 374.4681 507.8192 0.03349096 0.3081768
Moved 1753.136 327.3212 410.9708 -0.07564545 0.0590813
Moved 1753.167 308.4629 356.6326 -0.1192988 -0.08067763
Moved 1753.197 301.4612 303.5342 -0.1355065 -0.2172476
Moved 1753.228 300 279.7678 -0.1388889 -0.2783752
Moved 1753.259 299 269.1577 -0.1412037 -0.3056645
Moved 1753.289 297.5 268.5 -0.1446759 -0.307356
Moved 1753.32 311.9421 312.0495 -0.1112451 -0.195346
Moved 1753.351 357.4927 411.8497 -0.005804002 0.06134166
Moved 1753.382 419.117 506.4585 0.136845 0.3046772
Moved 1753.412 442.6408 532.5959 0.1912981 0.3719029
Moved 1753.443 459.2836 550.2836 0.2298231 0.4173959
Moved 1753.474 464.6921 555.6921 0.242343 0.4313068
Moved 1753.505 465 557.1303 0.2430555 0.4350058
Moved 1753.535 452.2437 557 0.2135271 0.4346707
Moved 1753.566 336.7874 499.9005 -0.05373299 0.2878097
Moved 1753.597 248.2291 458.1234 -0.2587289 0.1803584
Moved 1753.627 229.8667 450.3467 -0.3012345 0.1603566
Moved 1753.658 209.3207 442.4402 -0.3487945 0.1400212
Moved 1753.689 199.6951 438.8476 -0.3710761 0.1307807
Moved 1753.719 194.5051 438 -0.38309 0.1286007
Moved 1753.75 192.9067 438 -0.3867899 0.1286007
Moved 1753.781 193 447.7896 -0.3865741 0.1537796
Moved 1753.812 297.306 546.9304 -0.145125 0.4087716
Ended 1753.842 403 619.5 0.09953707 0.5954217
Candidates 1753.935 13 exercise everybody august society activist edit judiciary category january advisory every february they
Began 1754.518 187 498 -0.4004629 0.2829217
Moved 1754.549 251.1838 498 -0.2518894 0.2829217
Moved 1754.58 415.8144 489 0.1291999 0.2597736
Ended 1754.61 504.3147 489 0.3340619 0.2597736
Accept 1754.672 0 exercise
Began 1755.133 402 572 0.09722222 0.4732509
Stationary 1755.164 402 572 0.09722222 0.4732509
Stationary 1755.194 402 572 0.09722222 0.4732509
Stationary 1755.225 402 572 0.09722222 0.4732509
Moved 1755.256 380.7349 553.0585 0.04799734 0.424533
Moved 1755.286 314.6774 505.1143 -0.1049134 0.3012199
Moved 1755.317 259.808 464.2777 -0.2319259 0.1961875
Moved 1755.348 225.6236 435.6613 -0.3110564 0.1225854
Moved 1755.379 203.9945 417.5667 -0.3611238 0.07604603
Moved 1755.409 187.3238 402.7698 -0.3997133 0.03798826
Moved 1755.44 174.7173 394.038 -0.4288951 0.01552966
Moved 1755.471 166.2627 387.2626 -0.448466 -0.001896517
Moved 1755.501 160.3033 382.3033 -0.4622608 -0.01465189
Moved 1755.532 155.4298 378.4297 -0.4735422 -0.02461492
Moved 1755.563 151.1092 375.5546 -0.4835435 -0.03200978
Moved 1755.594 149.011 373.011 -0.4884006 -0.03855206
Ended 1755.624 147 371 -0.4930556 -0.04372435
Candidates 1755.717 13 yes ya ta its tea era usa us ira ura trees rss ra
Began 1757.191 308 450 -0.1203704 0.1594649
Ended 1757.222 308 450 -0.1203704 0.1594649
NextCandidatePanel 1757.283
Began 1758.082 300 456 -0.1388889 0.174897
Stationary 1758.113 300 456 -0.1388889 0.174897
Ended 1758.144 300 456 -0.1388889 0.174897
NextCandidatePanel 1758.205
Began 1758.758 388 465 0.06481478 0.1980452
Moved 1758.789 292.5113 440.0829 -0.1562239 0.133958
Ended 1758.82 197.5 422.5 -0.3761574 0.08873452
Cancel 1758.881
Began 1759.25 458 538 0.2268519 0.3858024
Stationary 1759.281 458 538 0.2268519 0.3858024
Stationary 1759.311 458 538 0.2268519 0.3858024
Stationary 1759.342 458 538 0.2268519 0.3858024
Stationary 1759.373 458 538 0.2268519 0.3858024
Moved 1759.404 439.5923 529.3477 0.1842414 0.3635484
Moved 1759.434 415.4305 516.2391 0.1283113 0.3298331
Moved 1759.465 389.7717 500.063 0.06891608 0.2882279
Moved 1759.496 355.1368 478.0912 -0.01125738 0.231716
Moved 1759.526 325.1658 455.9388 -0.08063466 0.1747396
Moved 1759.557 299.7405 439.3002 -0.1394896 0.131945
Moved 1759.588 281.453 426.2108 -0.1818217 0.0982788
Moved 1759.619 264.7982 415.3486 -0.2203745 0.07034101
Moved 1759.649 254.3365 407.7524 -0.2445914 0.05080337
Moved 1759.68 245.1246 401.4164 -0.2659153 0.03450716
Moved 1759.711 235.0434 395.626 -0.2892513 0.01961417
Moved 1759.741 217.9911 386.3274 -0.3287243 -0.004302013
Moved 1759.772 202.2109 376.8348 -0.3652526 -0.02871713
Moved 1759.803 186.9112 366.7467 -0.4006685 -0.05466382
Moved 1759.834 174.1642 359.0985 -0.4301756 -0.07433511
Moved 1759.864 161.6828 350.5121 -0.4590677 -0.09641961
Moved 1759.895 149.8914 342.5942 -0.4863625 -0.1167844
Moved 1759.926 138.994 334.1617 -0.5115879 -0.1384731
Ended 1759.957 138.994 334.1617 -0.5115879 -0.1384731
Candidates 1760.049 13 usa us is its ya pass ideas idea ita ira oa has piazza
Began 1760.878 303 366 -0.1319445 -0.05658444
Stationary 1760.909 303 366 -0.1319445 -0.05658444
Moved 1760.94 277.2649 407.1601 -0.1915164 0.04928008
Moved 1760.97 248.189 457.5949 -0.2588218 0.1789992
Moved 1761.001 223.5176 495.7236 -0.3159314 0.2770667
Ended 1761.032 214 515 -0.3379629 0.326646
Accept 1761.093 2 is
Began 1761.585 317 403 -0.09953702 0.03858017
Stationary 1761.616 317 403 -0.09953702 0.03858017
