I will meet you at noon
I will meet you at noon
FixStart
Radial

0.6 0.6
432 388.8
Moved 2675.894 258.1664 344.2779 -0.235726 -0.112454
Moved 2675.924 243.9869 351.0065 -0.2685488 -0.0951478
Moved 2675.955 232.4859 357.757 -0.2951714 -0.07778544
Moved 2675.986 223.1297 362.9568 -0.3168294 -0.06441171
Moved 2676.016 214.5672 367.6218 -0.3366499 -0.05241299
Moved 2676.047 208.3245 371.6755 -0.3511007 -0.04198686
Moved 2676.078 202.9066 376.0934 -0.3636422 -0.03062409
Moved 2676.109 198.839 381.2415 -0.3730578 -0.01738293
Moved 2676.139 194.1049 387.8427 -0.3840165 -0.0004046248
Moved 2676.17 190.1863 393.6274 -0.3930873 0.01447383
Moved 2676.201 189 398 -0.3958333 0.02572008
Moved 2676.232 187 404.3515 -0.4004629 0.04205629
Moved 2676.262 185.953 409.0939 -0.4028865 0.0542537
Moved 2676.293 186 411.9153 -0.4027778 0.06151066
Moved 2676.324 186 414.9264 -0.4027778 0.069255
Moved 2676.354 198.0602 419.34 -0.3748608 0.08060698
Moved 2676.385 209.1078 423.2216 -0.3492875 0.09059034
Moved 2676.416 227.5176 425.0862 -0.3066723 0.09538639
Moved 2676.447 243.036 425 -0.2707501 0.09516452
Moved 2676.477 260.8613 425 -0.2294877 0.09516452
Moved 2676.508 273.031 425 -0.201317 0.09516452
Moved 2676.539 283.7965 425 -0.1763969 0.09516452
Moved 2676.57 292.342 425 -0.1566157 0.09516452
Moved 2676.6 297.6521 425 -0.1443238 0.09516452
Moved 2676.631 301 425 -0.1365741 0.09516452
Ended 2676.662 301 425 -0.1365741 0.09516452
Candidates 2676.785 13 meet me met be mere net mr mer newer ne nr newt mary
Began 2677.092 196 324 -0.3796296 -0.164609
Stationary 2677.123 196 324 -0.3796296 -0.164609
Stationary 2677.153 196 324 -0.3796296 -0.164609
Moved 2677.184 216.8597 324 -0.3313433 -0.164609
Moved 2677.215 232.6122 324 -0.2948792 -0.164609
Moved 2677.246 251.1125 324 -0.2520543 -0.164609
Moved 2677.276 265.2832 324 -0.2192518 -0.164609
Moved 2677.307 279.6538 324 -0.1859866 -0.164609
Moved 2677.338 288.9156 324 -0.1645471 -0.164609
Moved 2677.368 298.0497 324 -0.1434036 -0.164609
Moved 2677.399 304.442 324 -0.1286065 -0.164609
Moved 2677.43 307.8068 324 -0.1208177 -0.164609
Ended 2677.461 309.1699 324 -0.1176622 -0.164609
Accept 2677.553 0 meet
Began 2677.829 321 231 -0.09027779 -0.4038066
