this is too much to handle
this is too much to handle
Basic
Radial

0.6 0.6
432 388.8
Began 2115.949 324 558 -0.08333336 0.4372427
Stationary 2115.98 324 558 -0.08333336 0.4372427
Stationary 2116.01 324 558 -0.08333336 0.4372427
Stationary 2116.041 324 558 -0.08333336 0.4372427
Stationary 2116.072 324 558 -0.08333336 0.4372427
Stationary 2116.103 324 558 -0.08333336 0.4372427
Stationary 2116.133 324 558 -0.08333336 0.4372427
Stationary 2116.164 324 558 -0.08333336 0.4372427
Stationary 2116.195 324 558 -0.08333336 0.4372427
Stationary 2116.226 324 558 -0.08333336 0.4372427
Stationary 2116.256 324 558 -0.08333336 0.4372427
Stationary 2116.287 324 558 -0.08333336 0.4372427
Stationary 2116.318 324 558 -0.08333336 0.4372427
Stationary 2116.348 324 558 -0.08333336 0.4372427
Moved 2116.379 324 538.3436 -0.08333336 0.3866862
Moved 2116.41 337.1838 505.7596 -0.05281517 0.3028795
Moved 2116.44 356.3216 462.5829 -0.008514772 0.1918284
Moved 2116.471 371.7909 427.9018 0.02729376 0.102628
Moved 2116.502 384 406.5 0.0555556 0.04758226
Moved 2116.533 391.5657 392.2457 0.07306883 0.01091988
Moved 2116.563 397.118 381.8229 0.08592129 -0.01588759
Moved 2116.594 399.9331 377.0669 0.09243777 -0.0281202
Moved 2116.625 402.3309 374.6691 0.09798825 -0.0342873
Moved 2116.656 413.8125 375 0.1245661 -0.03343629
Moved 2116.686 441.9243 418.624 0.1896396 0.07876545
Moved 2116.717 465.3186 455.5006 0.243793 0.1736125
Moved 2116.748 477.4612 481.5376 0.2719008 0.2405801
Moved 2116.778 485.4874 501.4706 0.2904801 0.2918483
Moved 2116.809 488.3843 509.1528 0.2971858 0.3116068
Moved 2116.84 489.9292 514.8585 0.3007621 0.326282
Moved 2116.87 490 518.7729 0.300926 0.3363502
Moved 2116.901 480.4716 522.6321 0.2788695 0.3462758
Moved 2116.932 462 523 0.2361111 0.3472221
Moved 2116.963 420.8981 504.9513 0.1409679 0.3008005
Moved 2116.993 375.8288 482.8535 0.03664076 0.2439646
Moved 2117.024 337.0082 457.2562 -0.05322173 0.1781279
Moved 2117.055 305 435 -0.1273148 0.1208847
Moved 2117.085 283.837 418.1693 -0.1763033 0.07759573
Moved 2117.116 264.792 404.896 -0.2203889 0.04345674
Moved 2117.147 249.4373 392.2623 -0.2559323 0.01096278
Moved 2117.177 237.404 382.7232 -0.283787 -0.01357208
Moved 2117.208 228.3882 375.6941 -0.3046569 -0.03165108
Moved 2117.239 222.825 371.825 -0.3175348 -0.04160257
Ended 2117.27 221 371 -0.3217593 -0.04372435
Candidates 2117.362 13 this thus third ellis whoa food did ships elisa toys good sports his
Began 2117.823 156 390 -0.4722222 0.005143954
Moved 2117.853 200.732 390 -0.3686759 0.005143954
Moved 2117.884 341.8504 423.388 -0.04201303 0.0910184
Moved 2117.915 501.5 449 0.3275463 0.156893
Moved 2117.945 599.8829 450 0.5552844 0.1594649
Moved 2117.976 646.6072 450 0.6634427 0.1594649
Ended 2118.007 669 450 0.7152778 0.1594649
Accept 2118.068 0 this
Began 2118.468 445 611 0.1967593 0.5735595
Stationary 2118.498 445 611 0.1967593 0.5735595
Stationary 2118.529 445 611 0.1967593 0.5735595
Stationary 2118.56 445 611 0.1967593 0.5735595
Stationary 2118.59 445 611 0.1967593 0.5735595
Moved 2118.621 436.2857 598.7551 0.1765872 0.5420655
Moved 2118.652 434.8846 592.7692 0.1733439 0.5266696
Moved 2118.683 431.0204 588.0204 0.1643991 0.5144557
Moved 2118.713 428.5 583 0.1585648 0.5015431
Moved 2118.744 424.6219 577.6218 0.1495876 0.4877104
Moved 2118.775 421.7519 570.2556 0.1429441 0.4687642
Moved 2118.805 418.2617 564.2617 0.134865 0.4533479
Moved 2118.836 414.5981 555.8972 0.1263845 0.4318343
Moved 2118.867 407.1796 544.0515 0.109212 0.4013668
Moved 2118.897 381.1716 507.8548 0.04900843 0.3082685
Moved 2118.928 348.2322 466.2787 -0.02724017 0.201334
Moved 2118.959 325.2766 441.2766 -0.08037814 0.1370283
Moved 2118.99 296.185 411.1851 -0.1477198 0.05963235
Moved 2119.021 269 388 -0.2106481 -3.924585E-08
Moved 2119.051 248.3184 374.6213 -0.2585222 -0.03441022
Moved 2119.082 227.3317 358.1896 -0.3071025 -0.0766729
Moved 2119.113 210.9175 347.5505 -0.3450983 -0.1040368
Moved 2119.143 199.9409 339.2056 -0.3705073 -0.1254999
Moved 2119.174 186.0991 330.3243 -0.4025484 -0.1483429
Moved 2119.205 176.674 322.674 -0.4243658 -0.1680195
Moved 2119.235 169.0488 317.0488 -0.4420167 -0.1824878
Moved 2119.266 164.0065 314.5032 -0.4536887 -0.189035
Ended 2119.297 161.6469 313 -0.4591507 -0.1929013
Candidates 2119.389 13 is usa us ya oa ita odds its piazza pass irs ira others
Began 2119.942 204 379 -0.3611111 -0.02314815
Stationary 2119.972 204 379 -0.3611111 -0.02314815
Moved 2120.003 245.9201 383.6676 -0.2640738 -0.01114308
Moved 2120.034 356.3335 410.0667 -0.008487205 0.0567559
Moved 2120.065 469.8003 429.1302 0.2541673 0.1057876
Moved 2120.095 581.0751 440.6729 0.511748 0.1354755
Moved 2120.126 625.5775 442.7368 0.6147628 0.1407837
Moved 2120.157 658.9561 443 0.692028 0.1414608
Moved 2120.188 675.7813 443 0.7309753 0.1414608
Ended 2120.218 680 443 0.7407407 0.1414608
Accept 2120.28 0 is
Began 2120.679 309 521 -0.1180555 0.3420781
Stationary 2120.71 309 521 -0.1180555 0.3420781
Stationary 2120.74 309 521 -0.1180555 0.3420781
Stationary 2120.771 309 521 -0.1180555 0.3420781
Stationary 2120.802 309 521 -0.1180555 0.3420781
Stationary 2120.833 309 521 -0.1180555 0.3420781
Stationary 2120.863 309 521 -0.1180555 0.3420781
Stationary 2120.894 309 521 -0.1180555 0.3420781
Stationary 2120.925 309 521 -0.1180555 0.3420781
Stationary 2120.955 309 521 -0.1180555 0.3420781
Stationary 2120.986 309 521 -0.1180555 0.3420781
Stationary 2121.017 309 521 -0.1180555 0.3420781
Stationary 2121.047 309 521 -0.1180555 0.3420781
Stationary 2121.078 309 521 -0.1180555 0.3420781
Stationary 2121.109 309 521 -0.1180555 0.3420781
Stationary 2121.14 309 521 -0.1180555 0.3420781
Moved 2121.17 328.3936 514 -0.07316301 0.324074
Moved 2121.201 354.9492 514 -0.01169155 0.324074
Moved 2121.232 406.584 514 0.1078333 0.324074
Moved 2121.262 423.0447 514 0.1459368 0.324074
Moved 2121.293 451.9401 514 0.2128243 0.324074
Moved 2121.324 478.4679 514 0.2742311 0.324074
Moved 2121.354 504.1823 514 0.3337552 0.324074
