traveling requires a lot of fuel
traveling requires a lot of fuel
Basic
List

0.6 0.6
432 388.8
Began 1882.207 396 464 0.08333336 0.1954732
Stationary 1882.237 396 464 0.08333336 0.1954732
Stationary 1882.268 396 464 0.08333336 0.1954732
Stationary 1882.299 396 464 0.08333336 0.1954732
Stationary 1882.329 396 464 0.08333336 0.1954732
Stationary 1882.36 396 464 0.08333336 0.1954732
Moved 1882.391 376.418 464 0.03800452 0.1954732
Moved 1882.422 363.0535 464 0.007068217 0.1954732
Moved 1882.452 353.7509 467.9359 -0.01446545 0.2055964
Moved 1882.483 339.8012 473.4398 -0.04675651 0.2197524
Moved 1882.514 320.789 476.3159 -0.09076615 0.2271498
Moved 1882.544 313.2313 478 -0.1082609 0.2314814
Moved 1882.575 306.5627 479 -0.1236974 0.2340534
Moved 1882.606 301.4072 480 -0.1356314 0.2366254
Moved 1882.636 296.0715 480 -0.1479826 0.2366254
Moved 1882.667 294.03 481 -0.1527084 0.2391974
Moved 1882.698 292.5945 481 -0.1560312 0.2391974
Moved 1882.729 288.2808 481.7192 -0.1660166 0.2410472
Moved 1882.759 285.5 482 -0.1724537 0.2417695
Moved 1882.79 285 482 -0.1736111 0.2417695
Moved 1882.821 282.9946 482 -0.1782533 0.2417695
Moved 1882.852 281.1015 482 -0.1826353 0.2417695
Moved 1882.882 275.0708 482 -0.1965954 0.2417695
Moved 1882.913 256.7599 458.7598 -0.2389818 0.1819954
Moved 1882.944 236.5784 440.6386 -0.2856982 0.1353873
Moved 1882.974 217.3907 423.3256 -0.3301141 0.090858
Moved 1883.005 199.9276 406.4155 -0.3705381 0.04736488
Moved 1883.036 187.4762 392.0952 -0.3993607 0.01053292
Moved 1883.067 181.7517 385.5034 -0.4126117 -0.006421289
Moved 1883.097 178.1559 382.1559 -0.4209353 -0.01503108
Moved 1883.128 175.5 379.5 -0.4270833 -0.02186214
Moved 1883.159 175 379 -0.4282407 -0.02314815
Moved 1883.189 175 376.5946 -0.4282407 -0.02933486
Moved 1883.22 175 372.3012 -0.4282407 -0.04037755
Moved 1883.251 195.7718 362.1141 -0.3801578 -0.0665791
Moved 1883.282 223.1728 347.767 -0.3167296 -0.1034799
Moved 1883.312 244.5 334.5 -0.2673611 -0.1376029
Moved 1883.343 264.5034 320.6404 -0.2210568 -0.1732501
Moved 1883.374 295.5205 299.2877 -0.1492582 -0.2281695
Moved 1883.405 325.6142 281.6929 -0.07959679 -0.2734237
Moved 1883.435 339.2735 273.2359 -0.04797806 -0.2951752
Moved 1883.466 353.847 260.1531 -0.01424318 -0.3288244
Moved 1883.497 363.2587 250.7412 0.007543366 -0.3530319
Moved 1883.527 367.9608 246.0784 0.01842777 -0.3650247
Moved 1883.558 371 244.4706 0.025463 -0.36916
Moved 1883.589 373.416 244 0.03105561 -0.3703704
Moved 1883.62 376.285 244 0.03769676 -0.3703704
Moved 1883.65 379.8561 255.4244 0.04596323 -0.3409866
Moved 1883.681 382 284.202 0.05092591 -0.2669703
Moved 1883.712 377.5722 313.5348 0.0406763 -0.1915258
Moved 1883.742 365.2271 342.8754 0.01209984 -0.1160612
Moved 1883.773 350.7268 372.6191 -0.02146572 -0.03955998
Moved 1883.804 332.3827 405.6296 -0.06392886 0.04534372
Moved 1883.835 315.6025 438.4745 -0.102772 0.1298212
Moved 1883.865 306.5 457 -0.1238426 0.1774691
Moved 1883.896 302.0215 465.9569 -0.1342094 0.2005064
