they might find your comment offensive
they might find your comment offensive
FixStart
List

0.6 0.6
432 388.8
Moved 3569.73 387 542.5 0.06250004 0.3973764
Moved 3569.761 421.8731 555.1492 0.1432247 0.4299105
Moved 3569.792 438.2843 559.7141 0.1812137 0.4416513
Moved 3569.822 448.439 562.4797 0.2047199 0.4487645
Moved 3569.853 452.2451 563 0.2135303 0.4501028
Moved 3569.884 453.7832 563 0.2170908 0.4501028
Moved 3569.914 455.4915 563 0.2210451 0.4501028
Moved 3569.945 456 538.5281 0.2222222 0.3871607
Moved 3569.976 457 471.6842 0.2245371 0.215237
Moved 3570.007 446.3197 433.9745 0.1998142 0.1182471
Moved 3570.037 440.4087 392.0437 0.1861313 0.01040039
Moved 3570.068 436.0374 365.3371 0.1760126 -0.05828936
Moved 3570.099 432.57 344.9951 0.1679862 -0.1106095
Moved 3570.129 424.5635 321.9087 0.1494525 -0.169988
Moved 3570.16 413.758 303.9095 0.1244397 -0.2162821
Moved 3570.191 399.5524 293.7762 0.0915565 -0.2423453
Moved 3570.222 376.7578 292 0.0387912 -0.2469136
Moved 3570.252 346.5475 315.0404 -0.0311401 -0.1876533
Moved 3570.283 320.1793 340.8207 -0.09217764 -0.1213459
Moved 3570.314 301.2162 366.6757 -0.1360736 -0.05484648
Moved 3570.344 287.0495 397.2714 -0.168867 0.02384602
Moved 3570.375 273.5696 431.7679 -0.2000703 0.1125716
Moved 3570.406 264.3047 456.8541 -0.2215168 0.1770939
Moved 3570.437 257.037 482.8521 -0.2383404 0.2439611
Moved 3570.467 251.3165 496.0506 -0.2515822 0.2779079
Moved 3570.498 247.9516 503.0967 -0.2593712 0.2960305
Ended 3570.529 243.5 510.5 -0.2696759 0.3150719
Accept 3570.682 0 might
Candidates 3570.682 13 find since solve done silver songs sound sons found stone wonder finds time
Began 3571.327 279 388 -0.1875 -3.924585E-08
Stationary 3571.358 279 388 -0.1875 -3.924585E-08
Stationary 3571.389 279 388 -0.1875 -3.924585E-08
Moved 3571.42 279 406.2891 -0.1875 0.04703969
Moved 3571.45 287.0285 420.0855 -0.1689155 0.08252442
Moved 3571.481 293.7921 440.3762 -0.1532591 0.1347124
Moved 3571.512 298.0339 454.0847 -0.1434401 0.1699708
Moved 3571.542 300.3131 465.5656 -0.138164 0.1994999
Moved 3571.573 305.1905 478.762 -0.1268739 0.2334413
Moved 3571.604 309.9456 491.7822 -0.1158668 0.2669295
Moved 3571.635 313.7062 502.1185 -0.1071616 0.2935146
Moved 3571.666 318.3146 511.6292 -0.09649406 0.3179761
Moved 3571.696 321.8383 517.8383 -0.08833721 0.3339462
Moved 3571.727 326.3884 525.0826 -0.07780472 0.3525786
Moved 3571.758 331.9077 530.9077 -0.06502851 0.3675608
Moved 3571.788 340.5361 537.6521 -0.04505525 0.3849075
Moved 3571.819 368.197 548.0563 0.01897454 0.4116673
Moved 3571.85 406.1192 551 0.1067574 0.4192385
Moved 3571.88 468.938 554.2737 0.2521712 0.4276587
Moved 3571.911 481.9215 555 0.2822256 0.4295266
Moved 3571.942 501.6614 555 0.3279198 0.4295266
Moved 3571.973 510.366 555 0.3480695 0.4295266
Moved 3572.003 514.6151 548 0.3579053 0.4115225
Moved 3572.034 516.5 546.5 0.3622685 0.4076646
Moved 3572.065 517 544.5 0.3634259 0.4025204
Moved 3572.095 499.7298 540.2085 0.3234486 0.3914827
Moved 3572.126 467.3611 536.6907 0.2485211 0.382435
Moved 3572.157 428.9104 535 0.1595148 0.3780863
Moved 3572.188 385.9241 535 0.06000957 0.3780863
Moved 3572.218 346 535 -0.03240739 0.3780863
Moved 3572.249 318.6043 535 -0.09582336 0.3780863
Moved 3572.28 292.5492 535 -0.1561361 0.3780863
Moved 3572.311 273.9579 535 -0.1991716 0.3780863
Moved 3572.341 255.4498 535 -0.2420144 0.3780863
Moved 3572.372 250.9209 535 -0.2524979 0.3780863
Moved 3572.403 243.5 535 -0.2696759 0.3780863
Moved 3572.433 239.3903 535 -0.2791892 0.3780863
Ended 3572.464 238.5 535 -0.28125 0.3780863
Accept 3572.556 0 find
Candidates 3572.556 13 your out it put type our got hot or hype tour poor upper
Began 3573.539 355 497 -0.01157408 0.2803498
Stationary 3573.57 355 497 -0.01157408 0.2803498
Stationary 3573.601 355 497 -0.01157408 0.2803498
Stationary 3573.631 355 497 -0.01157408 0.2803498
Stationary 3573.662 355 497 -0.01157408 0.2803498
Stationary 3573.693 355 497 -0.01157408 0.2803498
Moved 3573.724 355 486.3239 -0.01157408 0.2528905
Moved 3573.754 355 474.17 -0.01157408 0.2216307
Moved 3573.785 335.0542 454.9346 -0.05774493 0.1721568
Moved 3573.816 313.3006 422.9885 -0.1081005 0.08999086
Moved 3573.846 296.9051 399.0292 -0.1460529 0.02836733
Moved 3573.877 287.1152 382.2305 -0.1687147 -0.01483941
Moved 3573.908 282.6064 370.4258 -0.1791517 -0.0452011
Moved 3573.938 279.8619 361.5858 -0.1855049 -0.06793795
Moved 3573.969 280 359.1133 -0.1851852 -0.07429703
Moved 3574 280 357.681 -0.1851852 -0.07798097
Moved 3574.031 280 356 -0.1851852 -0.0823046
Moved 3574.062 293.7803 356 -0.1532864 -0.0823046
Moved 3574.092 337.4718 398.4718 -0.0521487 0.02693353
Moved 3574.123 409.1066 474.1218 0.1136726 0.2215067
Moved 3574.154 447.6492 522.1791 0.2028917 0.3451107
Moved 3574.184 470.1902 551.2537 0.25507 0.419891
Moved 3574.215 486.4611 570.7532 0.2927339 0.4700443
Moved 3574.246 499.936 582.936 0.3239259 0.5013784
Moved 3574.276 508.4653 592.4653 0.3436696 0.5258881
Moved 3574.307 510.2612 594.2612 0.3478269 0.5305072
Moved 3574.338 510 595 0.3472221 0.5324073
Stationary 3574.369 510 595 0.3472221 0.5324073
Stationary 3574.399 510 595 0.3472221 0.5324073
Moved 3574.43 490.4545 561.909 0.301978 0.4472967
Moved 3574.461 470.5 505 0.2557871 0.3009258
Moved 3574.491 457.6237 458.7457 0.2259808 0.1819589
Moved 3574.522 451.3509 431.2865 0.2114603 0.1113335
Moved 3574.553 447.3588 408.8707 0.2022195 0.05367958
Moved 3574.584 445.9583 391.708 0.1989775 0.009536979
Moved 3574.615 444.1913 376.7653 0.1948873 -0.02889602
Moved 3574.645 441.4289 365.7157 0.1884928 -0.05731558
Moved 3574.676 437.3358 354.6717 0.1790182 -0.08572096
Moved 3574.707 431.588 343.98 0.1657129 -0.1132203
Moved 3574.737 412.8661 335.4424 0.1223752 -0.1351791
Moved 3574.768 375.705 354.6018 0.03635416 -0.08590078
Moved 3574.799 339.2659 384.7341 -0.04799559 -0.008399987
Moved 3574.829 315.5 416 -0.1030092 0.07201634
Moved 3574.86 296.3238 445.6341 -0.1473987 0.1482357
Moved 3574.891 274.9095 471.1035 -0.1969688 0.2137434
Moved 3574.922 256.5 493 -0.2395834 0.2700616
Moved 3574.952 244.3261 508.0109 -0.2677637 0.3086698
Moved 3574.983 234.2151 516.7849 -0.2911687 0.3312367
Moved 3575.014 226.6183 523.6908 -0.3087538 0.3489989
Moved 3575.044 221.7797 527.1102 -0.3199545 0.3577935
Moved 3575.075 218.085 528 -0.3285069 0.3600822
Moved 3575.106 215.329 528.671 -0.3348866 0.3618081
Moved 3575.136 213.5641 529 -0.3389721 0.3626543
Moved 3575.167 214 530.8578 -0.3379629 0.3674327
Stationary 3575.198 214 531 -0.3379629 0.3677982
Moved 3575.229 247.8112 521.3512 -0.2596963 0.3429814
Moved 3575.26 295.0287 496.918 -0.1503965 0.2801389
Moved 3575.29 330.6523 473.5572 -0.06793439 0.2200544
Moved 3575.321 359.7902 448.5586 -0.0004856786 0.1557576
Moved 3575.352 387.1322 424.8677 0.06280611 0.09482438
Moved 3575.382 403.9487 407.3932 0.101733 0.04987975
Moved 3575.413 414.9528 394.7296 0.1272055 0.01730864
Moved 3575.444 420.0879 388.8243 0.1390923 0.002119983
Moved 3575.475 422 386.1448 0.1435185 -0.004771589
Moved 3575.505 422 394.3422 0.1435185 0.01631227
Moved 3575.536 387.968 444.0641 0.06474067 0.1441977
