I want to hold your hand
I want to hold your hand
FixStart
List

0.6 0.6
432 388.8
Moved 3524.755 421.883 503.5887 0.1432477 0.2972959
Moved 3524.786 436.6357 513.2268 0.1773975 0.3220854
Moved 3524.816 444.6491 519.7661 0.1959469 0.3389044
Moved 3524.847 450.2005 526.8008 0.2087976 0.3569978
Moved 3524.878 454.3749 537.4997 0.2184605 0.3845156
Moved 3524.908 457 543.2346 0.2245371 0.3992659
Moved 3524.939 459 549.0485 0.2291666 0.4142194
Moved 3524.97 460.2668 552.2668 0.232099 0.4224968
Moved 3525.001 460 556.0302 0.2314815 0.4321762
Moved 3525.031 460 557.7676 0.2314815 0.4366449
Moved 3525.062 460 559.0908 0.2314815 0.4400483
Moved 3525.093 460 560 0.2314815 0.4423867
Moved 3525.124 460 561 0.2314815 0.4449587
Moved 3525.154 460 562 0.2314815 0.4475308
Moved 3525.185 460 563.3062 0.2314815 0.4508903
Stationary 3525.216 460 563.3062 0.2314815 0.4508903
Moved 3525.246 460 564.1791 0.2314815 0.4531354
Moved 3525.277 460 565.1788 0.2314815 0.4557067
Stationary 3525.308 460 565.1788 0.2314815 0.4557067
Moved 3525.339 460 566.0517 0.2314815 0.4579518
Stationary 3525.369 460 566.0517 0.2314815 0.4579518
Stationary 3525.4 460 566.0517 0.2314815 0.4579518
Moved 3525.431 460 567.0975 0.2314815 0.4606416
Stationary 3525.461 460 567.0975 0.2314815 0.4606416
Stationary 3525.492 460 567.0975 0.2314815 0.4606416
Stationary 3525.523 460 567.0975 0.2314815 0.4606416
Stationary 3525.553 460 567.0975 0.2314815 0.4606416
Stationary 3525.584 460 567.0975 0.2314815 0.4606416
Moved 3525.615 451.7904 567 0.2124777 0.4603909
Stationary 3525.646 451.7904 567 0.2124777 0.4603909
Moved 3525.676 450.7835 567 0.2101471 0.4603909
Ended 3525.707 450 567 0.2083333 0.4603909
Candidates 3525.769 13 p po pp gp pop go o hip ip gop pi I ho
Began 3526.659 453 451 0.2152778 0.162037
Moved 3526.69 441.1201 451 0.187778 0.162037
Moved 3526.72 383.763 451 0.05500684 0.162037
Moved 3526.751 306.5671 456.1959 -0.1236872 0.1754008
Moved 3526.782 252.1838 459 -0.2495744 0.1826131
