traveling requires a lot of fuel
traveling requires a lot of fuel
Basic
List

0.6 0.6
432 388.8
Began 958.8629 417 473 0.1319444 0.2186213
Stationary 958.8937 417 473 0.1319444 0.2186213
Moved 958.9244 400.9931 473 0.0948915 0.2186213
Moved 958.9551 379.849 473 0.04594674 0.2186213
Moved 958.9858 350.912 473 -0.02103691 0.2186213
Moved 959.0165 325.7356 473 -0.07931575 0.2186213
Moved 959.0473 301.8964 473 -0.1344991 0.2186213
Moved 959.0779 275.089 473 -0.1965532 0.2186213
Moved 959.1087 249.0284 473 -0.2568786 0.2186213
Moved 959.1393 230.5959 473 -0.2995465 0.2186213
Moved 959.1701 216.0477 473 -0.333223 0.2186213
Moved 959.2009 205.5787 462.434 -0.3574568 0.1914454
Moved 959.2315 193.7886 448.6829 -0.3847487 0.1560772
Moved 959.2623 180.4694 422.3266 -0.4155801 0.08828846
Moved 959.293 168.8185 391.4102 -0.4425498 0.008770899
Moved 959.3237 160.8174 368.0579 -0.4610709 -0.05129158
Moved 959.3544 152.2086 345.1533 -0.4809987 -0.1102024
Moved 959.3851 148.9837 331.9349 -0.4884636 -0.1442005
Moved 959.4158 146.2312 322.6937 -0.4948351 -0.167969
Moved 959.4465 146 316.3993 -0.4953704 -0.1841582
Moved 959.4772 146 310.0917 -0.4953704 -0.2003815
Moved 959.508 146 303.8694 -0.4953704 -0.2163852
Moved 959.5387 178.5143 284.7833 -0.4201058 -0.265475
Moved 959.5694 214.6056 259.255 -0.3365612 -0.3311344
Moved 959.6001 236.6699 239.3301 -0.2854863 -0.3823816
Moved 959.6309 249.451 224.1863 -0.2559005 -0.4213316
Moved 959.6615 256.7155 212.5688 -0.2390844 -0.4512118
Moved 959.6923 260.5812 204.8375 -0.2301361 -0.4710969
Moved 959.723 262.3433 201.6567 -0.2260572 -0.479278
Moved 959.7537 267.1983 201 -0.2148187 -0.4809672
Moved 959.7844 281.0424 216.1833 -0.1827721 -0.4419152
Moved 959.8151 318.7736 283.5472 -0.0954315 -0.2686544
Moved 959.8458 351.9739 343.9539 -0.01857892 -0.1132875
Moved 959.8765 380.8734 390.9283 0.04831811 0.007531515
Moved 959.9073 399.3718 417.0577 0.09113848 0.07473686
Moved 959.938 409.9438 433.9064 0.1156107 0.1180718
Moved 959.9687 414.7469 444.2408 0.126729 0.1446523
Moved 959.9994 415 448.9815 0.1273148 0.1568454
Moved 960.0302 415 450.9103 0.1273148 0.1618064
Moved 960.0608 406.0109 453.663 0.1065067 0.1688863
Moved 960.0916 395.3753 456.4062 0.08188725 0.1759418
Moved 960.1223 387.4275 458.8575 0.06348957 0.1822466
Moved 960.153 376.1891 460.5622 0.03747464 0.1866311
Moved 960.1837 364.7552 464.3112 0.01100739 0.1962736
Moved 960.2144 355.8094 470.1271 -0.009700408 0.2112321
Moved 960.2451 347.4102 477.1924 -0.0291431 0.2294042
Moved 960.2758 336.1624 486.8376 -0.05517974 0.254212
Moved 960.3066 327.9553 493.0223 -0.07417749 0.2701191
Moved 960.3372 323.2348 497.7652 -0.08510471 0.2823178
Moved 960.368 319.8297 501.1703 -0.09298687 0.2910759
Moved 960.3987 318 503.9204 -0.09722222 0.2981491
Moved 960.4294 318 506.5 -0.09722222 0.3047839
Moved 960.4601 316.9752 507.0248 -0.09959449 0.3061336
Moved 960.4908 324.2882 509 -0.08266618 0.3112139
Moved 960.5215 354.8868 510 -0.01183609 0.3137859
