healthy food is good for you
healthy food is good for you
FixStart
List

0.6 0.6
432 388.8
Began 432.3301 478 361 0.2731481 -0.06944452
Stationary 432.3607 478 361 0.2731481 -0.06944452
Stationary 432.3915 478 361 0.2731481 -0.06944452
Stationary 432.4222 478 361 0.2731481 -0.06944452
Stationary 432.4529 478 361 0.2731481 -0.06944452
Stationary 432.4836 478 361 0.2731481 -0.06944452
Stationary 432.5144 478 361 0.2731481 -0.06944452
Stationary 432.5451 478 361 0.2731481 -0.06944452
Stationary 432.5758 478 361 0.2731481 -0.06944452
Stationary 432.6065 478 361 0.2731481 -0.06944452
Moved 432.6372 467.9912 372.3392 0.2499797 -0.04027998
Moved 432.6678 457.1036 383.8964 0.224777 -0.01055462
Moved 432.6986 444.7614 398.2983 0.1962069 0.02648726
Moved 432.7293 435.21 408.72 0.1740971 0.05329218
Moved 432.76 428.1887 416.8113 0.1578442 0.07410316
Moved 432.7907 420.9633 423.6912 0.1411187 0.09179822
Moved 432.8214 415.555 429.445 0.1285994 0.1065972
Moved 432.8521 409.8134 434.1866 0.1153088 0.1187926
Moved 432.8828 405.3905 436.6094 0.1050707 0.1250242
Moved 432.9135 402.5141 438.4858 0.09841233 0.1298503
Moved 432.9443 399.6408 439 0.09176106 0.1311728
Moved 432.975 395.7696 440 0.08279989 0.1337448
Moved 433.0057 391.3882 440 0.07265796 0.1337448
Moved 433.0363 384.988 440 0.05784263 0.1337448
Moved 433.067 374.2445 426.2445 0.03297339 0.09836546
Moved 433.0978 360.6611 411.5934 0.001530449 0.06068257
Moved 433.1285 335.9807 385.9807 -0.05560026 -0.005193875
Moved 433.1592 324.88 371.3201 -0.08129621 -0.04290105
Moved 433.1899 315.472 359.6293 -0.1030741 -0.07296989
Moved 433.2206 310.3436 351.6873 -0.1149453 -0.09339705
Moved 433.2513 308.9002 348.8005 -0.1182865 -0.1008219
Moved 433.282 306.0345 345.0345 -0.1249201 -0.110508
Moved 433.3127 304.3678 342.3679 -0.1287782 -0.1173667
Moved 433.3434 304 340.5 -0.1296296 -0.1221709
Moved 433.3741 304 338.8673 -0.1296296 -0.1263702
Stationary 433.4048 304 339 -0.1296296 -0.1260288
Moved 433.4355 321.5574 339 -0.08898755 -0.1260288
Moved 433.4663 353.2815 351.1126 -0.01555214 -0.09487505
Moved 433.4969 387.0321 359.2581 0.06257434 -0.07392491
Moved 433.5277 430.6768 369.1692 0.1636037 -0.04843323
Moved 433.5584 478.8225 377.5645 0.2750522 -0.02684032
Moved 433.5891 509.5728 381.4606 0.3462335 -0.01681936
Moved 433.6198 530.6166 383.6028 0.3949459 -0.01130971
Moved 433.6505 543.5228 385.1046 0.4248212 -0.007447176
Moved 433.6812 553.0403 386 0.4468525 -0.005144111
Moved 433.7119 560.6141 387 0.4643846 -0.002572055
Moved 433.7426 567.264 387 0.4797778 -0.002572055
Moved 433.7733 572.5005 388 0.4918992 -3.924585E-08
Moved 433.804 577.2437 388 0.5028788 -3.924585E-08
Moved 433.8347 580.9934 388.9934 0.5115588 0.002554984
Moved 433.8654 582.6609 389 0.5154188 0.002572016
Moved 433.8961 584.5 389 0.5196759 0.002572016
Moved 433.9268 586.5 389 0.5243056 0.002572016
Moved 433.9576 588.5 389 0.5289352 0.002572016
Moved 433.9883 589.1997 389 0.5305548 0.002572016
Moved 434.019 590.0613 389 0.5325492 0.002572016
Moved 434.0497 591.3724 389 0.5355842 0.002572016
Moved 434.0804 593.5 389 0.5405092 0.002572016
Moved 434.1111 595 382.8724 0.5439815 -0.01318826
Moved 434.1418 597 379.2484 0.548611 -0.02250946
Moved 434.1725 598.1924 377.8076 0.5513713 -0.02621521
Moved 434.2032 600.0696 375.9304 0.5557166 -0.03104324
Moved 434.2339 602 375 0.5601852 -0.03343629
Moved 434.2646 604.5 373.5 0.5659723 -0.03729432
Moved 434.2953 606.5 372.5 0.5706018 -0.03986633
Moved 434.326 608 372 0.5740741 -0.04115226
Stationary 434.3568 608 372 0.5740741 -0.04115226
