this is too much to handle
this is too much to handle
Basic
Radial

0.6 0.6
432 388.8
Began 1563.418 308 560 -0.1203704 0.4423867
Stationary 1563.449 308 560 -0.1203704 0.4423867
Moved 1563.479 331.6904 538.4631 -0.06553154 0.3869934
Moved 1563.51 354.9701 515.2015 -0.01164322 0.3271644
Moved 1563.541 371.8241 499.1759 0.02737055 0.2859462
Moved 1563.572 386.0513 485.9487 0.0603039 0.2519257
Moved 1563.602 398.7619 470.2382 0.08972655 0.2115178
Moved 1563.633 408.5 456.5 0.1122685 0.1761831
Moved 1563.664 413.8234 448.2648 0.1245913 0.1550021
Moved 1563.694 419.6678 440.6644 0.13812 0.1354535
Moved 1563.725 423.426 435.148 0.1468194 0.1212654
Moved 1563.756 425.8887 434 0.15252 0.1183127
Moved 1563.787 430.7982 432 0.1638848 0.1131687
Moved 1563.817 442.1251 432 0.1901043 0.1131687
Moved 1563.848 458.7206 444.5147 0.2285199 0.1453566
Moved 1563.879 475.6899 459.3057 0.2678008 0.1833992
Moved 1563.91 492.6448 481.1931 0.3070482 0.239694
Moved 1563.94 504.1017 497.1526 0.3335687 0.2807422
Moved 1563.971 511.5502 506.3253 0.3508107 0.3043346
Moved 1564.002 516.4743 511.2371 0.3622091 0.3169678
Moved 1564.032 517 514.9848 0.3634259 0.326607
Moved 1564.063 517 516 0.3634259 0.329218
Stationary 1564.094 517 516 0.3634259 0.329218
Moved 1564.125 478.6865 492.4369 0.2747373 0.2686133
Moved 1564.155 435.5138 461.2164 0.1748005 0.1883138
Moved 1564.186 400.528 437.6326 0.09381473 0.1276557
Moved 1564.217 376.1016 418.6885 0.03727217 0.07893118
Moved 1564.248 350.9901 400.1358 -0.02085616 0.03121345
Moved 1564.278 334.0887 387.4072 -0.0599799 -0.001524662
Moved 1564.309 317.5578 375.6841 -0.09824589 -0.03167674
Moved 1564.34 306.1107 366.4886 -0.1247437 -0.05532779
Moved 1564.37 293.76 358.256 -0.1533332 -0.07650203
Moved 1564.401 284.0217 351.0217 -0.1758758 -0.09510896
Moved 1564.432 274.036 345.518 -0.1989908 -0.1092645
Moved 1564.463 265.5443 339.6962 -0.2186474 -0.1242381
Moved 1564.493 255.2995 336.0999 -0.2423622 -0.1334881
Moved 1564.524 247.4024 335 -0.2606426 -0.1363169
Moved 1564.555 241.1817 335 -0.2750423 -0.1363169
Moved 1564.586 236.2878 335 -0.2863709 -0.1363169
Moved 1564.616 231.3766 335 -0.2977394 -0.1363169
Moved 1564.647 228.6093 335 -0.3041451 -0.1363169
Ended 1564.678 228.6093 335 -0.3041451 -0.1363169
Candidates 1564.862 13 this good food tips topic todd rod god ross dogs roof epa ethics
Began 1565.354 210 390 -0.3472222 0.005143954
Stationary 1565.385 210 390 -0.3472222 0.005143954
Moved 1565.415 225.0694 390 -0.3123393 0.005143954
Moved 1565.446 248.9802 399.3179 -0.2569903 0.02910987
Moved 1565.477 269.4785 400.7198 -0.2095405 0.03271558
Moved 1565.507 289.2907 403.4701 -0.163679 0.03978921
Moved 1565.538 297.7171 403.8397 -0.1441734 0.04073975
Moved 1565.569 318.8277 405 -0.09530633 0.04372424
Moved 1565.6 327.1867 405 -0.07595669 0.04372424
Moved 1565.63 333.1404 405 -0.06217505 0.04372424
Moved 1565.661 337.7761 405 -0.05144423 0.04372424
Moved 1565.692 340.5 405 -0.0451389 0.04372424
Moved 1565.723 342.0331 405 -0.04159003 0.04372424
Ended 1565.753 343.4047 405 -0.03841499 0.04372424
Accept 1565.876 0 this
Began 1566.337 459 509 0.2291666 0.3112139
Stationary 1566.368 459 509 0.2291666 0.3112139
Stationary 1566.399 459 509 0.2291666 0.3112139
Stationary 1566.429 459 509 0.2291666 0.3112139
Stationary 1566.46 459 509 0.2291666 0.3112139
Moved 1566.491 440.1634 493.3725 0.1855634 0.2710198
Moved 1566.521 425.2542 485.1695 0.1510514 0.2499214
Moved 1566.552 408.1107 477.2061 0.1113674 0.2294395
Moved 1566.583 391.061 467.2957 0.07190049 0.2039498
Moved 1566.614 375.6797 459.2719 0.03629545 0.1833123
Moved 1566.644 361.5642 451.1732 0.003620883 0.1624824
Moved 1566.675 349.2319 445.2928 -0.02492617 0.1473579
Moved 1566.706 339.9932 439.4966 -0.04631196 0.13245
Moved 1566.737 327.5209 432.5126 -0.07518302 0.114487
Moved 1566.767 314.784 425.2704 -0.1046667 0.09585996
Moved 1566.798 302.986 420.493 -0.1319768 0.0835724
Moved 1566.829 280.4408 411.6175 -0.1841649 0.06074454
Moved 1566.859 273.1705 407.5023 -0.2009941 0.0501602
Moved 1566.89 259.3688 402.0922 -0.2329425 0.03624531
Moved 1566.921 247.8201 397.5281 -0.2596756 0.02450633
Moved 1566.952 235.737 393.8685 -0.2876458 0.01509376
Moved 1566.982 226.5713 392 -0.3088628 0.01028803
Moved 1567.013 218.8502 389.4251 -0.3267356 0.003665367
Moved 1567.044 212.8502 386.9501 -0.3406246 -0.002700507
Moved 1567.075 208.4048 385.2024 -0.3509148 -0.007195492
Moved 1567.105 204.4556 383.4556 -0.3600565 -0.01168836
Moved 1567.136 202.5 383 -0.3645833 -0.01286016
Moved 1567.167 201.8515 381.8515 -0.3660845 -0.01581412
Ended 1567.197 201 380.8811 -0.3680556 -0.01830992
Candidates 1567.29 13 is usa us odds oa pass id ideas idea psa posts pa others
Began 1567.751 207 339 -0.3541667 -0.1260288
Stationary 1567.781 207 339 -0.3541667 -0.1260288
Moved 1567.812 223.5827 339 -0.3157807 -0.1260288
Moved 1567.843 246.6147 348.6921 -0.2624659 -0.1011005
Moved 1567.873 272.8781 353.4797 -0.201671 -0.08878684
Moved 1567.904 295.9268 357.9791 -0.1483176 -0.07721442
Moved 1567.935 312.7746 360.7549 -0.109318 -0.07007489
Moved 1567.966 324 362.5 -0.08333336 -0.06558649
Moved 1567.996 331.8952 363.965 -0.06505747 -0.06181835
Moved 1568.027 337.4497 365 -0.05219976 -0.05915646
Moved 1568.058 341.4779 366 -0.04287531 -0.05658444
Moved 1568.089 343.9288 367 -0.03720194 -0.05401234
Moved 1568.119 345 367 -0.03472224 -0.05401234
Ended 1568.15 345 367 -0.03472224 -0.05401234
Accept 1568.212 0 is
Began 1568.549 241 479 -0.275463 0.2340534
Stationary 1568.58 241 479 -0.275463 0.2340534
Moved 1568.611 246.4965 479 -0.2627395 0.2340534
Moved 1568.642 266.1407 479 -0.2172669 0.2340534
Moved 1568.672 287.4777 479 -0.1678758 0.2340534
Moved 1568.703 306.2611 479 -0.1243955 0.2340534
Moved 1568.734 325.1389 479 -0.08069689 0.2340534
Moved 1568.765 344.5193 479 -0.03583486 0.2340534
Moved 1568.795 361.2903 479 0.002986689 0.2340534
