they might find your comment offensive
they might find your comment offensive
Basic
List

0.6 0.6
432 388.8
Began 2264.971 322 531 -0.08796295 0.3677982
Stationary 2265.002 322 531 -0.08796295 0.3677982
Stationary 2265.033 322 531 -0.08796295 0.3677982
Stationary 2265.064 322 531 -0.08796295 0.3677982
Moved 2265.094 338.2831 511.4337 -0.05027051 0.3174735
Moved 2265.125 349.6453 490.7676 -0.02396931 0.2643199
Moved 2265.156 364.684 467.1934 0.01084248 0.2036867
Moved 2265.187 381.2945 446.6565 0.04929274 0.1508654
Moved 2265.218 395.6311 426.3165 0.08247932 0.09855046
Moved 2265.248 409.698 404.453 0.1150416 0.04231735
Moved 2265.279 420.1596 388.7339 0.1392584 0.001887686
Moved 2265.31 433.5 370.5 0.1701389 -0.04501037
Moved 2265.341 447.013 352.4805 0.2014191 -0.0913569
Moved 2265.371 456.0562 339.9064 0.2223523 -0.1236976
Moved 2265.402 464.3403 328.0995 0.2415285 -0.1540649
Moved 2265.433 473.4172 314.3047 0.2625398 -0.1895456
Moved 2265.463 482.8925 300.215 0.2844734 -0.2257846
Moved 2265.494 486.7102 294.5797 0.2933106 -0.2402787
Moved 2265.525 489.4514 291.5486 0.2996561 -0.2480747
Moved 2265.556 491 289.0936 0.3032407 -0.2543889
Moved 2265.586 491 288.5 0.3032407 -0.2559158
Moved 2265.617 491 289 0.3032407 -0.2546296
Moved 2265.648 470.7963 306.0031 0.2564728 -0.2108974
Moved 2265.679 447.9828 326.39 0.2036639 -0.158462
Moved 2265.709 424.9288 349.4551 0.1502982 -0.09913825
Moved 2265.74 406.9415 364.9073 0.1086608 -0.05939475
Moved 2265.771 388.7409 381.259 0.06652991 -0.01733788
Moved 2265.802 371.7796 397.2204 0.02726763 0.0237149
Moved 2265.832 356.3899 409.4881 -0.00835682 0.0552677
Moved 2265.863 339.6833 422.4306 -0.04702951 0.08855599
Moved 2265.894 327.7841 432.2159 -0.0745738 0.1137239
Moved 2265.925 310.6942 444.2446 -0.1141339 0.144662
Moved 2265.955 294.071 455.286 -0.1526135 0.1730607
Moved 2265.986 280.6588 463.7559 -0.1836603 0.1948454
Moved 2266.017 270.0391 469.9706 -0.2082428 0.2108297
Moved 2266.048 258.7551 475.7483 -0.2343633 0.2256899
Moved 2266.078 252 481 -0.25 0.2391974
Moved 2266.109 251 483.2667 -0.2523148 0.2450275
Moved 2266.14 251 486.7125 -0.2523148 0.2538899
Moved 2266.17 251 489.4769 -0.2523148 0.2610001
Moved 2266.201 263.3044 495.6913 -0.2238325 0.2769837
Moved 2266.232 275.2333 503.9904 -0.1962193 0.2983291
Moved 2266.263 299.212 513.6848 -0.1407129 0.3232633
Moved 2266.293 323.4795 520.3699 -0.08453816 0.3404574
Moved 2266.324 347.5225 522.947 -0.02888307 0.3470857
Moved 2266.355 367.9386 524.3265 0.01837641 0.350634
Moved 2266.385 389.3022 526.186 0.06782909 0.3554167
Moved 2266.416 404.7717 526 0.1036382 0.3549381
Moved 2266.447 419.5312 526 0.1378037 0.3549381
