I listen to the tape everyday
I listen to the tape everyday
Basic
Radial

0.6 0.6
432 388.8
Began 540.5533 412 491 0.1203704 0.2649176
Stationary 540.584 412 491 0.1203704 0.2649176
Stationary 540.6147 412 491 0.1203704 0.2649176
Stationary 540.6455 412 491 0.1203704 0.2649176
Ended 540.6761 412 491 0.1203704 0.2649176
Candidates 540.7684 10 u y I t o h j g r k
Began 541.9667 358 365 -0.004629641 -0.05915646
Stationary 541.9974 358 365 -0.004629641 -0.05915646
Stationary 542.0281 358 365 -0.004629641 -0.05915646
Moved 542.0588 358 378.5 -0.004629641 -0.02443423
Moved 542.0896 348.7615 391.5963 -0.02601509 0.009249698
Moved 542.1203 340.0516 407.8968 -0.04617686 0.05117486
Moved 542.151 333.4488 420.252 -0.06146113 0.08295263
Moved 542.1818 328.3502 429.9747 -0.07326344 0.1079595
Moved 542.2125 322.4115 438.5885 -0.08701036 0.1301144
Moved 542.2432 318.8381 446.4856 -0.0952821 0.1504258
Moved 542.274 315.9669 451.0331 -0.1019284 0.1621221
Moved 542.3047 314 453.5726 -0.1064815 0.1686537
Moved 542.3353 313 456.4475 -0.1087963 0.1760481
Moved 542.3661 312 458.3198 -0.1111111 0.1808637
Moved 542.3969 311 458.8754 -0.113426 0.1822925
Ended 542.4276 311 459.5 -0.113426 0.1838991
Accept 542.489 2 I
Began 542.7656 460 281 0.2314815 -0.2752058
Stationary 542.7963 460 281 0.2314815 -0.2752058
Moved 542.827 460 289.9879 0.2314815 -0.2520888
Moved 542.8577 452.992 316.884 0.2152593 -0.1829117
Moved 542.8885 445.7175 339.8474 0.1984202 -0.1238493
Moved 542.9192 441.3799 357.8602 0.1883795 -0.07752007
Moved 542.95 437.623 381.6964 0.1796829 -0.01621317
Moved 542.9807 435.2172 393.9141 0.1741138 0.01521114
Moved 543.0114 433 406.2923 0.1689814 0.04704801
Moved 543.0421 432 416.7539 0.1666667 0.07395551
Moved 543.0729 431 428.2589 0.1643519 0.1035465
Moved 543.1035 430 438.6801 0.162037 0.13035
Moved 543.1343 430 446.5175 0.162037 0.150508
Moved 543.165 429 451.2886 0.1597223 0.1627794
Moved 543.1957 429 455.5 0.1597223 0.173611
Moved 543.2264 429 459.055 0.1597223 0.1827545
Moved 543.2572 429 462.8633 0.1597223 0.1925497
Moved 543.2879 428.1988 466.6024 0.1578677 0.2021665
Moved 543.3186 426.7729 470.2271 0.1545669 0.2114894
Moved 543.3494 422.6534 474.1733 0.1450311 0.221639
Moved 543.3801 411.7708 478.0573 0.1198397 0.2316289
Moved 543.4108 395.5213 478 0.0822252 0.2314814
Moved 543.4416 370.3152 478 0.02387782 0.2314814
Moved 543.4723 342.5192 458.6077 -0.04046475 0.181604
Moved 543.5031 316.2325 444.1162 -0.1013137 0.1443317
Moved 543.5338 298.1212 434.5605 -0.1432381 0.1197544
Moved 543.5645 278.9561 422.7825 -0.1876016 0.08946104
Moved 543.5952 264.5827 413.5496 -0.2208734 0.06571393
Moved 543.6259 251.5746 404.931 -0.2509847 0.04354665
Moved 543.6567 239.3175 399.127 -0.2793576 0.02861878
Moved 543.6874 229.5715 394.1905 -0.3019179 0.015922
Moved 543.718 222.6472 391.3236 -0.3179463 0.008548336
Moved 543.7488 219.5 389.5 -0.3252315 0.003857946
Moved 543.7796 217.5 390 -0.3298611 0.005143954
Moved 543.8103 216.7437 390 -0.3316119 0.005143954
Stationary 543.841 216.7437 390 -0.3316119 0.005143954
Stationary 543.8718 217 390 -0.3310185 0.005143954
Stationary 543.9025 217 390 -0.3310185 0.005143954
Moved 543.9332 230.2907 407.3634 -0.3002529 0.04980295
Moved 543.9639 243.7154 421.7155 -0.2691772 0.08671666
Moved 543.9947 260.8964 443.8705 -0.2294065 0.1436997
Moved 544.0254 278.5403 460.1774 -0.1885642 0.1856414
Moved 544.0562 301.5909 478.1364 -0.1352064 0.2318321
Moved 544.0869 319.071 493.071 -0.09474298 0.2702444
Moved 544.1176 336.1548 506.5238 -0.05519733 0.3048451
Moved 544.1483 350.5 515.5 -0.02199074 0.327932
Moved 544.179 361.4902 521.7451 0.003449519 0.3439945
Moved 544.2097 367.826 525.884 0.01811574 0.3546397
Moved 544.2405 372.623 528 0.02921999 0.3600822
Moved 544.2712 374.2427 529.2427 0.03296912 0.3632784
Moved 544.3019 375.374 530.374 0.03558784 0.3661881
Moved 544.3326 375 531.095 0.03472219 0.3680425
Stationary 544.3634 375 531 0.03472219 0.3677982
Stationary 544.3941 375 531 0.03472219 0.3677982
Moved 544.4249 364.7126 531 0.01090864 0.3677982
Moved 544.4555 356.3626 531 -0.008419801 0.3677982
Moved 544.4863 343.6513 531 -0.03784418 0.3677982
Moved 544.517 331.2502 531 -0.06655052 0.3677982
Moved 544.5477 318.5108 522.5021 -0.09603982 0.3459416
Moved 544.5784 302.7877 520.6313 -0.132436 0.3411298
Moved 544.6092 291.2517 519 -0.1591395 0.3369341
Moved 544.64 279.7108 516.1777 -0.1858547 0.329675
Moved 544.6707 270.1032 513 -0.2080944 0.321502
Moved 544.7014 263.9789 511.4895 -0.222271 0.3176169
Moved 544.7321 259.6133 509.6133 -0.2323765 0.3127914
Moved 544.7628 258.0473 510 -0.2360016 0.3137859
Moved 544.7936 256.6266 510 -0.2392903 0.3137859
Stationary 544.8243 257 510 -0.2384259 0.3137859
Moved 544.855 257 507 -0.2384259 0.3060699
Moved 544.8857 293.5908 475.5153 -0.1537251 0.2250908
Moved 544.9165 329.7404 439.2813 -0.07004534 0.1318961
Moved 544.9472 360.4754 408.677 0.0011005 0.05318151
Moved 544.978 381.8648 385.8688 0.05061289 -0.005481429
Moved 545.0087 406.4269 358.3353 0.1074698 -0.07629826
Moved 545.0394 424.6027 334.096 0.1495432 -0.138642
Moved 545.0701 435.9166 315.1668 0.1757329 -0.1873282
Moved 545.1008 444.0376 295.3683 0.1945316 -0.2382504
Moved 545.1315 449.783 279.0426 0.207831 -0.2802404
Moved 545.1623 452.2755 266.8981 0.2136007 -0.3114761
Moved 545.193 453 261.1518 0.2152778 -0.3262556
Moved 545.2238 454 256.6786 0.2175926 -0.3377607
Moved 545.2545 454 253.46 0.2175926 -0.3460393
Ended 545.2852 454 252 0.2175926 -0.3497943
Candidates 545.3774 13 listen museum pattern hidden karen learn often between harm them laden system men
Began 545.9919 304 398 -0.1296296 0.02572008
Stationary 546.0226 304 398 -0.1296296 0.02572008
Stationary 546.0533 304 398 -0.1296296 0.02572008
Moved 546.0842 331.2753 398 -0.06649231 0.02572008
Moved 546.1147 349.4331 390.081 -0.02446035 0.005352232
Moved 546.1455 365.8054 387.2389 0.01343836 -0.001957662
Moved 546.1763 375.9128 386.3624 0.03683518 -0.004211983
Moved 546.207 384.5215 386 0.0567628 -0.005144111
Moved 546.2377 391.034 386 0.0718379 -0.005144111
Moved 546.2685 397.7764 386 0.08744527 -0.005144111
Moved 546.2992 402.5251 386 0.09843767 -0.005144111
Moved 546.3299 405.5 386 0.1053241 -0.005144111
Ended 546.3606 405 386 0.1041667 -0.005144111
Accept 546.4221 0 listen
Began 546.7294 252 526 -0.25 0.3549381
Stationary 546.7601 252 526 -0.25 0.3549381
Moved 546.7908 266.0958 526 -0.2173708 0.3549381
Moved 546.8215 299.994 531.1394 -0.1389029 0.3681568
Moved 546.8523 344.7722 539.7696 -0.03524964 0.3903538
Moved 546.883 381.5974 542.257 0.04999389 0.3967513
Moved 546.9138 412.2537 543 0.1209576 0.3986624
Moved 546.9445 429.9619 543 0.1619489 0.3986624
Moved 546.9752 449.4685 543 0.207103 0.3986624
Moved 547.0059 462.7692 543 0.2378918 0.3986624
Moved 547.0366 473.2796 543 0.2622214 0.3986624
Moved 547.0673 480.5537 543 0.2790594 0.3986624
Moved 547.0981 487.4479 543 0.2950183 0.3986624
Moved 547.1287 494.7741 543 0.3119771 0.3986624
Moved 547.1595 501.1958 543 0.3268422 0.3986624
Moved 547.1903 509.8804 543 0.3469453 0.3986624
Moved 547.221 519.3215 536 0.3687996 0.3806583
Moved 547.2516 528.0912 535 0.3891 0.3780863
Moved 547.2825 535.7516 535 0.4068325 0.3780863
Moved 547.3132 541.117 534 0.4192523 0.3755144
Ended 547.3439 545 533 0.4282407 0.3729423
Candidates 547.4053 13 to trip ep too top rep rip rio wp rp trio wto tripp
Began 547.9892 355 412 -0.01157408 0.06172835
Stationary 548.0199 355 412 -0.01157408 0.06172835
Moved 548.0506 373.6896 412 0.03168901 0.06172835
